{'matching_time': 1524078498.9284384, 'greatest_constraints_time': 1524078498.9278543, 'number_of_matches': 43, 'second_graph_creation_time': 1524078498.9238088, 'graph_edge_sort_time': 1524078498.9276083, 'node_count': 187, 'start_time': 1524078498.8838325, 'first_graph_creation_time': 1524078498.9053276}
{'matching_time': 1524078498.9786136, 'greatest_constraints_time': 1524078498.9781485, 'number_of_matches': 33, 'second_graph_creation_time': 1524078498.9737794, 'graph_edge_sort_time': 1524078498.9779027, 'node_count': 217, 'start_time': 1524078498.9287186, 'first_graph_creation_time': 1524078498.9535108}
{'matching_time': 1524078499.0245066, 'greatest_constraints_time': 1524078499.0243165, 'number_of_matches': 15, 'second_graph_creation_time': 1524078499.0200474, 'graph_edge_sort_time': 1524078499.024097, 'node_count': 196, 'start_time': 1524078498.9789417, 'first_graph_creation_time': 1524078499.0019488}
{'matching_time': 1524078499.072846, 'greatest_constraints_time': 1524078499.0727232, 'number_of_matches': 7, 'second_graph_creation_time': 1524078499.0686274, 'graph_edge_sort_time': 1524078499.072497, 'node_count': 207, 'start_time': 1524078499.024777, 'first_graph_creation_time': 1524078499.0492575}
{'matching_time': 1524078499.114127, 'greatest_constraints_time': 1524078499.1137764, 'number_of_matches': 30, 'second_graph_creation_time': 1524078499.1101575, 'graph_edge_sort_time': 1524078499.1135552, 'node_count': 183, 'start_time': 1524078499.0731063, 'first_graph_creation_time': 1524078499.093861}
{'matching_time': 1524078499.1564987, 'greatest_constraints_time': 1524078499.1564608, 'number_of_matches': 2, 'second_graph_creation_time': 1524078499.1527677, 'graph_edge_sort_time': 1524078499.156274, 'node_count': 182, 'start_time': 1524078499.1144292, 'first_graph_creation_time': 1524078499.1358593}
{'matching_time': 1524078499.203316, 'greatest_constraints_time': 1524078499.2028952, 'number_of_matches': 33, 'second_graph_creation_time': 1524078499.1984274, 'graph_edge_sort_time': 1524078499.2026048, 'node_count': 213, 'start_time': 1524078499.1568592, 'first_graph_creation_time': 1524078499.1798184}
{'matching_time': 1524078499.2482882, 'greatest_constraints_time': 1524078499.2477765, 'number_of_matches': 42, 'second_graph_creation_time': 1524078499.243666, 'graph_edge_sort_time': 1524078499.247529, 'node_count': 201, 'start_time': 1524078499.2036722, 'first_graph_creation_time': 1524078499.2265413}
{'matching_time': 1524078499.2947392, 'greatest_constraints_time': 1524078499.2937903, 'number_of_matches': 58, 'second_graph_creation_time': 1524078499.289307, 'graph_edge_sort_time': 1524078499.2935221, 'node_count': 195, 'start_time': 1524078499.2485633, 'first_graph_creation_time': 1524078499.2714725}
{'matching_time': 1524078499.3343446, 'greatest_constraints_time': 1524078499.3340163, 'number_of_matches': 28, 'second_graph_creation_time': 1524078499.330205, 'graph_edge_sort_time': 1524078499.3337872, 'node_count': 181, 'start_time': 1524078499.2950091, 'first_graph_creation_time': 1524078499.3145192}
{'matching_time': 1524078499.3828232, 'greatest_constraints_time': 1524078499.3825831, 'number_of_matches': 20, 'second_graph_creation_time': 1524078499.3782794, 'graph_edge_sort_time': 1524078499.3823397, 'node_count': 204, 'start_time': 1524078499.3347528, 'first_graph_creation_time': 1524078499.358966}
{'matching_time': 1524078499.432167, 'greatest_constraints_time': 1524078499.4315054, 'number_of_matches': 53, 'second_graph_creation_time': 1524078499.4268372, 'graph_edge_sort_time': 1524078499.43123, 'node_count': 213, 'start_time': 1524078499.3831706, 'first_graph_creation_time': 1524078499.407404}
{'matching_time': 1524078499.475134, 'greatest_constraints_time': 1524078499.4748838, 'number_of_matches': 21, 'second_graph_creation_time': 1524078499.4710732, 'graph_edge_sort_time': 1524078499.4746804, 'node_count': 187, 'start_time': 1524078499.432526, 'first_graph_creation_time': 1524078499.4536865}
