{'start_time': 1524076102.6987407, 'number_of_matches': 99, 'greatest_constraints_time': 1524076102.7287939, 'second_graph_creation_time': 1524076102.7238576, 'first_graph_creation_time': 1524076102.7155104, 'node_count': 99, 'matching_time': 1524076102.7300236, 'graph_edge_sort_time': 1524076102.7285903}
{'start_time': 1524076102.7304208, 'number_of_matches': 93, 'greatest_constraints_time': 1524076102.757199, 'second_graph_creation_time': 1524076102.7525647, 'first_graph_creation_time': 1524076102.7448318, 'node_count': 93, 'matching_time': 1524076102.7583506, 'graph_edge_sort_time': 1524076102.757016}
{'start_time': 1524076102.7586832, 'number_of_matches': 101, 'greatest_constraints_time': 1524076102.7897224, 'second_graph_creation_time': 1524076102.7845573, 'first_graph_creation_time': 1524076102.775534, 'node_count': 101, 'matching_time': 1524076102.7908382, 'graph_edge_sort_time': 1524076102.78951}
{'start_time': 1524076102.7910948, 'number_of_matches': 102, 'greatest_constraints_time': 1524076102.8212554, 'second_graph_creation_time': 1524076102.8159366, 'first_graph_creation_time': 1524076102.8071394, 'node_count': 102, 'matching_time': 1524076102.8224566, 'graph_edge_sort_time': 1524076102.8209894}
{'start_time': 1524076102.8227217, 'number_of_matches': 98, 'greatest_constraints_time': 1524076102.851903, 'second_graph_creation_time': 1524076102.8471584, 'first_graph_creation_time': 1524076102.8385818, 'node_count': 98, 'matching_time': 1524076102.852961, 'graph_edge_sort_time': 1524076102.8517075}
{'start_time': 1524076102.8532338, 'number_of_matches': 91, 'greatest_constraints_time': 1524076102.881573, 'second_graph_creation_time': 1524076102.876824, 'first_graph_creation_time': 1524076102.8686872, 'node_count': 91, 'matching_time': 1524076102.8825638, 'graph_edge_sort_time': 1524076102.8813925}
{'start_time': 1524076102.8828351, 'number_of_matches': 96, 'greatest_constraints_time': 1524076102.9115295, 'second_graph_creation_time': 1524076102.9066963, 'first_graph_creation_time': 1524076102.8984144, 'node_count': 96, 'matching_time': 1524076102.9127827, 'graph_edge_sort_time': 1524076102.9113417}
{'start_time': 1524076102.9130805, 'number_of_matches': 106, 'greatest_constraints_time': 1524076102.9476252, 'second_graph_creation_time': 1524076102.9418917, 'first_graph_creation_time': 1524076102.9299424, 'node_count': 106, 'matching_time': 1524076102.9488497, 'graph_edge_sort_time': 1524076102.9473746}
{'start_time': 1524076102.9491527, 'number_of_matches': 96, 'greatest_constraints_time': 1524076102.978535, 'second_graph_creation_time': 1524076102.9736378, 'first_graph_creation_time': 1524076102.9642754, 'node_count': 96, 'matching_time': 1524076102.9796922, 'graph_edge_sort_time': 1524076102.9783392}
{'start_time': 1524076102.9800663, 'number_of_matches': 100, 'greatest_constraints_time': 1524076103.009472, 'second_graph_creation_time': 1524076103.0045595, 'first_graph_creation_time': 1524076102.9959545, 'node_count': 100, 'matching_time': 1524076103.0106711, 'graph_edge_sort_time': 1524076103.0092714}
{'start_time': 1524076103.0113235, 'number_of_matches': 110, 'greatest_constraints_time': 1524076103.045736, 'second_graph_creation_time': 1524076103.0399175, 'first_graph_creation_time': 1524076103.02952, 'node_count': 110, 'matching_time': 1524076103.0470068, 'graph_edge_sort_time': 1524076103.0454638}
{'start_time': 1524076103.0474331, 'number_of_matches': 108, 'greatest_constraints_time': 1524076103.0805333, 'second_graph_creation_time': 1524076103.0749114, 'first_graph_creation_time': 1524076103.065046, 'node_count': 108, 'matching_time': 1524076103.0819008, 'graph_edge_sort_time': 1524076103.0803196}
{'start_time': 1524076103.0822618, 'number_of_matches': 105, 'greatest_constraints_time': 1524076103.1146977, 'second_graph_creation_time': 1524076103.1091118, 'first_graph_creation_time': 1524076103.0996006, 'node_count': 105, 'matching_time': 1524076103.1158822, 'graph_edge_sort_time': 1524076103.114485}
{'start_time': 1524076103.116305, 'number_of_matches': 99, 'greatest_constraints_time': 1524076103.1474805, 'second_graph_creation_time': 1524076103.1423483, 'first_graph_creation_time': 1524076103.1331825, 'node_count': 99, 'matching_time': 1524076103.1485994, 'graph_edge_sort_time': 1524076103.1472926}
{'start_time': 1524076103.1488714, 'number_of_matches': 95, 'greatest_constraints_time': 1524076103.175892, 'second_graph_creation_time': 1524076103.1713307, 'first_graph_creation_time': 1524076103.1633441, 'node_count': 95, 'matching_time': 1524076103.1769087, 'graph_edge_sort_time': 1524076103.175699}
{'start_time': 1524076103.1771448, 'number_of_matches': 108, 'greatest_constraints_time': 1524076103.2106955, 'second_graph_creation_time': 1524076103.205395, 'first_graph_creation_time': 1524076103.1956816, 'node_count': 108, 'matching_time': 1524076103.2119417, 'graph_edge_sort_time': 1524076103.2104867}
{'start_time': 1524076103.2123, 'number_of_matches': 99, 'greatest_constraints_time': 1524076103.2432413, 'second_graph_creation_time': 1524076103.2384684, 'first_graph_creation_time': 1524076103.2297783, 'node_count': 99, 'matching_time': 1524076103.2445202, 'graph_edge_sort_time': 1524076103.2430494}
{'start_time': 1524076103.2448707, 'number_of_matches': 98, 'greatest_constraints_time': 1524076103.2749093, 'second_graph_creation_time': 1524076103.2696755, 'first_graph_creation_time': 1524076103.2609944, 'node_count': 98, 'matching_time': 1524076103.2760332, 'graph_edge_sort_time': 1524076103.274698}
{'start_time': 1524076103.2763977, 'number_of_matches': 91, 'greatest_constraints_time': 1524076103.3066833, 'second_graph_creation_time': 1524076103.301941, 'first_graph_creation_time': 1524076103.2939255, 'node_count': 91, 'matching_time': 1524076103.307693, 'graph_edge_sort_time': 1524076103.3064864}
{'start_time': 1524076103.3080585, 'number_of_matches': 96, 'greatest_constraints_time': 1524076103.338269, 'second_graph_creation_time': 1524076103.3332882, 'first_graph_creation_time': 1524076103.3246527, 'node_count': 96, 'matching_time': 1524076103.3393717, 'graph_edge_sort_time': 1524076103.3380706}
