{'matching_time': 1524081169.0498793, 'start_time': 1524081168.8322208, 'number_of_matches': 10, 'node_count': 400, 'greatest_constraints_time': 1524081169.0496223, 'second_graph_creation_time': 1524081169.0336082, 'first_graph_creation_time': 1524081168.9362457, 'graph_edge_sort_time': 1524081169.0490432}
{'matching_time': 1524081169.2761838, 'start_time': 1524081169.0502172, 'number_of_matches': 101, 'node_count': 399, 'greatest_constraints_time': 1524081169.2734916, 'second_graph_creation_time': 1524081169.2563293, 'first_graph_creation_time': 1524081169.1539712, 'graph_edge_sort_time': 1524081169.2728436}
{'matching_time': 1524081169.5125444, 'start_time': 1524081169.2765498, 'number_of_matches': 130, 'node_count': 419, 'greatest_constraints_time': 1524081169.509052, 'second_graph_creation_time': 1524081169.4903808, 'first_graph_creation_time': 1524081169.3851569, 'graph_edge_sort_time': 1524081169.5083995}
{'matching_time': 1524081169.7266004, 'start_time': 1524081169.5128546, 'number_of_matches': 91, 'node_count': 396, 'greatest_constraints_time': 1524081169.7242126, 'second_graph_creation_time': 1524081169.7075872, 'first_graph_creation_time': 1524081169.612556, 'graph_edge_sort_time': 1524081169.7236435}
{'matching_time': 1524081169.9315288, 'start_time': 1524081169.7269158, 'number_of_matches': 110, 'node_count': 372, 'greatest_constraints_time': 1524081169.9284766, 'second_graph_creation_time': 1524081169.912946, 'first_graph_creation_time': 1524081169.821484, 'graph_edge_sort_time': 1524081169.9278493}
{'matching_time': 1524081170.1354537, 'start_time': 1524081169.9319258, 'number_of_matches': 61, 'node_count': 383, 'greatest_constraints_time': 1524081170.1339176, 'second_graph_creation_time': 1524081170.1189332, 'first_graph_creation_time': 1524081170.0275192, 'graph_edge_sort_time': 1524081170.1332495}
{'matching_time': 1524081170.3821228, 'start_time': 1524081170.1357818, 'number_of_matches': 62, 'node_count': 431, 'greatest_constraints_time': 1524081170.3804617, 'second_graph_creation_time': 1524081170.3628619, 'first_graph_creation_time': 1524081170.2511928, 'graph_edge_sort_time': 1524081170.3798368}
{'matching_time': 1524081170.6457286, 'start_time': 1524081170.3824604, 'number_of_matches': 128, 'node_count': 429, 'greatest_constraints_time': 1524081170.642242, 'second_graph_creation_time': 1524081170.6235113, 'first_graph_creation_time': 1524081170.5036714, 'graph_edge_sort_time': 1524081170.6416287}
{'matching_time': 1524081170.886248, 'start_time': 1524081170.646071, 'number_of_matches': 135, 'node_count': 432, 'greatest_constraints_time': 1524081170.882473, 'second_graph_creation_time': 1524081170.8641753, 'first_graph_creation_time': 1524081170.756368, 'graph_edge_sort_time': 1524081170.8817859}
{'matching_time': 1524081171.1158507, 'start_time': 1524081170.8866885, 'number_of_matches': 55, 'node_count': 425, 'greatest_constraints_time': 1524081171.1142187, 'second_graph_creation_time': 1524081171.0971491, 'first_graph_creation_time': 1524081170.994381, 'graph_edge_sort_time': 1524081171.1136298}
