{'matching_time': 1524076337.399455, 'greatest_constraints_time': 1524076337.396646, 'start_time': 1524076337.3447526, 'first_graph_creation_time': 1524076337.3726945, 'node_count': 101, 'number_of_matches': 91, 'second_graph_creation_time': 1524076337.3895488, 'graph_edge_sort_time': 1524076337.3964489}
{'matching_time': 1524076337.4606109, 'greatest_constraints_time': 1524076337.4590628, 'start_time': 1524076337.399819, 'first_graph_creation_time': 1524076337.4321883, 'node_count': 105, 'number_of_matches': 68, 'second_graph_creation_time': 1524076337.4531555, 'graph_edge_sort_time': 1524076337.4588869}
{'matching_time': 1524076337.5203338, 'greatest_constraints_time': 1524076337.51722, 'start_time': 1524076337.460922, 'first_graph_creation_time': 1524076337.4914832, 'node_count': 106, 'number_of_matches': 101, 'second_graph_creation_time': 1524076337.5092595, 'graph_edge_sort_time': 1524076337.5169907}
{'matching_time': 1524076337.575474, 'greatest_constraints_time': 1524076337.5739057, 'start_time': 1524076337.5206249, 'first_graph_creation_time': 1524076337.5493064, 'node_count': 104, 'number_of_matches': 69, 'second_graph_creation_time': 1524076337.568231, 'graph_edge_sort_time': 1524076337.5737305}
{'matching_time': 1524076337.6281486, 'greatest_constraints_time': 1524076337.6253588, 'start_time': 1524076337.575728, 'first_graph_creation_time': 1524076337.6030688, 'node_count': 98, 'number_of_matches': 93, 'second_graph_creation_time': 1524076337.6183658, 'graph_edge_sort_time': 1524076337.6251724}
{'matching_time': 1524076337.6793919, 'greatest_constraints_time': 1524076337.6771483, 'start_time': 1524076337.6285782, 'first_graph_creation_time': 1524076337.6554089, 'node_count': 96, 'number_of_matches': 85, 'second_graph_creation_time': 1524076337.670666, 'graph_edge_sort_time': 1524076337.6769025}
{'matching_time': 1524076337.730933, 'greatest_constraints_time': 1524076337.7288368, 'start_time': 1524076337.6796951, 'first_graph_creation_time': 1524076337.7065988, 'node_count': 97, 'number_of_matches': 81, 'second_graph_creation_time': 1524076337.722798, 'graph_edge_sort_time': 1524076337.7286525}
{'matching_time': 1524076337.7812042, 'greatest_constraints_time': 1524076337.7795172, 'start_time': 1524076337.731231, 'first_graph_creation_time': 1524076337.7577565, 'node_count': 98, 'number_of_matches': 72, 'second_graph_creation_time': 1524076337.7741382, 'graph_edge_sort_time': 1524076337.779341}
{'matching_time': 1524076337.8263652, 'greatest_constraints_time': 1524076337.8241744, 'start_time': 1524076337.7814445, 'first_graph_creation_time': 1524076337.8054159, 'node_count': 91, 'number_of_matches': 83, 'second_graph_creation_time': 1524076337.818262, 'graph_edge_sort_time': 1524076337.8239946}
{'matching_time': 1524076337.8790104, 'greatest_constraints_time': 1524076337.8772914, 'start_time': 1524076337.826624, 'first_graph_creation_time': 1524076337.854293, 'node_count': 97, 'number_of_matches': 72, 'second_graph_creation_time': 1524076337.871318, 'graph_edge_sort_time': 1524076337.8770967}
{'matching_time': 1524076337.9404066, 'greatest_constraints_time': 1524076337.93779, 'start_time': 1524076337.8793454, 'first_graph_creation_time': 1524076337.9104912, 'node_count': 107, 'number_of_matches': 94, 'second_graph_creation_time': 1524076337.930215, 'graph_edge_sort_time': 1524076337.9375615}
{'matching_time': 1524076337.9896166, 'greatest_constraints_time': 1524076337.9869134, 'start_time': 1524076337.9407175, 'first_graph_creation_time': 1524076337.966041, 'node_count': 95, 'number_of_matches': 88, 'second_graph_creation_time': 1524076337.9802804, 'graph_edge_sort_time': 1524076337.9867177}
{'matching_time': 1524076338.0516558, 'greatest_constraints_time': 1524076338.04901, 'start_time': 1524076337.989843, 'first_graph_creation_time': 1524076338.020803, 'node_count': 108, 'number_of_matches': 89, 'second_graph_creation_time': 1524076338.0421484, 'graph_edge_sort_time': 1524076338.0488076}
{'matching_time': 1524076338.1083837, 'greatest_constraints_time': 1524076338.1054077, 'start_time': 1524076338.0519598, 'first_graph_creation_time': 1524076338.0801873, 'node_count': 102, 'number_of_matches': 90, 'second_graph_creation_time': 1524076338.0979757, 'graph_edge_sort_time': 1524076338.1051877}
{'matching_time': 1524076338.1558154, 'greatest_constraints_time': 1524076338.1531565, 'start_time': 1524076338.1086888, 'first_graph_creation_time': 1524076338.1331036, 'node_count': 92, 'number_of_matches': 91, 'second_graph_creation_time': 1524076338.146257, 'graph_edge_sort_time': 1524076338.1529653}
{'matching_time': 1524076338.210121, 'greatest_constraints_time': 1524076338.208109, 'start_time': 1524076338.1560998, 'first_graph_creation_time': 1524076338.1839359, 'node_count': 101, 'number_of_matches': 81, 'second_graph_creation_time': 1524076338.2019746, 'graph_edge_sort_time': 1524076338.207926}
