{'graph_edge_sort_time': 1524076357.4481514, 'start_time': 1524076357.3894565, 'node_count': 110, 'greatest_constraints_time': 1524076357.4483304, 'matching_time': 1524076357.4490674, 'first_graph_creation_time': 1524076357.420204, 'number_of_matches': 56, 'second_graph_creation_time': 1524076357.4428413}
{'graph_edge_sort_time': 1524076357.5015635, 'start_time': 1524076357.4494724, 'node_count': 96, 'greatest_constraints_time': 1524076357.501743, 'matching_time': 1524076357.5028257, 'first_graph_creation_time': 1524076357.4765244, 'number_of_matches': 66, 'second_graph_creation_time': 1524076357.4963572}
{'graph_edge_sort_time': 1524076357.5588593, 'start_time': 1524076357.5031016, 'node_count': 109, 'greatest_constraints_time': 1524076357.5590193, 'matching_time': 1524076357.5595047, 'first_graph_creation_time': 1524076357.5321534, 'number_of_matches': 43, 'second_graph_creation_time': 1524076357.5540721}
{'graph_edge_sort_time': 1524076357.6121595, 'start_time': 1524076357.5597687, 'node_count': 102, 'greatest_constraints_time': 1524076357.6123106, 'matching_time': 1524076357.612742, 'first_graph_creation_time': 1524076357.5877414, 'number_of_matches': 39, 'second_graph_creation_time': 1524076357.6077979}
{'graph_edge_sort_time': 1524076357.6609228, 'start_time': 1524076357.6129997, 'node_count': 96, 'greatest_constraints_time': 1524076357.6610703, 'matching_time': 1524076357.661451, 'first_graph_creation_time': 1524076357.638167, 'number_of_matches': 37, 'second_graph_creation_time': 1524076357.6568372}
{'graph_edge_sort_time': 1524076357.7173178, 'start_time': 1524076357.661833, 'node_count': 106, 'greatest_constraints_time': 1524076357.7174942, 'matching_time': 1524076357.7179337, 'first_graph_creation_time': 1524076357.6913438, 'number_of_matches': 38, 'second_graph_creation_time': 1524076357.712657}
{'graph_edge_sort_time': 1524076357.7704031, 'start_time': 1524076357.718345, 'node_count': 102, 'greatest_constraints_time': 1524076357.7705677, 'matching_time': 1524076357.7712529, 'first_graph_creation_time': 1524076357.7456205, 'number_of_matches': 56, 'second_graph_creation_time': 1524076357.765509}
{'graph_edge_sort_time': 1524076357.8131747, 'start_time': 1524076357.7715747, 'node_count': 90, 'greatest_constraints_time': 1524076357.8133419, 'matching_time': 1524076357.814289, 'first_graph_creation_time': 1524076357.7938654, 'number_of_matches': 63, 'second_graph_creation_time': 1524076357.8086066}
{'graph_edge_sort_time': 1524076357.8585224, 'start_time': 1524076357.8145037, 'node_count': 91, 'greatest_constraints_time': 1524076357.858661, 'matching_time': 1524076357.8589942, 'first_graph_creation_time': 1524076357.8378384, 'number_of_matches': 32, 'second_graph_creation_time': 1524076357.8546646}
{'graph_edge_sort_time': 1524076357.9121454, 'start_time': 1524076357.8593462, 'node_count': 99, 'greatest_constraints_time': 1524076357.9123204, 'matching_time': 1524076357.91333, 'first_graph_creation_time': 1524076357.887966, 'number_of_matches': 62, 'second_graph_creation_time': 1524076357.9069312}
{'graph_edge_sort_time': 1524076357.9684825, 'start_time': 1524076357.913674, 'node_count': 103, 'greatest_constraints_time': 1524076357.9686751, 'matching_time': 1524076357.9694755, 'first_graph_creation_time': 1524076357.9428983, 'number_of_matches': 57, 'second_graph_creation_time': 1524076357.963184}
{'graph_edge_sort_time': 1524076358.0183117, 'start_time': 1524076357.969821, 'node_count': 95, 'greatest_constraints_time': 1524076358.01847, 'matching_time': 1524076358.0193317, 'first_graph_creation_time': 1524076357.9957871, 'number_of_matches': 65, 'second_graph_creation_time': 1524076358.0131779}
{'graph_edge_sort_time': 1524076358.0730824, 'start_time': 1524076358.0195956, 'node_count': 104, 'greatest_constraints_time': 1524076358.0732372, 'matching_time': 1524076358.0738726, 'first_graph_creation_time': 1524076358.0480108, 'number_of_matches': 51, 'second_graph_creation_time': 1524076358.0683892}
{'graph_edge_sort_time': 1524076358.120891, 'start_time': 1524076358.074141, 'node_count': 96, 'greatest_constraints_time': 1524076358.1210587, 'matching_time': 1524076358.1219516, 'first_graph_creation_time': 1524076358.0990674, 'number_of_matches': 63, 'second_graph_creation_time': 1524076358.1157036}
{'graph_edge_sort_time': 1524076358.1686256, 'start_time': 1524076358.1223063, 'node_count': 91, 'greatest_constraints_time': 1524076358.168839, 'matching_time': 1524076358.1693344, 'first_graph_creation_time': 1524076358.145958, 'number_of_matches': 43, 'second_graph_creation_time': 1524076358.1646645}
{'graph_edge_sort_time': 1524076358.2253313, 'start_time': 1524076358.169638, 'node_count': 107, 'greatest_constraints_time': 1524076358.2254798, 'matching_time': 1524076358.2258425, 'first_graph_creation_time': 1524076358.199688, 'number_of_matches': 33, 'second_graph_creation_time': 1524076358.2208948}
{'graph_edge_sort_time': 1524076358.2813623, 'start_time': 1524076358.2260983, 'node_count': 106, 'greatest_constraints_time': 1524076358.2815175, 'matching_time': 1524076358.2821996, 'first_graph_creation_time': 1524076358.2550476, 'number_of_matches': 55, 'second_graph_creation_time': 1524076358.2762082}
{'graph_edge_sort_time': 1524076358.341085, 'start_time': 1524076358.2825713, 'node_count': 109, 'greatest_constraints_time': 1524076358.3412695, 'matching_time': 1524076358.342188, 'first_graph_creation_time': 1524076358.3129768, 'number_of_matches': 68, 'second_graph_creation_time': 1524076358.3349447}
{'graph_edge_sort_time': 1524076358.3944511, 'start_time': 1524076358.3425453, 'node_count': 99, 'greatest_constraints_time': 1524076358.394654, 'matching_time': 1524076358.3954368, 'first_graph_creation_time': 1524076358.370584, 'number_of_matches': 59, 'second_graph_creation_time': 1524076358.3894336}
{'graph_edge_sort_time': 1524076358.446108, 'start_time': 1524076358.395833, 'node_count': 99, 'greatest_constraints_time': 1524076358.4462905, 'matching_time': 1524076358.447054, 'first_graph_creation_time': 1524076358.422947, 'number_of_matches': 60, 'second_graph_creation_time': 1524076358.44113}
{'graph_edge_sort_time': 1524076358.5050623, 'start_time': 1524076358.447337, 'node_count': 110, 'greatest_constraints_time': 1524076358.5052526, 'matching_time': 1524076358.5062032, 'first_graph_creation_time': 1524076358.4779308, 'number_of_matches': 71, 'second_graph_creation_time': 1524076358.4988515}
{'graph_edge_sort_time': 1524076358.5564291, 'start_time': 1524076358.5064702, 'node_count': 99, 'greatest_constraints_time': 1524076358.5566308, 'matching_time': 1524076358.557302, 'first_graph_creation_time': 1524076358.5328147, 'number_of_matches': 52, 'second_graph_creation_time': 1524076358.55174}
{'graph_edge_sort_time': 1524076358.612261, 'start_time': 1524076358.5576928, 'node_count': 103, 'greatest_constraints_time': 1524076358.6124442, 'matching_time': 1524076358.613576, 'first_graph_creation_time': 1524076358.586943, 'number_of_matches': 67, 'second_graph_creation_time': 1524076358.6066809}
{'graph_edge_sort_time': 1524076358.6565454, 'start_time': 1524076358.61386, 'node_count': 91, 'greatest_constraints_time': 1524076358.656689, 'matching_time': 1524076358.6571386, 'first_graph_creation_time': 1524076358.6367898, 'number_of_matches': 38, 'second_graph_creation_time': 1524076358.6525815}
{'graph_edge_sort_time': 1524076358.7113624, 'start_time': 1524076358.6574988, 'node_count': 105, 'greatest_constraints_time': 1524076358.7115338, 'matching_time': 1524076358.7123187, 'first_graph_creation_time': 1524076358.6862822, 'number_of_matches': 60, 'second_graph_creation_time': 1524076358.7061954}
{'graph_edge_sort_time': 1524076358.7694807, 'start_time': 1524076358.7125802, 'node_count': 108, 'greatest_constraints_time': 1524076358.7696602, 'matching_time': 1524076358.770462, 'first_graph_creation_time': 1524076358.742492, 'number_of_matches': 59, 'second_graph_creation_time': 1524076358.7639964}
{'graph_edge_sort_time': 1524076358.832557, 'start_time': 1524076358.770776, 'node_count': 109, 'greatest_constraints_time': 1524076358.832708, 'matching_time': 1524076358.833232, 'first_graph_creation_time': 1524076358.80237, 'number_of_matches': 44, 'second_graph_creation_time': 1524076358.8277}
{'graph_edge_sort_time': 1524076358.885927, 'start_time': 1524076358.8336248, 'node_count': 101, 'greatest_constraints_time': 1524076358.8860748, 'matching_time': 1524076358.886519, 'first_graph_creation_time': 1524076358.8619192, 'number_of_matches': 40, 'second_graph_creation_time': 1524076358.881526}
{'graph_edge_sort_time': 1524076358.9421446, 'start_time': 1524076358.8868182, 'node_count': 108, 'greatest_constraints_time': 1524076358.9423168, 'matching_time': 1524076358.943108, 'first_graph_creation_time': 1524076358.9154866, 'number_of_matches': 62, 'second_graph_creation_time': 1524076358.936657}
{'graph_edge_sort_time': 1524076358.9969056, 'start_time': 1524076358.9433312, 'node_count': 105, 'greatest_constraints_time': 1524076358.9970567, 'matching_time': 1524076358.9975586, 'first_graph_creation_time': 1524076358.9711697, 'number_of_matches': 40, 'second_graph_creation_time': 1524076358.992368}
{'graph_edge_sort_time': 1524076359.0440772, 'start_time': 1524076358.9978774, 'node_count': 95, 'greatest_constraints_time': 1524076359.0442429, 'matching_time': 1524076359.0452287, 'first_graph_creation_time': 1524076359.0227249, 'number_of_matches': 67, 'second_graph_creation_time': 1524076359.0391104}
{'graph_edge_sort_time': 1524076359.1011987, 'start_time': 1524076359.0455306, 'node_count': 109, 'greatest_constraints_time': 1524076359.1013765, 'matching_time': 1524076359.1021926, 'first_graph_creation_time': 1524076359.075109, 'number_of_matches': 62, 'second_graph_creation_time': 1524076359.0957172}
{'graph_edge_sort_time': 1524076359.1597927, 'start_time': 1524076359.102474, 'node_count': 110, 'greatest_constraints_time': 1524076359.1599913, 'matching_time': 1524076359.160972, 'first_graph_creation_time': 1524076359.1329544, 'number_of_matches': 72, 'second_graph_creation_time': 1524076359.1539562}
{'graph_edge_sort_time': 1524076359.2166204, 'start_time': 1524076359.1612399, 'node_count': 107, 'greatest_constraints_time': 1524076359.216846, 'matching_time': 1524076359.217691, 'first_graph_creation_time': 1524076359.1899447, 'number_of_matches': 61, 'second_graph_creation_time': 1524076359.2109642}
{'graph_edge_sort_time': 1524076359.2735426, 'start_time': 1524076359.2179596, 'node_count': 105, 'greatest_constraints_time': 1524076359.2737296, 'matching_time': 1524076359.2746837, 'first_graph_creation_time': 1524076359.247635, 'number_of_matches': 70, 'second_graph_creation_time': 1524076359.2679012}
{'graph_edge_sort_time': 1524076359.3191843, 'start_time': 1524076359.2749834, 'node_count': 93, 'greatest_constraints_time': 1524076359.3193443, 'matching_time': 1524076359.3201363, 'first_graph_creation_time': 1524076359.2987518, 'number_of_matches': 61, 'second_graph_creation_time': 1524076359.3145382}
{'graph_edge_sort_time': 1524076359.3752522, 'start_time': 1524076359.3203688, 'node_count': 104, 'greatest_constraints_time': 1524076359.3754702, 'matching_time': 1524076359.3763602, 'first_graph_creation_time': 1524076359.349958, 'number_of_matches': 62, 'second_graph_creation_time': 1524076359.3700995}
{'graph_edge_sort_time': 1524076359.4326077, 'start_time': 1524076359.3766346, 'node_count': 108, 'greatest_constraints_time': 1524076359.4328005, 'matching_time': 1524076359.4333806, 'first_graph_creation_time': 1524076359.40581, 'number_of_matches': 48, 'second_graph_creation_time': 1524076359.4275792}
