{'matching_time': 1524076415.702186, 'second_graph_creation_time': 1524076415.6972315, 'first_graph_creation_time': 1524076415.6743197, 'number_of_matches': 31, 'node_count': 109, 'graph_edge_sort_time': 1524076415.7015955, 'start_time': 1524076415.6428645, 'greatest_constraints_time': 1524076415.7017379}
{'matching_time': 1524076415.76323, 'second_graph_creation_time': 1524076415.7580235, 'first_graph_creation_time': 1524076415.7347302, 'number_of_matches': 20, 'node_count': 108, 'graph_edge_sort_time': 1524076415.7628336, 'start_time': 1524076415.7025702, 'greatest_constraints_time': 1524076415.7629702}
{'matching_time': 1524076415.8236995, 'second_graph_creation_time': 1524076415.8186996, 'first_graph_creation_time': 1524076415.7945359, 'number_of_matches': 28, 'node_count': 106, 'graph_edge_sort_time': 1524076415.823177, 'start_time': 1524076415.7635002, 'greatest_constraints_time': 1524076415.8233187}
{'matching_time': 1524076415.8757238, 'second_graph_creation_time': 1524076415.8713677, 'first_graph_creation_time': 1524076415.8518379, 'number_of_matches': 28, 'node_count': 97, 'graph_edge_sort_time': 1524076415.8752115, 'start_time': 1524076415.8240175, 'greatest_constraints_time': 1524076415.8753452}
{'matching_time': 1524076415.935407, 'second_graph_creation_time': 1524076415.9307005, 'first_graph_creation_time': 1524076415.9081953, 'number_of_matches': 14, 'node_count': 110, 'graph_edge_sort_time': 1524076415.9351125, 'start_time': 1524076415.8761177, 'greatest_constraints_time': 1524076415.935248}
{'matching_time': 1524076415.9951203, 'second_graph_creation_time': 1524076415.9896255, 'first_graph_creation_time': 1524076415.9669719, 'number_of_matches': 29, 'node_count': 110, 'graph_edge_sort_time': 1524076415.9945662, 'start_time': 1524076415.9357924, 'greatest_constraints_time': 1524076415.994721}
{'matching_time': 1524076416.0478206, 'second_graph_creation_time': 1524076416.0437422, 'first_graph_creation_time': 1524076416.0235023, 'number_of_matches': 2, 'node_count': 100, 'graph_edge_sort_time': 1524076416.047613, 'start_time': 1524076415.995452, 'greatest_constraints_time': 1524076416.047787}
{'matching_time': 1524076416.1002676, 'second_graph_creation_time': 1524076416.0963361, 'first_graph_creation_time': 1524076416.0761867, 'number_of_matches': 7, 'node_count': 98, 'graph_edge_sort_time': 1524076416.1000519, 'start_time': 1524076416.0481393, 'greatest_constraints_time': 1524076416.1001976}
{'matching_time': 1524076416.1461165, 'second_graph_creation_time': 1524076416.1420302, 'first_graph_creation_time': 1524076416.1249492, 'number_of_matches': 27, 'node_count': 92, 'graph_edge_sort_time': 1524076416.145609, 'start_time': 1524076416.1007018, 'greatest_constraints_time': 1524076416.1457398}
{'matching_time': 1524076416.200894, 'second_graph_creation_time': 1524076416.1959722, 'first_graph_creation_time': 1524076416.1752732, 'number_of_matches': 27, 'node_count': 106, 'graph_edge_sort_time': 1524076416.2002263, 'start_time': 1524076416.146453, 'greatest_constraints_time': 1524076416.200361}
{'matching_time': 1524076416.247199, 'second_graph_creation_time': 1524076416.2438786, 'first_graph_creation_time': 1524076416.2274575, 'number_of_matches': 5, 'node_count': 91, 'graph_edge_sort_time': 1524076416.247063, 'start_time': 1524076416.201164, 'greatest_constraints_time': 1524076416.2471557}
{'matching_time': 1524076416.3058867, 'second_graph_creation_time': 1524076416.3011026, 'first_graph_creation_time': 1524076416.278649, 'number_of_matches': 18, 'node_count': 108, 'graph_edge_sort_time': 1524076416.3054547, 'start_time': 1524076416.2477484, 'greatest_constraints_time': 1524076416.305601}
{'matching_time': 1524076416.353684, 'second_graph_creation_time': 1524076416.3499892, 'first_graph_creation_time': 1524076416.3319457, 'number_of_matches': 1, 'node_count': 95, 'graph_edge_sort_time': 1524076416.353559, 'start_time': 1524076416.3062186, 'greatest_constraints_time': 1524076416.353665}
{'matching_time': 1524076416.4054449, 'second_graph_creation_time': 1524076416.401162, 'first_graph_creation_time': 1524076416.3815708, 'number_of_matches': 23, 'node_count': 99, 'graph_edge_sort_time': 1524076416.4050248, 'start_time': 1524076416.3540702, 'greatest_constraints_time': 1524076416.4051507}
{'matching_time': 1524076416.4567537, 'second_graph_creation_time': 1524076416.4529357, 'first_graph_creation_time': 1524076416.4332597, 'number_of_matches': 10, 'node_count': 98, 'graph_edge_sort_time': 1524076416.4565241, 'start_time': 1524076416.4057214, 'greatest_constraints_time': 1524076416.4566388}
{'matching_time': 1524076416.500806, 'second_graph_creation_time': 1524076416.496907, 'first_graph_creation_time': 1524076416.480502, 'number_of_matches': 26, 'node_count': 91, 'graph_edge_sort_time': 1524076416.500345, 'start_time': 1524076416.4571512, 'greatest_constraints_time': 1524076416.5004635}
{'matching_time': 1524076416.5566185, 'second_graph_creation_time': 1524076416.5527499, 'first_graph_creation_time': 1524076416.5319269, 'number_of_matches': 3, 'node_count': 101, 'graph_edge_sort_time': 1524076416.55647, 'start_time': 1524076416.501112, 'greatest_constraints_time': 1524076416.5565882}
{'matching_time': 1524076416.6093783, 'second_graph_creation_time': 1524076416.6053998, 'first_graph_creation_time': 1524076416.5853226, 'number_of_matches': 4, 'node_count': 100, 'graph_edge_sort_time': 1524076416.6092193, 'start_time': 1524076416.5569358, 'greatest_constraints_time': 1524076416.6093326}
{'matching_time': 1524076416.6660159, 'second_graph_creation_time': 1524076416.6603804, 'first_graph_creation_time': 1524076416.6396704, 'number_of_matches': 45, 'node_count': 107, 'graph_edge_sort_time': 1524076416.6650376, 'start_time': 1524076416.6098192, 'greatest_constraints_time': 1524076416.6651945}
{'matching_time': 1524076416.7203074, 'second_graph_creation_time': 1524076416.7156174, 'first_graph_creation_time': 1524076416.695123, 'number_of_matches': 19, 'node_count': 104, 'graph_edge_sort_time': 1524076416.719942, 'start_time': 1524076416.6663246, 'greatest_constraints_time': 1524076416.720073}
{'matching_time': 1524076416.767604, 'second_graph_creation_time': 1524076416.763504, 'first_graph_creation_time': 1524076416.7450125, 'number_of_matches': 23, 'node_count': 93, 'graph_edge_sort_time': 1524076416.767198, 'start_time': 1524076416.7207048, 'greatest_constraints_time': 1524076416.7673237}
{'matching_time': 1524076416.8107913, 'second_graph_creation_time': 1524076416.8070896, 'first_graph_creation_time': 1524076416.7911286, 'number_of_matches': 3, 'node_count': 90, 'graph_edge_sort_time': 1524076416.8105695, 'start_time': 1524076416.7679942, 'greatest_constraints_time': 1524076416.8107471}
{'matching_time': 1524076416.8591342, 'second_graph_creation_time': 1524076416.8551621, 'first_graph_creation_time': 1524076416.8372488, 'number_of_matches': 24, 'node_count': 95, 'graph_edge_sort_time': 1524076416.8586688, 'start_time': 1524076416.8112102, 'greatest_constraints_time': 1524076416.8587928}
{'matching_time': 1524076416.9147832, 'second_graph_creation_time': 1524076416.9099505, 'first_graph_creation_time': 1524076416.889097, 'number_of_matches': 29, 'node_count': 102, 'graph_edge_sort_time': 1524076416.9142373, 'start_time': 1524076416.8595, 'greatest_constraints_time': 1524076416.9143674}
