{'first_graph_creation_time': 1524076377.8434894, 'node_count': 98, 'second_graph_creation_time': 1524076377.8623278, 'matching_time': 1524076377.8673506, 'greatest_constraints_time': 1524076377.8667324, 'graph_edge_sort_time': 1524076377.8665435, 'number_of_matches': 37, 'start_time': 1524076377.8170323}
{'first_graph_creation_time': 1524076377.8991787, 'node_count': 110, 'second_graph_creation_time': 1524076377.9218805, 'matching_time': 1524076377.9286256, 'greatest_constraints_time': 1524076377.927495, 'graph_edge_sort_time': 1524076377.9273162, 'number_of_matches': 55, 'start_time': 1524076377.8677375}
{'first_graph_creation_time': 1524076377.9590714, 'node_count': 107, 'second_graph_creation_time': 1524076377.9803503, 'matching_time': 1524076377.9878361, 'greatest_constraints_time': 1524076377.9863987, 'graph_edge_sort_time': 1524076377.986227, 'number_of_matches': 66, 'start_time': 1524076377.9288964}
{'first_graph_creation_time': 1524076378.013871, 'node_count': 95, 'second_graph_creation_time': 1524076378.0314114, 'matching_time': 1524076378.0362072, 'greatest_constraints_time': 1524076378.0355198, 'graph_edge_sort_time': 1524076378.0353847, 'number_of_matches': 41, 'start_time': 1524076377.9882133}
{'first_graph_creation_time': 1524076378.0621648, 'node_count': 95, 'second_graph_creation_time': 1524076378.07974, 'matching_time': 1524076378.0844681, 'greatest_constraints_time': 1524076378.0837677, 'graph_edge_sort_time': 1524076378.0836298, 'number_of_matches': 40, 'start_time': 1524076378.0365067}
{'first_graph_creation_time': 1524076378.1116757, 'node_count': 100, 'second_graph_creation_time': 1524076378.131059, 'matching_time': 1524076378.1376803, 'greatest_constraints_time': 1524076378.1365213, 'graph_edge_sort_time': 1524076378.1363194, 'number_of_matches': 56, 'start_time': 1524076378.084792}
{'first_graph_creation_time': 1524076378.1680522, 'node_count': 106, 'second_graph_creation_time': 1524076378.189042, 'matching_time': 1524076378.194389, 'greatest_constraints_time': 1524076378.1937869, 'graph_edge_sort_time': 1524076378.1936429, 'number_of_matches': 38, 'start_time': 1524076378.138049}
{'first_graph_creation_time': 1524076378.2226436, 'node_count': 99, 'second_graph_creation_time': 1524076378.241407, 'matching_time': 1524076378.2477646, 'greatest_constraints_time': 1524076378.2464976, 'graph_edge_sort_time': 1524076378.246339, 'number_of_matches': 60, 'start_time': 1524076378.194756}
{'first_graph_creation_time': 1524076378.2755802, 'node_count': 98, 'second_graph_creation_time': 1524076378.293882, 'matching_time': 1524076378.299575, 'greatest_constraints_time': 1524076378.2986846, 'graph_edge_sort_time': 1524076378.298547, 'number_of_matches': 48, 'start_time': 1524076378.2480414}
{'first_graph_creation_time': 1524076378.330856, 'node_count': 109, 'second_graph_creation_time': 1524076378.3528123, 'matching_time': 1524076378.358314, 'greatest_constraints_time': 1524076378.3577254, 'graph_edge_sort_time': 1524076378.3575668, 'number_of_matches': 37, 'start_time': 1524076378.299837}
