{'second_graph_creation_time': 1524078941.6398952, 'first_graph_creation_time': 1524078941.5401037, 'number_of_matches': 152, 'matching_time': 1524078941.6737726, 'graph_edge_sort_time': 1524078941.6659722, 'node_count': 193, 'greatest_constraints_time': 1524078941.66647, 'start_time': 1524078941.4142096}
{'second_graph_creation_time': 1524078941.9357922, 'first_graph_creation_time': 1524078941.8211021, 'number_of_matches': 207, 'matching_time': 1524078941.9833045, 'graph_edge_sort_time': 1524078941.9701605, 'node_count': 219, 'greatest_constraints_time': 1524078941.9707694, 'start_time': 1524078941.6741614}
{'second_graph_creation_time': 1524078942.2214675, 'first_graph_creation_time': 1524078942.111525, 'number_of_matches': 130, 'matching_time': 1524078942.2505667, 'graph_edge_sort_time': 1524078942.244572, 'node_count': 198, 'greatest_constraints_time': 1524078942.2450414, 'start_time': 1524078941.983682}
{'second_graph_creation_time': 1524078942.4744706, 'first_graph_creation_time': 1524078942.3761497, 'number_of_matches': 158, 'matching_time': 1524078942.5079567, 'graph_edge_sort_time': 1524078942.4997578, 'node_count': 194, 'greatest_constraints_time': 1524078942.5003126, 'start_time': 1524078942.2509305}
{'second_graph_creation_time': 1524078942.7631624, 'first_graph_creation_time': 1524078942.6533237, 'number_of_matches': 214, 'matching_time': 1524078942.8127596, 'graph_edge_sort_time': 1524078942.7995353, 'node_count': 218, 'greatest_constraints_time': 1524078942.8002074, 'start_time': 1524078942.5083156}
{'second_graph_creation_time': 1524078943.024528, 'first_graph_creation_time': 1524078942.9331064, 'number_of_matches': 161, 'matching_time': 1524078943.0586896, 'graph_edge_sort_time': 1524078943.0503469, 'node_count': 189, 'greatest_constraints_time': 1524078943.050806, 'start_time': 1524078942.8131492}
{'second_graph_creation_time': 1524078943.3112483, 'first_graph_creation_time': 1524078943.2029638, 'number_of_matches': 204, 'matching_time': 1524078943.3584085, 'graph_edge_sort_time': 1524078943.346302, 'node_count': 213, 'greatest_constraints_time': 1524078943.3469012, 'start_time': 1524078943.0590425}
{'second_graph_creation_time': 1524078943.5689878, 'first_graph_creation_time': 1524078943.4765122, 'number_of_matches': 150, 'matching_time': 1524078943.6014595, 'graph_edge_sort_time': 1524078943.5938663, 'node_count': 187, 'greatest_constraints_time': 1524078943.5943696, 'start_time': 1524078943.3589118}
{'second_graph_creation_time': 1524078943.8608742, 'first_graph_creation_time': 1524078943.7453678, 'number_of_matches': 190, 'matching_time': 1524078943.904392, 'graph_edge_sort_time': 1524078943.8927348, 'node_count': 216, 'greatest_constraints_time': 1524078943.8934205, 'start_time': 1524078943.6018307}
{'second_graph_creation_time': 1524078944.0977166, 'first_graph_creation_time': 1524078944.0184574, 'number_of_matches': 185, 'matching_time': 1524078944.1435027, 'graph_edge_sort_time': 1524078944.1276155, 'node_count': 186, 'greatest_constraints_time': 1524078944.128191, 'start_time': 1524078943.9047644}
{'second_graph_creation_time': 1524078944.4025307, 'first_graph_creation_time': 1524078944.2824893, 'number_of_matches': 153, 'matching_time': 1524078944.4364393, 'graph_edge_sort_time': 1524078944.4287057, 'node_count': 211, 'greatest_constraints_time': 1524078944.4292185, 'start_time': 1524078944.1438775}
{'second_graph_creation_time': 1524078944.683889, 'first_graph_creation_time': 1524078944.5709653, 'number_of_matches': 164, 'matching_time': 1524078944.7198658, 'graph_edge_sort_time': 1524078944.7113352, 'node_count': 205, 'greatest_constraints_time': 1524078944.7118442, 'start_time': 1524078944.4368143}
{'second_graph_creation_time': 1524078944.9727504, 'first_graph_creation_time': 1524078944.8568954, 'number_of_matches': 146, 'matching_time': 1524078945.0056577, 'graph_edge_sort_time': 1524078944.9984088, 'node_count': 207, 'greatest_constraints_time': 1524078944.998955, 'start_time': 1524078944.7219605}
{'second_graph_creation_time': 1524078945.2595017, 'first_graph_creation_time': 1524078945.1433043, 'number_of_matches': 154, 'matching_time': 1524078945.2949972, 'graph_edge_sort_time': 1524078945.286903, 'node_count': 207, 'greatest_constraints_time': 1524078945.2874007, 'start_time': 1524078945.0060258}
{'second_graph_creation_time': 1524078945.5610242, 'first_graph_creation_time': 1524078945.4446704, 'number_of_matches': 205, 'matching_time': 1524078945.6071403, 'graph_edge_sort_time': 1524078945.59504, 'node_count': 218, 'greatest_constraints_time': 1524078945.5956213, 'start_time': 1524078945.2953527}
{'second_graph_creation_time': 1524078945.8787222, 'first_graph_creation_time': 1524078945.7503588, 'number_of_matches': 160, 'matching_time': 1524078945.914325, 'graph_edge_sort_time': 1524078945.9061015, 'node_count': 215, 'greatest_constraints_time': 1524078945.9067767, 'start_time': 1524078945.607495}
{'second_graph_creation_time': 1524078946.1704195, 'first_graph_creation_time': 1524078946.0701203, 'number_of_matches': 162, 'matching_time': 1524078946.2053335, 'graph_edge_sort_time': 1524078946.1966965, 'node_count': 195, 'greatest_constraints_time': 1524078946.1972039, 'start_time': 1524078945.9146569}
{'second_graph_creation_time': 1524078946.4203825, 'first_graph_creation_time': 1524078946.324595, 'number_of_matches': 139, 'matching_time': 1524078946.4506416, 'graph_edge_sort_time': 1524078946.444045, 'node_count': 188, 'greatest_constraints_time': 1524078946.4444945, 'start_time': 1524078946.2056723}
{'second_graph_creation_time': 1524078946.639536, 'first_graph_creation_time': 1524078946.5612082, 'number_of_matches': 175, 'matching_time': 1524078946.6777592, 'graph_edge_sort_time': 1524078946.666881, 'node_count': 181, 'greatest_constraints_time': 1524078946.667331, 'start_time': 1524078946.4509861}
{'second_graph_creation_time': 1524078946.8937948, 'first_graph_creation_time': 1524078946.798286, 'number_of_matches': 141, 'matching_time': 1524078946.924978, 'graph_edge_sort_time': 1524078946.9179106, 'node_count': 189, 'greatest_constraints_time': 1524078946.9183688, 'start_time': 1524078946.6781154}
{'second_graph_creation_time': 1524078947.1832538, 'first_graph_creation_time': 1524078947.0701337, 'number_of_matches': 213, 'matching_time': 1524078947.2323496, 'graph_edge_sort_time': 1524078947.2191744, 'node_count': 220, 'greatest_constraints_time': 1524078947.2198462, 'start_time': 1524078946.9253395}
{'second_graph_creation_time': 1524078947.4306626, 'first_graph_creation_time': 1524078947.3445454, 'number_of_matches': 142, 'matching_time': 1524078947.4606237, 'graph_edge_sort_time': 1524078947.4533825, 'node_count': 182, 'greatest_constraints_time': 1524078947.4538252, 'start_time': 1524078947.2326877}
{'second_graph_creation_time': 1524078947.722017, 'first_graph_creation_time': 1524078947.6083648, 'number_of_matches': 187, 'matching_time': 1524078947.7642102, 'graph_edge_sort_time': 1524078947.753402, 'node_count': 210, 'greatest_constraints_time': 1524078947.7540002, 'start_time': 1524078947.460974}
{'second_graph_creation_time': 1524078948.029295, 'first_graph_creation_time': 1524078947.9079905, 'number_of_matches': 163, 'matching_time': 1524078948.0657158, 'graph_edge_sort_time': 1524078948.0574713, 'node_count': 214, 'greatest_constraints_time': 1524078948.0579607, 'start_time': 1524078947.7645345}
{'second_graph_creation_time': 1524078948.2647018, 'first_graph_creation_time': 1524078948.1826007, 'number_of_matches': 180, 'matching_time': 1524078948.3060255, 'graph_edge_sort_time': 1524078948.295108, 'node_count': 186, 'greatest_constraints_time': 1524078948.2956705, 'start_time': 1524078948.0660472}
{'second_graph_creation_time': 1524078948.51151, 'first_graph_creation_time': 1524078948.4202313, 'number_of_matches': 138, 'matching_time': 1524078948.5416307, 'graph_edge_sort_time': 1524078948.5346687, 'node_count': 184, 'greatest_constraints_time': 1524078948.5351386, 'start_time': 1524078948.306466}
{'second_graph_creation_time': 1524078948.7434824, 'first_graph_creation_time': 1524078948.6591723, 'number_of_matches': 178, 'matching_time': 1524078948.7841501, 'graph_edge_sort_time': 1524078948.7727156, 'node_count': 186, 'greatest_constraints_time': 1524078948.7734241, 'start_time': 1524078948.541986}
{'second_graph_creation_time': 1524078949.0230556, 'first_graph_creation_time': 1524078948.9110613, 'number_of_matches': 118, 'matching_time': 1524078949.05082, 'graph_edge_sort_time': 1524078949.0454073, 'node_count': 196, 'greatest_constraints_time': 1524078949.0459645, 'start_time': 1524078948.7844996}
{'second_graph_creation_time': 1524078949.3180587, 'first_graph_creation_time': 1524078949.1930053, 'number_of_matches': 128, 'matching_time': 1524078949.3478422, 'graph_edge_sort_time': 1524078949.3421338, 'node_count': 213, 'greatest_constraints_time': 1524078949.3425994, 'start_time': 1524078949.0511515}
{'second_graph_creation_time': 1524078949.5848398, 'first_graph_creation_time': 1524078949.4844317, 'number_of_matches': 202, 'matching_time': 1524078949.632497, 'graph_edge_sort_time': 1524078949.6201243, 'node_count': 205, 'greatest_constraints_time': 1524078949.620775, 'start_time': 1524078949.3481486}
{'second_graph_creation_time': 1524078949.8820632, 'first_graph_creation_time': 1524078949.7700846, 'number_of_matches': 172, 'matching_time': 1524078949.9199166, 'graph_edge_sort_time': 1524078949.9105632, 'node_count': 206, 'greatest_constraints_time': 1524078949.9110885, 'start_time': 1524078949.6328442}
{'second_graph_creation_time': 1524078950.1730983, 'first_graph_creation_time': 1524078950.05898, 'number_of_matches': 145, 'matching_time': 1524078950.2053173, 'graph_edge_sort_time': 1524078950.198028, 'node_count': 205, 'greatest_constraints_time': 1524078950.1984699, 'start_time': 1524078949.921954}
{'second_graph_creation_time': 1524078950.4680746, 'first_graph_creation_time': 1524078950.3481295, 'number_of_matches': 166, 'matching_time': 1524078950.5053084, 'graph_edge_sort_time': 1524078950.4963787, 'node_count': 214, 'greatest_constraints_time': 1524078950.4969556, 'start_time': 1524078950.2056394}
{'second_graph_creation_time': 1524078950.7546334, 'first_graph_creation_time': 1524078950.638723, 'number_of_matches': 160, 'matching_time': 1524078950.789842, 'graph_edge_sort_time': 1524078950.7814848, 'node_count': 204, 'greatest_constraints_time': 1524078950.782008, 'start_time': 1524078950.5056272}
{'second_graph_creation_time': 1524078951.006071, 'first_graph_creation_time': 1524078950.9136488, 'number_of_matches': 181, 'matching_time': 1524078951.0462635, 'graph_edge_sort_time': 1524078951.0356727, 'node_count': 194, 'greatest_constraints_time': 1524078951.0361998, 'start_time': 1524078950.7901802}
{'second_graph_creation_time': 1524078951.2915642, 'first_graph_creation_time': 1524078951.1815298, 'number_of_matches': 174, 'matching_time': 1524078951.331853, 'graph_edge_sort_time': 1524078951.3212624, 'node_count': 201, 'greatest_constraints_time': 1524078951.3219042, 'start_time': 1524078951.0465882}
