{'first_graph_creation_time': 1524078482.5508473, 'matching_time': 1524078482.5763593, 'number_of_matches': 98, 'second_graph_creation_time': 1524078482.569767, 'start_time': 1524078482.5262504, 'node_count': 219, 'greatest_constraints_time': 1524078482.5748887, 'graph_edge_sort_time': 1524078482.5744865}
{'first_graph_creation_time': 1524078482.5976126, 'matching_time': 1524078482.6222413, 'number_of_matches': 95, 'second_graph_creation_time': 1524078482.6162224, 'start_time': 1524078482.5766494, 'node_count': 193, 'greatest_constraints_time': 1524078482.6207595, 'graph_edge_sort_time': 1524078482.6204817}
{'first_graph_creation_time': 1524078482.6458442, 'matching_time': 1524078482.6707265, 'number_of_matches': 96, 'second_graph_creation_time': 1524078482.6644433, 'start_time': 1524078482.622526, 'node_count': 201, 'greatest_constraints_time': 1524078482.6693664, 'graph_edge_sort_time': 1524078482.6690664}
{'first_graph_creation_time': 1524078482.6951964, 'matching_time': 1524078482.7199829, 'number_of_matches': 82, 'second_graph_creation_time': 1524078482.7141888, 'start_time': 1524078482.6710114, 'node_count': 194, 'greatest_constraints_time': 1524078482.7187803, 'graph_edge_sort_time': 1524078482.7184918}
{'first_graph_creation_time': 1524078482.7439775, 'matching_time': 1524078482.7694771, 'number_of_matches': 76, 'second_graph_creation_time': 1524078482.7638593, 'start_time': 1524078482.7202907, 'node_count': 205, 'greatest_constraints_time': 1524078482.7684028, 'graph_edge_sort_time': 1524078482.7681322}
{'first_graph_creation_time': 1524078482.7924685, 'matching_time': 1524078482.816941, 'number_of_matches': 85, 'second_graph_creation_time': 1524078482.8107243, 'start_time': 1524078482.7697732, 'node_count': 207, 'greatest_constraints_time': 1524078482.8155, 'graph_edge_sort_time': 1524078482.8151107}
{'first_graph_creation_time': 1524078482.8391216, 'matching_time': 1524078482.8629034, 'number_of_matches': 104, 'second_graph_creation_time': 1524078482.856279, 'start_time': 1524078482.8172894, 'node_count': 198, 'greatest_constraints_time': 1524078482.861311, 'graph_edge_sort_time': 1524078482.8610003}
{'first_graph_creation_time': 1524078482.8892014, 'matching_time': 1524078482.9178267, 'number_of_matches': 141, 'second_graph_creation_time': 1524078482.9099162, 'start_time': 1524078482.8632193, 'node_count': 211, 'greatest_constraints_time': 1524078482.9155905, 'graph_edge_sort_time': 1524078482.9152446}
{'first_graph_creation_time': 1524078482.9401212, 'matching_time': 1524078482.963296, 'number_of_matches': 97, 'second_graph_creation_time': 1524078482.9574099, 'start_time': 1524078482.9181106, 'node_count': 192, 'greatest_constraints_time': 1524078482.9619277, 'graph_edge_sort_time': 1524078482.961648}
{'first_graph_creation_time': 1524078482.9881017, 'matching_time': 1524078483.015269, 'number_of_matches': 132, 'second_graph_creation_time': 1524078483.0069706, 'start_time': 1524078482.96358, 'node_count': 219, 'greatest_constraints_time': 1524078483.0129552, 'graph_edge_sort_time': 1524078483.0126069}
