{'greatest_constraints_time': 1524079953.4402235, 'number_of_matches': 52, 'matching_time': 1524079953.4414954, 'node_count': 281, 'first_graph_creation_time': 1524079953.2543201, 'graph_edge_sort_time': 1524079953.4396975, 'start_time': 1524079953.0811818, 'second_graph_creation_time': 1524079953.417036}
{'greatest_constraints_time': 1524079953.8324575, 'number_of_matches': 10, 'matching_time': 1524079953.832659, 'node_count': 299, 'first_graph_creation_time': 1524079953.629315, 'graph_edge_sort_time': 1524079953.831967, 'start_time': 1524079953.4418802, 'second_graph_creation_time': 1524079953.8082302}
{'greatest_constraints_time': 1524079954.2228785, 'number_of_matches': 67, 'matching_time': 1524079954.2246501, 'node_count': 297, 'first_graph_creation_time': 1524079954.0172217, 'graph_edge_sort_time': 1524079954.2223492, 'start_time': 1524079953.8347642, 'second_graph_creation_time': 1524079954.196916}
{'greatest_constraints_time': 1524079954.6080203, 'number_of_matches': 19, 'matching_time': 1524079954.608485, 'node_count': 298, 'first_graph_creation_time': 1524079954.4084365, 'graph_edge_sort_time': 1524079954.6075482, 'start_time': 1524079954.2250285, 'second_graph_creation_time': 1524079954.583357}
{'greatest_constraints_time': 1524079955.0181825, 'number_of_matches': 66, 'matching_time': 1524079955.0199842, 'node_count': 305, 'first_graph_creation_time': 1524079954.8049433, 'graph_edge_sort_time': 1524079955.0176735, 'start_time': 1524079954.6088333, 'second_graph_creation_time': 1524079954.992168}
{'greatest_constraints_time': 1524079955.409114, 'number_of_matches': 57, 'matching_time': 1524079955.4105313, 'node_count': 272, 'first_graph_creation_time': 1524079955.1923702, 'graph_edge_sort_time': 1524079955.4086535, 'start_time': 1524079955.0203645, 'second_graph_creation_time': 1524079955.3861392}
{'greatest_constraints_time': 1524079955.7825963, 'number_of_matches': 69, 'matching_time': 1524079955.7845292, 'node_count': 286, 'first_graph_creation_time': 1524079955.5865822, 'graph_edge_sort_time': 1524079955.7821097, 'start_time': 1524079955.4108639, 'second_graph_creation_time': 1524079955.758435}
{'greatest_constraints_time': 1524079956.1486983, 'number_of_matches': 60, 'matching_time': 1524079956.150323, 'node_count': 278, 'first_graph_creation_time': 1524079955.957923, 'graph_edge_sort_time': 1524079956.1482584, 'start_time': 1524079955.7848763, 'second_graph_creation_time': 1524079956.1249738}
{'greatest_constraints_time': 1524079956.5704079, 'number_of_matches': 85, 'matching_time': 1524079956.5728686, 'node_count': 313, 'first_graph_creation_time': 1524079956.3501134, 'graph_edge_sort_time': 1524079956.5698369, 'start_time': 1524079956.1506715, 'second_graph_creation_time': 1524079956.5426917}
{'greatest_constraints_time': 1524079956.9890296, 'number_of_matches': 15, 'matching_time': 1524079956.9893513, 'node_count': 314, 'first_graph_creation_time': 1524079956.7698169, 'graph_edge_sort_time': 1524079956.9885533, 'start_time': 1524079956.5732172, 'second_graph_creation_time': 1524079956.9633672}
{'greatest_constraints_time': 1524079957.4419968, 'number_of_matches': 125, 'matching_time': 1524079957.4463522, 'node_count': 329, 'first_graph_creation_time': 1524079957.2007403, 'graph_edge_sort_time': 1524079957.4413214, 'start_time': 1524079956.989723, 'second_graph_creation_time': 1524079957.4112778}
{'greatest_constraints_time': 1524079957.8512743, 'number_of_matches': 3, 'matching_time': 1524079957.8513544, 'node_count': 311, 'first_graph_creation_time': 1524079957.6395223, 'graph_edge_sort_time': 1524079957.8507814, 'start_time': 1524079957.4467263, 'second_graph_creation_time': 1524079957.8257182}
{'greatest_constraints_time': 1524079958.1939397, 'number_of_matches': 79, 'matching_time': 1524079958.1961758, 'node_count': 272, 'first_graph_creation_time': 1524079958.0153565, 'graph_edge_sort_time': 1524079958.193479, 'start_time': 1524079957.8517003, 'second_graph_creation_time': 1524079958.1704783}
{'greatest_constraints_time': 1524079958.5613909, 'number_of_matches': 92, 'matching_time': 1524079958.5642865, 'node_count': 280, 'first_graph_creation_time': 1524079958.3683324, 'graph_edge_sort_time': 1524079958.5608253, 'start_time': 1524079958.1965702, 'second_graph_creation_time': 1524079958.536499}
{'greatest_constraints_time': 1524079958.922407, 'number_of_matches': 72, 'matching_time': 1524079958.9243476, 'node_count': 277, 'first_graph_creation_time': 1524079958.73559, 'graph_edge_sort_time': 1524079958.9219496, 'start_time': 1524079958.5646036, 'second_graph_creation_time': 1524079958.8986194}
{'greatest_constraints_time': 1524079959.3417134, 'number_of_matches': 60, 'matching_time': 1524079959.3432977, 'node_count': 315, 'first_graph_creation_time': 1524079959.1230838, 'graph_edge_sort_time': 1524079959.3411362, 'start_time': 1524079958.9263017, 'second_graph_creation_time': 1524079959.315206}
{'greatest_constraints_time': 1524079959.6916869, 'number_of_matches': 21, 'matching_time': 1524079959.6921144, 'node_count': 274, 'first_graph_creation_time': 1524079959.510669, 'graph_edge_sort_time': 1524079959.6912963, 'start_time': 1524079959.3436549, 'second_graph_creation_time': 1524079959.6699462}
{'greatest_constraints_time': 1524079960.1068583, 'number_of_matches': 49, 'matching_time': 1524079960.1080856, 'node_count': 307, 'first_graph_creation_time': 1524079959.886431, 'graph_edge_sort_time': 1524079960.1063137, 'start_time': 1524079959.6924858, 'second_graph_creation_time': 1524079960.0807512}
{'greatest_constraints_time': 1524079960.5083137, 'number_of_matches': 93, 'matching_time': 1524079960.5110068, 'node_count': 304, 'first_graph_creation_time': 1524079960.2970107, 'graph_edge_sort_time': 1524079960.5077815, 'start_time': 1524079960.1084404, 'second_graph_creation_time': 1524079960.481775}
{'greatest_constraints_time': 1524079960.9149282, 'number_of_matches': 5, 'matching_time': 1524079960.9150045, 'node_count': 306, 'first_graph_creation_time': 1524079960.7037573, 'graph_edge_sort_time': 1524079960.914458, 'start_time': 1524079960.511422, 'second_graph_creation_time': 1524079960.8896794}
{'greatest_constraints_time': 1524079961.3165991, 'number_of_matches': 25, 'matching_time': 1524079961.3172762, 'node_count': 308, 'first_graph_creation_time': 1524079961.1060004, 'graph_edge_sort_time': 1524079961.3160248, 'start_time': 1524079960.9153452, 'second_graph_creation_time': 1524079961.2911756}
{'greatest_constraints_time': 1524079961.7311206, 'number_of_matches': 76, 'matching_time': 1524079961.7333033, 'node_count': 306, 'first_graph_creation_time': 1524079961.5096917, 'graph_edge_sort_time': 1524079961.7306137, 'start_time': 1524079961.3176534, 'second_graph_creation_time': 1524079961.7043526}
{'greatest_constraints_time': 1524079962.1043446, 'number_of_matches': 49, 'matching_time': 1524079962.1055584, 'node_count': 282, 'first_graph_creation_time': 1524079961.9106355, 'graph_edge_sort_time': 1524079962.1038868, 'start_time': 1524079961.7336712, 'second_graph_creation_time': 1524079962.0802429}
{'greatest_constraints_time': 1524079962.4589114, 'number_of_matches': 56, 'matching_time': 1524079962.4603271, 'node_count': 273, 'first_graph_creation_time': 1524079962.2754488, 'graph_edge_sort_time': 1524079962.4584866, 'start_time': 1524079962.105904, 'second_graph_creation_time': 1524079962.436042}
{'greatest_constraints_time': 1524079962.8901727, 'number_of_matches': 96, 'matching_time': 1524079962.8932447, 'node_count': 315, 'first_graph_creation_time': 1524079962.661888, 'graph_edge_sort_time': 1524079962.8896081, 'start_time': 1524079962.4607038, 'second_graph_creation_time': 1524079962.8612046}
{'greatest_constraints_time': 1524079963.274041, 'number_of_matches': 64, 'matching_time': 1524079963.275745, 'node_count': 291, 'first_graph_creation_time': 1524079963.0732987, 'graph_edge_sort_time': 1524079963.2735248, 'start_time': 1524079962.8935912, 'second_graph_creation_time': 1524079963.249425}
{'greatest_constraints_time': 1524079963.68864, 'number_of_matches': 99, 'matching_time': 1524079963.691976, 'node_count': 309, 'first_graph_creation_time': 1524079963.468628, 'graph_edge_sort_time': 1524079963.6880522, 'start_time': 1524079963.2760434, 'second_graph_creation_time': 1524079963.6602547}
{'greatest_constraints_time': 1524079964.0821466, 'number_of_matches': 94, 'matching_time': 1524079964.0855427, 'node_count': 296, 'first_graph_creation_time': 1524079963.8758702, 'graph_edge_sort_time': 1524079964.081418, 'start_time': 1524079963.6923041, 'second_graph_creation_time': 1524079964.0550346}
{'greatest_constraints_time': 1524079964.500214, 'number_of_matches': 98, 'matching_time': 1524079964.5034385, 'node_count': 309, 'first_graph_creation_time': 1524079964.2804322, 'graph_edge_sort_time': 1524079964.4996622, 'start_time': 1524079964.0873775, 'second_graph_creation_time': 1524079964.4721837}
