{'matching_time': 1524078813.620799, 'node_count': 194, 'second_graph_creation_time': 1524078813.5845191, 'greatest_constraints_time': 1524078813.6150913, 'number_of_matches': 194, 'start_time': 1524078813.3739412, 'graph_edge_sort_time': 1524078813.6145356, 'first_graph_creation_time': 1524078813.497083}
{'matching_time': 1524078813.8342047, 'node_count': 180, 'second_graph_creation_time': 1524078813.8023586, 'greatest_constraints_time': 1524078813.8290555, 'number_of_matches': 180, 'start_time': 1524078813.621156, 'graph_edge_sort_time': 1524078813.828564, 'first_graph_creation_time': 1524078813.7284286}
{'matching_time': 1524078814.1072216, 'node_count': 204, 'second_graph_creation_time': 1524078814.0638976, 'greatest_constraints_time': 1524078814.100162, 'number_of_matches': 204, 'start_time': 1524078813.834544, 'graph_edge_sort_time': 1524078814.0994086, 'first_graph_creation_time': 1524078813.9677136}
{'matching_time': 1524078814.3273947, 'node_count': 181, 'second_graph_creation_time': 1524078814.294169, 'greatest_constraints_time': 1524078814.3216388, 'number_of_matches': 181, 'start_time': 1524078814.107582, 'graph_edge_sort_time': 1524078814.32111, 'first_graph_creation_time': 1524078814.2194433}
{'matching_time': 1524078814.5513413, 'node_count': 185, 'second_graph_creation_time': 1524078814.5175545, 'greatest_constraints_time': 1524078814.5457234, 'number_of_matches': 185, 'start_time': 1524078814.3277676, 'graph_edge_sort_time': 1524078814.5452173, 'first_graph_creation_time': 1524078814.4406183}
{'matching_time': 1524078814.786567, 'node_count': 188, 'second_graph_creation_time': 1524078814.751024, 'greatest_constraints_time': 1524078814.7808616, 'number_of_matches': 188, 'start_time': 1524078814.551689, 'graph_edge_sort_time': 1524078814.7802851, 'first_graph_creation_time': 1524078814.6685038}
{'matching_time': 1524078815.0020049, 'node_count': 180, 'second_graph_creation_time': 1524078814.9699259, 'greatest_constraints_time': 1524078814.9967194, 'number_of_matches': 180, 'start_time': 1524078814.7869365, 'graph_edge_sort_time': 1524078814.9962187, 'first_graph_creation_time': 1524078814.8950703}
{'matching_time': 1524078815.2376175, 'node_count': 188, 'second_graph_creation_time': 1524078815.2021198, 'greatest_constraints_time': 1524078815.2319152, 'number_of_matches': 188, 'start_time': 1524078815.0023448, 'graph_edge_sort_time': 1524078815.231363, 'first_graph_creation_time': 1524078815.120109}
{'matching_time': 1524078815.5057497, 'node_count': 203, 'second_graph_creation_time': 1524078815.4660614, 'greatest_constraints_time': 1524078815.499513, 'number_of_matches': 203, 'start_time': 1524078815.237991, 'graph_edge_sort_time': 1524078815.4987884, 'first_graph_creation_time': 1524078815.3703437}
{'matching_time': 1524078815.8105006, 'node_count': 218, 'second_graph_creation_time': 1524078815.767128, 'greatest_constraints_time': 1524078815.803142, 'number_of_matches': 218, 'start_time': 1524078815.506115, 'graph_edge_sort_time': 1524078815.8024733, 'first_graph_creation_time': 1524078815.65538}
