{'node_count': 271, 'graph_edge_sort_time': 1524080284.968279, 'start_time': 1524080284.3804357, 'second_graph_creation_time': 1524080284.9132922, 'number_of_matches': 239, 'first_graph_creation_time': 1524080284.6659927, 'matching_time': 1524080284.9873748, 'greatest_constraints_time': 1524080284.969116}
{'node_count': 322, 'graph_edge_sort_time': 1524080285.7829256, 'start_time': 1524080284.987728, 'second_graph_creation_time': 1524080285.7070637, 'number_of_matches': 303, 'first_graph_creation_time': 1524080285.368521, 'matching_time': 1524080285.8129213, 'greatest_constraints_time': 1524080285.784137}
{'node_count': 285, 'graph_edge_sort_time': 1524080286.4737203, 'start_time': 1524080285.81333, 'second_graph_creation_time': 1524080286.4145246, 'number_of_matches': 246, 'first_graph_creation_time': 1524080286.1268318, 'matching_time': 1524080286.493643, 'greatest_constraints_time': 1524080286.4746187}
{'node_count': 278, 'graph_edge_sort_time': 1524080287.1576664, 'start_time': 1524080286.4940197, 'second_graph_creation_time': 1524080287.0983005, 'number_of_matches': 253, 'first_graph_creation_time': 1524080286.8380826, 'matching_time': 1524080287.1786368, 'greatest_constraints_time': 1524080287.1585991}
{'node_count': 301, 'graph_edge_sort_time': 1524080287.9249554, 'start_time': 1524080287.179011, 'second_graph_creation_time': 1524080287.8568454, 'number_of_matches': 264, 'first_graph_creation_time': 1524080287.5378208, 'matching_time': 1524080287.9472065, 'greatest_constraints_time': 1524080287.925922}
{'node_count': 286, 'graph_edge_sort_time': 1524080288.6164124, 'start_time': 1524080287.949299, 'second_graph_creation_time': 1524080288.5612915, 'number_of_matches': 224, 'first_graph_creation_time': 1524080288.2684393, 'matching_time': 1524080288.6335325, 'greatest_constraints_time': 1524080288.6173868}
{'node_count': 287, 'graph_edge_sort_time': 1524080289.2985675, 'start_time': 1524080288.6338928, 'second_graph_creation_time': 1524080289.2434156, 'number_of_matches': 224, 'first_graph_creation_time': 1524080288.953262, 'matching_time': 1524080289.315819, 'greatest_constraints_time': 1524080289.2994595}
{'node_count': 278, 'graph_edge_sort_time': 1524080289.9547365, 'start_time': 1524080289.3161464, 'second_graph_creation_time': 1524080289.897972, 'number_of_matches': 239, 'first_graph_creation_time': 1524080289.6294045, 'matching_time': 1524080289.975957, 'greatest_constraints_time': 1524080289.955842}
{'node_count': 311, 'graph_edge_sort_time': 1524080290.728011, 'start_time': 1524080289.9762974, 'second_graph_creation_time': 1524080290.649895, 'number_of_matches': 309, 'first_graph_creation_time': 1524080290.337921, 'matching_time': 1524080290.7572823, 'greatest_constraints_time': 1524080290.7292035}
{'node_count': 314, 'graph_edge_sort_time': 1524080291.5231555, 'start_time': 1524080290.7575965, 'second_graph_creation_time': 1524080291.4477859, 'number_of_matches': 297, 'first_graph_creation_time': 1524080291.1251206, 'matching_time': 1524080291.5496554, 'greatest_constraints_time': 1524080291.5243433}
{'node_count': 321, 'graph_edge_sort_time': 1524080292.356242, 'start_time': 1524080291.5500274, 'second_graph_creation_time': 1524080292.2903032, 'number_of_matches': 250, 'first_graph_creation_time': 1524080291.922893, 'matching_time': 1524080292.3769946, 'greatest_constraints_time': 1524080292.3572576}
{'node_count': 271, 'graph_edge_sort_time': 1524080292.9699721, 'start_time': 1524080292.3775132, 'second_graph_creation_time': 1524080292.9154327, 'number_of_matches': 233, 'first_graph_creation_time': 1524080292.6640475, 'matching_time': 1524080292.9882324, 'greatest_constraints_time': 1524080292.9708326}
{'node_count': 325, 'graph_edge_sort_time': 1524080293.8063455, 'start_time': 1524080292.9901586, 'second_graph_creation_time': 1524080293.7377734, 'number_of_matches': 259, 'first_graph_creation_time': 1524080293.371389, 'matching_time': 1524080293.8278658, 'greatest_constraints_time': 1524080293.8074489}
{'node_count': 300, 'graph_edge_sort_time': 1524080294.5437562, 'start_time': 1524080293.8282063, 'second_graph_creation_time': 1524080294.4706407, 'number_of_matches': 293, 'first_graph_creation_time': 1524080294.173022, 'matching_time': 1524080294.5717926, 'greatest_constraints_time': 1524080294.544864}
{'node_count': 315, 'graph_edge_sort_time': 1524080295.3630989, 'start_time': 1524080294.572157, 'second_graph_creation_time': 1524080295.2902782, 'number_of_matches': 282, 'first_graph_creation_time': 1524080294.942564, 'matching_time': 1524080295.3886204, 'greatest_constraints_time': 1524080295.3642142}
{'node_count': 309, 'graph_edge_sort_time': 1524080296.141183, 'start_time': 1524080295.389018, 'second_graph_creation_time': 1524080296.065702, 'number_of_matches': 299, 'first_graph_creation_time': 1524080295.747817, 'matching_time': 1524080296.1700053, 'greatest_constraints_time': 1524080296.1423488}
