{'start_time': 1524076083.3396933, 'graph_edge_sort_time': 1524076083.349798, 'first_graph_creation_time': 1524076083.3449411, 'node_count': 99, 'matching_time': 1524076083.3500347, 'greatest_constraints_time': 1524076083.3499203, 'number_of_matches': 15, 'second_graph_creation_time': 1524076083.3487062}
{'start_time': 1524076083.3503861, 'graph_edge_sort_time': 1524076083.3617775, 'first_graph_creation_time': 1524076083.356411, 'node_count': 100, 'matching_time': 1524076083.3620186, 'greatest_constraints_time': 1524076083.361889, 'number_of_matches': 17, 'second_graph_creation_time': 1524076083.3606212}
{'start_time': 1524076083.3623018, 'graph_edge_sort_time': 1524076083.37256, 'first_graph_creation_time': 1524076083.3675258, 'node_count': 97, 'matching_time': 1524076083.3728483, 'greatest_constraints_time': 1524076083.3727148, 'number_of_matches': 15, 'second_graph_creation_time': 1524076083.3716106}
{'start_time': 1524076083.3731964, 'graph_edge_sort_time': 1524076083.382093, 'first_graph_creation_time': 1524076083.3778055, 'node_count': 90, 'matching_time': 1524076083.3823657, 'greatest_constraints_time': 1524076083.3821988, 'number_of_matches': 23, 'second_graph_creation_time': 1524076083.3811264}
{'start_time': 1524076083.3826177, 'graph_edge_sort_time': 1524076083.393714, 'first_graph_creation_time': 1524076083.388471, 'node_count': 95, 'matching_time': 1524076083.3939602, 'greatest_constraints_time': 1524076083.3938167, 'number_of_matches': 19, 'second_graph_creation_time': 1524076083.392679}
{'start_time': 1524076083.394254, 'graph_edge_sort_time': 1524076083.4053423, 'first_graph_creation_time': 1524076083.3998826, 'node_count': 99, 'matching_time': 1524076083.4057426, 'greatest_constraints_time': 1524076083.4054606, 'number_of_matches': 29, 'second_graph_creation_time': 1524076083.404265}
{'start_time': 1524076083.4060237, 'graph_edge_sort_time': 1524076083.416416, 'first_graph_creation_time': 1524076083.4113772, 'node_count': 92, 'matching_time': 1524076083.4165926, 'greatest_constraints_time': 1524076083.41651, 'number_of_matches': 11, 'second_graph_creation_time': 1524076083.4154153}
{'start_time': 1524076083.417007, 'graph_edge_sort_time': 1524076083.4304757, 'first_graph_creation_time': 1524076083.423302, 'node_count': 106, 'matching_time': 1524076083.430603, 'greatest_constraints_time': 1524076083.4305751, 'number_of_matches': 3, 'second_graph_creation_time': 1524076083.4293597}
{'start_time': 1524076083.4309294, 'graph_edge_sort_time': 1524076083.442125, 'first_graph_creation_time': 1524076083.436848, 'node_count': 105, 'matching_time': 1524076083.4427862, 'greatest_constraints_time': 1524076083.442322, 'number_of_matches': 45, 'second_graph_creation_time': 1524076083.4408424}
{'start_time': 1524076083.44307, 'graph_edge_sort_time': 1524076083.4538195, 'first_graph_creation_time': 1524076083.44814, 'node_count': 102, 'matching_time': 1524076083.4541616, 'greatest_constraints_time': 1524076083.4539635, 'number_of_matches': 20, 'second_graph_creation_time': 1524076083.4525163}
{'start_time': 1524076083.454463, 'graph_edge_sort_time': 1524076083.464391, 'first_graph_creation_time': 1524076083.4595401, 'node_count': 105, 'matching_time': 1524076083.4645185, 'greatest_constraints_time': 1524076083.4644983, 'number_of_matches': 2, 'second_graph_creation_time': 1524076083.4634113}
{'start_time': 1524076083.4647813, 'graph_edge_sort_time': 1524076083.4749985, 'first_graph_creation_time': 1524076083.4699936, 'node_count': 105, 'matching_time': 1524076083.4753244, 'greatest_constraints_time': 1524076083.475112, 'number_of_matches': 28, 'second_graph_creation_time': 1524076083.4739254}
{'start_time': 1524076083.4755685, 'graph_edge_sort_time': 1524076083.486541, 'first_graph_creation_time': 1524076083.481027, 'node_count': 99, 'matching_time': 1524076083.486907, 'greatest_constraints_time': 1524076083.4866881, 'number_of_matches': 22, 'second_graph_creation_time': 1524076083.485369}
