{'second_graph_creation_time': 1524078412.233023, 'number_of_matches': 210, 'node_count': 209, 'greatest_constraints_time': 1524078412.2407918, 'first_graph_creation_time': 1524078412.2196002, 'graph_edge_sort_time': 1524078412.2403376, 'matching_time': 1524078412.2439919, 'start_time': 1524078412.1968787}
{'second_graph_creation_time': 1524078412.2792404, 'number_of_matches': 182, 'node_count': 182, 'greatest_constraints_time': 1524078412.2868326, 'first_graph_creation_time': 1524078412.2665462, 'graph_edge_sort_time': 1524078412.2864375, 'matching_time': 1524078412.289702, 'start_time': 1524078412.244381}
{'second_graph_creation_time': 1524078412.3304818, 'number_of_matches': 222, 'node_count': 219, 'greatest_constraints_time': 1524078412.3395536, 'first_graph_creation_time': 1524078412.3149831, 'graph_edge_sort_time': 1524078412.3388433, 'matching_time': 1524078412.3430574, 'start_time': 1524078412.2899969}
{'second_graph_creation_time': 1524078412.382909, 'number_of_matches': 210, 'node_count': 209, 'greatest_constraints_time': 1524078412.3911765, 'first_graph_creation_time': 1524078412.36659, 'graph_edge_sort_time': 1524078412.3906934, 'matching_time': 1524078412.3941498, 'start_time': 1524078412.3433354}
{'second_graph_creation_time': 1524078412.4331412, 'number_of_matches': 206, 'node_count': 206, 'greatest_constraints_time': 1524078412.4411087, 'first_graph_creation_time': 1524078412.418979, 'graph_edge_sort_time': 1524078412.440709, 'matching_time': 1524078412.444176, 'start_time': 1524078412.3944328}
{'second_graph_creation_time': 1524078412.4784389, 'number_of_matches': 183, 'node_count': 183, 'greatest_constraints_time': 1524078412.4856114, 'first_graph_creation_time': 1524078412.4657252, 'graph_edge_sort_time': 1524078412.4852457, 'matching_time': 1524078412.4884925, 'start_time': 1524078412.4444518}
{'second_graph_creation_time': 1524078412.5305755, 'number_of_matches': 213, 'node_count': 213, 'greatest_constraints_time': 1524078412.539312, 'first_graph_creation_time': 1524078412.514599, 'graph_edge_sort_time': 1524078412.5388396, 'matching_time': 1524078412.5427692, 'start_time': 1524078412.4887667}
{'second_graph_creation_time': 1524078412.5804183, 'number_of_matches': 207, 'node_count': 207, 'greatest_constraints_time': 1524078412.5887883, 'first_graph_creation_time': 1524078412.566093, 'graph_edge_sort_time': 1524078412.5883303, 'matching_time': 1524078412.5917988, 'start_time': 1524078412.5430439}
{'second_graph_creation_time': 1524078412.630135, 'number_of_matches': 220, 'node_count': 220, 'greatest_constraints_time': 1524078412.6384778, 'first_graph_creation_time': 1524078412.6158476, 'graph_edge_sort_time': 1524078412.6380062, 'matching_time': 1524078412.643512, 'start_time': 1524078412.5920854}
{'second_graph_creation_time': 1524078412.6797662, 'number_of_matches': 207, 'node_count': 207, 'greatest_constraints_time': 1524078412.6875997, 'first_graph_creation_time': 1524078412.6660051, 'graph_edge_sort_time': 1524078412.6871588, 'matching_time': 1524078412.690537, 'start_time': 1524078412.643811}
{'second_graph_creation_time': 1524078412.72775, 'number_of_matches': 201, 'node_count': 201, 'greatest_constraints_time': 1524078412.7358127, 'first_graph_creation_time': 1524078412.713558, 'graph_edge_sort_time': 1524078412.7354014, 'matching_time': 1524078412.7388232, 'start_time': 1524078412.690809}
{'second_graph_creation_time': 1524078412.7779543, 'number_of_matches': 215, 'node_count': 214, 'greatest_constraints_time': 1524078412.786548, 'first_graph_creation_time': 1524078412.763116, 'graph_edge_sort_time': 1524078412.7861125, 'matching_time': 1524078412.789862, 'start_time': 1524078412.7390907}
{'second_graph_creation_time': 1524078412.8267076, 'number_of_matches': 192, 'node_count': 192, 'greatest_constraints_time': 1524078412.8348908, 'first_graph_creation_time': 1524078412.8126001, 'graph_edge_sort_time': 1524078412.8344839, 'matching_time': 1524078412.8379865, 'start_time': 1524078412.790138}
{'second_graph_creation_time': 1524078412.87469, 'number_of_matches': 195, 'node_count': 195, 'greatest_constraints_time': 1524078412.882264, 'first_graph_creation_time': 1524078412.8612063, 'graph_edge_sort_time': 1524078412.881849, 'matching_time': 1524078412.885283, 'start_time': 1524078412.8382757}
{'second_graph_creation_time': 1524078412.9481494, 'number_of_matches': 208, 'node_count': 208, 'greatest_constraints_time': 1524078412.9565456, 'first_graph_creation_time': 1524078412.9110854, 'graph_edge_sort_time': 1524078412.9561048, 'matching_time': 1524078412.9598205, 'start_time': 1524078412.885559}
{'second_graph_creation_time': 1524078412.99583, 'number_of_matches': 201, 'node_count': 201, 'greatest_constraints_time': 1524078413.003515, 'first_graph_creation_time': 1524078412.9824939, 'graph_edge_sort_time': 1524078413.0031092, 'matching_time': 1524078413.0065792, 'start_time': 1524078412.960092}
{'second_graph_creation_time': 1524078413.0454001, 'number_of_matches': 199, 'node_count': 199, 'greatest_constraints_time': 1524078413.0536764, 'first_graph_creation_time': 1524078413.0311272, 'graph_edge_sort_time': 1524078413.053291, 'matching_time': 1524078413.0568204, 'start_time': 1524078413.0068748}
{'second_graph_creation_time': 1524078413.094367, 'number_of_matches': 206, 'node_count': 206, 'greatest_constraints_time': 1524078413.1021514, 'first_graph_creation_time': 1524078413.0804996, 'graph_edge_sort_time': 1524078413.1017547, 'matching_time': 1524078413.105198, 'start_time': 1524078413.0570881}
{'second_graph_creation_time': 1524078413.144658, 'number_of_matches': 212, 'node_count': 212, 'greatest_constraints_time': 1524078413.1529188, 'first_graph_creation_time': 1524078413.129678, 'graph_edge_sort_time': 1524078413.1523852, 'matching_time': 1524078413.1562302, 'start_time': 1524078413.1055095}
