{'graph_edge_sort_time': 1524076315.6875052, 'number_of_matches': 82, 'greatest_constraints_time': 1524076315.6876764, 'second_graph_creation_time': 1524076315.681656, 'matching_time': 1524076315.6891353, 'first_graph_creation_time': 1524076315.6643062, 'start_time': 1524076315.638377, 'node_count': 92}
{'graph_edge_sort_time': 1524076315.7358253, 'number_of_matches': 80, 'greatest_constraints_time': 1524076315.736085, 'second_graph_creation_time': 1524076315.7298853, 'matching_time': 1524076315.7372916, 'first_graph_creation_time': 1524076315.713281, 'start_time': 1524076315.6894586, 'node_count': 91}
{'graph_edge_sort_time': 1524076315.8127651, 'number_of_matches': 90, 'greatest_constraints_time': 1524076315.8129709, 'second_graph_creation_time': 1524076315.805465, 'matching_time': 1524076315.8143725, 'first_graph_creation_time': 1524076315.7690575, 'start_time': 1524076315.7375739, 'node_count': 107}
{'graph_edge_sort_time': 1524076315.8812623, 'number_of_matches': 95, 'greatest_constraints_time': 1524076315.8814783, 'second_graph_creation_time': 1524076315.8737266, 'matching_time': 1524076315.8829489, 'first_graph_creation_time': 1524076315.8542106, 'start_time': 1524076315.8146427, 'node_count': 110}
{'graph_edge_sort_time': 1524076315.938565, 'number_of_matches': 69, 'greatest_constraints_time': 1524076315.938736, 'second_graph_creation_time': 1524076315.9329634, 'matching_time': 1524076315.9396884, 'first_graph_creation_time': 1524076315.9132385, 'start_time': 1524076315.8832805, 'node_count': 99}
{'graph_edge_sort_time': 1524076315.994327, 'number_of_matches': 82, 'greatest_constraints_time': 1524076315.9945295, 'second_graph_creation_time': 1524076315.9878561, 'matching_time': 1524076315.9957316, 'first_graph_creation_time': 1524076315.968427, 'start_time': 1524076315.940002, 'node_count': 100}
{'graph_edge_sort_time': 1524076316.064974, 'number_of_matches': 81, 'greatest_constraints_time': 1524076316.0651693, 'second_graph_creation_time': 1524076316.0585706, 'matching_time': 1524076316.0664475, 'first_graph_creation_time': 1524076316.0294738, 'start_time': 1524076315.9960039, 'node_count': 100}
{'graph_edge_sort_time': 1524076316.1306136, 'number_of_matches': 79, 'greatest_constraints_time': 1524076316.1308, 'second_graph_creation_time': 1524076316.1239688, 'matching_time': 1524076316.1321929, 'first_graph_creation_time': 1524076316.1049354, 'start_time': 1524076316.0667775, 'node_count': 103}
{'graph_edge_sort_time': 1524076316.185304, 'number_of_matches': 83, 'greatest_constraints_time': 1524076316.1855068, 'second_graph_creation_time': 1524076316.1792388, 'matching_time': 1524076316.1867385, 'first_graph_creation_time': 1524076316.162436, 'start_time': 1524076316.132593, 'node_count': 101}
{'graph_edge_sort_time': 1524076316.240847, 'number_of_matches': 70, 'greatest_constraints_time': 1524076316.241014, 'second_graph_creation_time': 1524076316.2353776, 'matching_time': 1524076316.241982, 'first_graph_creation_time': 1524076316.216051, 'start_time': 1524076316.1871104, 'node_count': 99}
{'graph_edge_sort_time': 1524076316.301354, 'number_of_matches': 77, 'greatest_constraints_time': 1524076316.3016691, 'second_graph_creation_time': 1524076316.2914264, 'matching_time': 1524076316.3038676, 'first_graph_creation_time': 1524076316.2669232, 'start_time': 1524076316.242354, 'node_count': 91}
{'graph_edge_sort_time': 1524076316.362781, 'number_of_matches': 92, 'greatest_constraints_time': 1524076316.3629835, 'second_graph_creation_time': 1524076316.3561096, 'matching_time': 1524076316.3644087, 'first_graph_creation_time': 1524076316.338414, 'start_time': 1524076316.3043964, 'node_count': 95}
{'graph_edge_sort_time': 1524076316.4178333, 'number_of_matches': 74, 'greatest_constraints_time': 1524076316.4180188, 'second_graph_creation_time': 1524076316.4121873, 'matching_time': 1524076316.419071, 'first_graph_creation_time': 1524076316.3936274, 'start_time': 1524076316.3647094, 'node_count': 102}
{'graph_edge_sort_time': 1524076316.4728096, 'number_of_matches': 88, 'greatest_constraints_time': 1524076316.4730554, 'second_graph_creation_time': 1524076316.4644687, 'matching_time': 1524076316.4745, 'first_graph_creation_time': 1524076316.4472494, 'start_time': 1524076316.4193668, 'node_count': 102}
{'graph_edge_sort_time': 1524076316.5482023, 'number_of_matches': 78, 'greatest_constraints_time': 1524076316.548413, 'second_graph_creation_time': 1524076316.537066, 'matching_time': 1524076316.549768, 'first_graph_creation_time': 1524076316.5041287, 'start_time': 1524076316.474808, 'node_count': 104}
{'graph_edge_sort_time': 1524076316.6139657, 'number_of_matches': 69, 'greatest_constraints_time': 1524076316.6141493, 'second_graph_creation_time': 1524076316.6070285, 'matching_time': 1524076316.6151302, 'first_graph_creation_time': 1524076316.5865498, 'start_time': 1524076316.550291, 'node_count': 103}
{'graph_edge_sort_time': 1524076316.666388, 'number_of_matches': 74, 'greatest_constraints_time': 1524076316.6666243, 'second_graph_creation_time': 1524076316.6607533, 'matching_time': 1524076316.6677911, 'first_graph_creation_time': 1524076316.6444793, 'start_time': 1524076316.6154022, 'node_count': 91}
{'graph_edge_sort_time': 1524076316.7216377, 'number_of_matches': 70, 'greatest_constraints_time': 1524076316.721841, 'second_graph_creation_time': 1524076316.7158093, 'matching_time': 1524076316.7228951, 'first_graph_creation_time': 1524076316.6977098, 'start_time': 1524076316.668159, 'node_count': 95}
{'graph_edge_sort_time': 1524076316.7913582, 'number_of_matches': 88, 'greatest_constraints_time': 1524076316.7917156, 'second_graph_creation_time': 1524076316.780564, 'matching_time': 1524076316.7945182, 'first_graph_creation_time': 1524076316.7548604, 'start_time': 1524076316.723173, 'node_count': 93}
{'graph_edge_sort_time': 1524076316.8656332, 'number_of_matches': 79, 'greatest_constraints_time': 1524076316.865935, 'second_graph_creation_time': 1524076316.8565276, 'matching_time': 1524076316.8672578, 'first_graph_creation_time': 1524076316.8328233, 'start_time': 1524076316.7949214, 'node_count': 110}
{'graph_edge_sort_time': 1524076316.9214702, 'number_of_matches': 83, 'greatest_constraints_time': 1524076316.9216597, 'second_graph_creation_time': 1524076316.9150188, 'matching_time': 1524076316.922965, 'first_graph_creation_time': 1524076316.897392, 'start_time': 1524076316.8675435, 'node_count': 102}
{'graph_edge_sort_time': 1524076316.9815114, 'number_of_matches': 102, 'greatest_constraints_time': 1524076316.9818053, 'second_graph_creation_time': 1524076316.973059, 'matching_time': 1524076316.9837768, 'first_graph_creation_time': 1524076316.953323, 'start_time': 1524076316.9232488, 'node_count': 110}
{'graph_edge_sort_time': 1524076317.0410204, 'number_of_matches': 82, 'greatest_constraints_time': 1524076317.0412166, 'second_graph_creation_time': 1524076317.0346913, 'matching_time': 1524076317.042482, 'first_graph_creation_time': 1524076317.0163963, 'start_time': 1524076316.9841976, 'node_count': 99}
{'graph_edge_sort_time': 1524076317.0895138, 'number_of_matches': 95, 'greatest_constraints_time': 1524076317.0897195, 'second_graph_creation_time': 1524076317.0825222, 'matching_time': 1524076317.091208, 'first_graph_creation_time': 1524076317.0684228, 'start_time': 1524076317.0429213, 'node_count': 95}
{'graph_edge_sort_time': 1524076317.1480103, 'number_of_matches': 66, 'greatest_constraints_time': 1524076317.14818, 'second_graph_creation_time': 1524076317.142401, 'matching_time': 1524076317.149099, 'first_graph_creation_time': 1524076317.1217225, 'start_time': 1524076317.0915663, 'node_count': 107}
{'graph_edge_sort_time': 1524076317.1971393, 'number_of_matches': 83, 'greatest_constraints_time': 1524076317.197315, 'second_graph_creation_time': 1524076317.1908634, 'matching_time': 1524076317.1985636, 'first_graph_creation_time': 1524076317.1752539, 'start_time': 1524076317.149369, 'node_count': 97}
{'graph_edge_sort_time': 1524076317.2563152, 'number_of_matches': 92, 'greatest_constraints_time': 1524076317.2565424, 'second_graph_creation_time': 1524076317.2490838, 'matching_time': 1524076317.2580035, 'first_graph_creation_time': 1524076317.2290864, 'start_time': 1524076317.1988642, 'node_count': 108}
{'graph_edge_sort_time': 1524076317.3159213, 'number_of_matches': 88, 'greatest_constraints_time': 1524076317.3161328, 'second_graph_creation_time': 1524076317.3089297, 'matching_time': 1524076317.3178563, 'first_graph_creation_time': 1524076317.289518, 'start_time': 1524076317.25838, 'node_count': 108}
{'graph_edge_sort_time': 1524076317.3760738, 'number_of_matches': 90, 'greatest_constraints_time': 1524076317.3763287, 'second_graph_creation_time': 1524076317.3691354, 'matching_time': 1524076317.3777387, 'first_graph_creation_time': 1524076317.3492992, 'start_time': 1524076317.3181474, 'node_count': 110}
{'graph_edge_sort_time': 1524076317.429127, 'number_of_matches': 69, 'greatest_constraints_time': 1524076317.429282, 'second_graph_creation_time': 1524076317.4238396, 'matching_time': 1524076317.430199, 'first_graph_creation_time': 1524076317.4053764, 'start_time': 1524076317.378081, 'node_count': 102}
{'graph_edge_sort_time': 1524076317.473916, 'number_of_matches': 87, 'greatest_constraints_time': 1524076317.4740942, 'second_graph_creation_time': 1524076317.4674265, 'matching_time': 1524076317.4755077, 'first_graph_creation_time': 1524076317.453924, 'start_time': 1524076317.4304674, 'node_count': 91}
