{'start_time': 1524078432.891216, 'graph_edge_sort_time': 1524078432.9406402, 'second_graph_creation_time': 1524078432.9350963, 'matching_time': 1524078432.9427047, 'first_graph_creation_time': 1524078432.9162793, 'node_count': 218, 'number_of_matches': 152, 'greatest_constraints_time': 1524078432.9411142}
{'start_time': 1524078432.9430003, 'graph_edge_sort_time': 1524078432.9870567, 'second_graph_creation_time': 1524078432.9818733, 'matching_time': 1524078432.9889457, 'first_graph_creation_time': 1524078432.9656816, 'node_count': 204, 'number_of_matches': 156, 'greatest_constraints_time': 1524078432.9874148}
{'start_time': 1524078432.9892325, 'graph_edge_sort_time': 1524078433.0334673, 'second_graph_creation_time': 1524078433.0266767, 'matching_time': 1524078433.0361042, 'first_graph_creation_time': 1524078433.0119343, 'node_count': 205, 'number_of_matches': 194, 'greatest_constraints_time': 1524078433.0341144}
{'start_time': 1524078433.0364053, 'graph_edge_sort_time': 1524078433.0759935, 'second_graph_creation_time': 1524078433.0701218, 'matching_time': 1524078433.0779464, 'first_graph_creation_time': 1524078433.0570853, 'node_count': 184, 'number_of_matches': 171, 'greatest_constraints_time': 1524078433.0763555}
{'start_time': 1524078433.0782354, 'graph_edge_sort_time': 1524078433.1181808, 'second_graph_creation_time': 1524078433.113091, 'matching_time': 1524078433.1199222, 'first_graph_creation_time': 1524078433.0987332, 'node_count': 192, 'number_of_matches': 146, 'greatest_constraints_time': 1524078433.118501}
{'start_time': 1524078433.1201859, 'graph_edge_sort_time': 1524078433.1676, 'second_graph_creation_time': 1524078433.161395, 'matching_time': 1524078433.1694362, 'first_graph_creation_time': 1524078433.1433873, 'node_count': 187, 'number_of_matches': 147, 'greatest_constraints_time': 1524078433.1679199}
{'start_time': 1524078433.169758, 'graph_edge_sort_time': 1524078433.210474, 'second_graph_creation_time': 1524078433.2053869, 'matching_time': 1524078433.2121446, 'first_graph_creation_time': 1524078433.19029, 'node_count': 181, 'number_of_matches': 127, 'greatest_constraints_time': 1524078433.2108312}
{'start_time': 1524078433.212509, 'graph_edge_sort_time': 1524078433.2517474, 'second_graph_creation_time': 1524078433.2455637, 'matching_time': 1524078433.2539697, 'first_graph_creation_time': 1524078433.2323673, 'node_count': 181, 'number_of_matches': 174, 'greatest_constraints_time': 1524078433.252127}
{'start_time': 1524078433.2542565, 'graph_edge_sort_time': 1524078433.2984264, 'second_graph_creation_time': 1524078433.2930179, 'matching_time': 1524078433.3002, 'first_graph_creation_time': 1524078433.276656, 'node_count': 188, 'number_of_matches': 136, 'greatest_constraints_time': 1524078433.2987804}
{'start_time': 1524078433.3005924, 'graph_edge_sort_time': 1524078433.3471198, 'second_graph_creation_time': 1524078433.3410187, 'matching_time': 1524078433.349277, 'first_graph_creation_time': 1524078433.3250237, 'node_count': 206, 'number_of_matches': 177, 'greatest_constraints_time': 1524078433.3474953}
{'start_time': 1524078433.3495486, 'graph_edge_sort_time': 1524078433.3895786, 'second_graph_creation_time': 1524078433.3843877, 'matching_time': 1524078433.391449, 'first_graph_creation_time': 1524078433.3705559, 'node_count': 189, 'number_of_matches': 155, 'greatest_constraints_time': 1524078433.3899317}
{'start_time': 1524078433.3917265, 'graph_edge_sort_time': 1524078433.4375217, 'second_graph_creation_time': 1524078433.4315495, 'matching_time': 1524078433.439576, 'first_graph_creation_time': 1524078433.4140804, 'node_count': 194, 'number_of_matches': 168, 'greatest_constraints_time': 1524078433.4378853}
{'start_time': 1524078433.4399517, 'graph_edge_sort_time': 1524078433.4864318, 'second_graph_creation_time': 1524078433.4807277, 'matching_time': 1524078433.4882498, 'first_graph_creation_time': 1524078433.4630919, 'node_count': 193, 'number_of_matches': 146, 'greatest_constraints_time': 1524078433.4867682}
{'start_time': 1524078433.488589, 'graph_edge_sort_time': 1524078433.5310085, 'second_graph_creation_time': 1524078433.5256474, 'matching_time': 1524078433.5329342, 'first_graph_creation_time': 1524078433.5103242, 'node_count': 185, 'number_of_matches': 137, 'greatest_constraints_time': 1524078433.5313296}
{'start_time': 1524078433.5332563, 'graph_edge_sort_time': 1524078433.577234, 'second_graph_creation_time': 1524078433.5711322, 'matching_time': 1524078433.5793285, 'first_graph_creation_time': 1524078433.5560179, 'node_count': 190, 'number_of_matches': 168, 'greatest_constraints_time': 1524078433.5775921}
{'start_time': 1524078433.5796046, 'graph_edge_sort_time': 1524078433.6186316, 'second_graph_creation_time': 1524078433.613737, 'matching_time': 1524078433.6202614, 'first_graph_creation_time': 1524078433.5993235, 'node_count': 181, 'number_of_matches': 129, 'greatest_constraints_time': 1524078433.6189494}
