{'graph_edge_sort_time': 1524080664.7300856, 'node_count': 277, 'first_graph_creation_time': 1524080664.4193873, 'start_time': 1524080664.1240568, 'number_of_matches': 27, 'second_graph_creation_time': 1524080664.6974287, 'matching_time': 1524080664.731249, 'greatest_constraints_time': 1524080664.7305818}
{'graph_edge_sort_time': 1524080665.4988718, 'node_count': 314, 'first_graph_creation_time': 1524080665.0979521, 'start_time': 1524080664.7315729, 'number_of_matches': 17, 'second_graph_creation_time': 1524080665.459074, 'matching_time': 1524080665.5001087, 'greatest_constraints_time': 1524080665.4994776}
{'graph_edge_sort_time': 1524080666.2143698, 'node_count': 298, 'first_graph_creation_time': 1524080665.840497, 'start_time': 1524080665.5004933, 'number_of_matches': 79, 'second_graph_creation_time': 1524080666.1739848, 'matching_time': 1524080666.2183564, 'greatest_constraints_time': 1524080666.2150338}
{'graph_edge_sort_time': 1524080666.9823263, 'node_count': 314, 'first_graph_creation_time': 1524080666.5854862, 'start_time': 1524080666.218704, 'number_of_matches': 9, 'second_graph_creation_time': 1524080666.9420667, 'matching_time': 1524080666.983276, 'greatest_constraints_time': 1524080666.9829957}
{'graph_edge_sort_time': 1524080667.6219215, 'node_count': 283, 'first_graph_creation_time': 1524080667.2911687, 'start_time': 1524080666.9837956, 'number_of_matches': 65, 'second_graph_creation_time': 1524080667.586202, 'matching_time': 1524080667.6246226, 'greatest_constraints_time': 1524080667.622464}
{'graph_edge_sort_time': 1524080668.4410815, 'node_count': 314, 'first_graph_creation_time': 1524080667.9899514, 'start_time': 1524080667.6250238, 'number_of_matches': 74, 'second_graph_creation_time': 1524080668.4000232, 'matching_time': 1524080668.444533, 'greatest_constraints_time': 1524080668.4418209}
{'graph_edge_sort_time': 1524080669.072275, 'node_count': 280, 'first_graph_creation_time': 1524080668.744156, 'start_time': 1524080668.444876, 'number_of_matches': 113, 'second_graph_creation_time': 1524080669.0339015, 'matching_time': 1524080669.0777097, 'greatest_constraints_time': 1524080669.0728674}
{'graph_edge_sort_time': 1524080669.8241277, 'node_count': 307, 'first_graph_creation_time': 1524080669.4375565, 'start_time': 1524080669.0781336, 'number_of_matches': 25, 'second_graph_creation_time': 1524080669.7851527, 'matching_time': 1524080669.8254645, 'greatest_constraints_time': 1524080669.8247209}
{'graph_edge_sort_time': 1524080670.4587715, 'node_count': 281, 'first_graph_creation_time': 1524080670.1309752, 'start_time': 1524080669.8257737, 'number_of_matches': 73, 'second_graph_creation_time': 1524080670.4234354, 'matching_time': 1524080670.4618037, 'greatest_constraints_time': 1524080670.4593422}
{'graph_edge_sort_time': 1524080671.0752254, 'node_count': 277, 'first_graph_creation_time': 1524080670.755978, 'start_time': 1524080670.4621046, 'number_of_matches': 48, 'second_graph_creation_time': 1524080671.0421758, 'matching_time': 1524080671.07707, 'greatest_constraints_time': 1524080671.0757334}
{'graph_edge_sort_time': 1524080671.8186553, 'node_count': 312, 'first_graph_creation_time': 1524080671.4331553, 'start_time': 1524080671.077405, 'number_of_matches': 25, 'second_graph_creation_time': 1524080671.779281, 'matching_time': 1524080671.81988, 'greatest_constraints_time': 1524080671.8192086}
{'graph_edge_sort_time': 1524080672.5331016, 'node_count': 300, 'first_graph_creation_time': 1524080672.1625812, 'start_time': 1524080671.8201857, 'number_of_matches': 25, 'second_graph_creation_time': 1524080672.4946845, 'matching_time': 1524080672.5344121, 'greatest_constraints_time': 1524080672.5337343}
{'graph_edge_sort_time': 1524080673.2010057, 'node_count': 289, 'first_graph_creation_time': 1524080672.8535433, 'start_time': 1524080672.5347285, 'number_of_matches': 74, 'second_graph_creation_time': 1524080673.164019, 'matching_time': 1524080673.204142, 'greatest_constraints_time': 1524080673.2015736}
{'graph_edge_sort_time': 1524080673.9965832, 'node_count': 321, 'first_graph_creation_time': 1524080673.5749166, 'start_time': 1524080673.2044508, 'number_of_matches': 83, 'second_graph_creation_time': 1524080673.9543135, 'matching_time': 1524080674.0011253, 'greatest_constraints_time': 1524080673.9974523}
