{'greatest_constraints_time': 1524080371.6118472, 'first_graph_creation_time': 1524080371.2223701, 'node_count': 297, 'graph_edge_sort_time': 1524080371.6109598, 'matching_time': 1524080371.6191378, 'start_time': 1524080370.888259, 'number_of_matches': 201, 'second_graph_creation_time': 1524080371.559088}
{'greatest_constraints_time': 1524080372.3733478, 'first_graph_creation_time': 1524080371.9705365, 'node_count': 307, 'graph_edge_sort_time': 1524080372.372504, 'matching_time': 1524080372.3796847, 'start_time': 1524080371.6195104, 'number_of_matches': 182, 'second_graph_creation_time': 1524080372.3211682}
{'greatest_constraints_time': 1524080373.0370872, 'first_graph_creation_time': 1524080372.7010972, 'node_count': 278, 'graph_edge_sort_time': 1524080373.0364156, 'matching_time': 1524080373.0417314, 'start_time': 1524080372.3815515, 'number_of_matches': 139, 'second_graph_creation_time': 1524080372.9958827}
{'greatest_constraints_time': 1524080373.663028, 'first_graph_creation_time': 1524080373.339011, 'node_count': 279, 'graph_edge_sort_time': 1524080373.6623287, 'matching_time': 1524080373.6685624, 'start_time': 1524080373.0421007, 'number_of_matches': 168, 'second_graph_creation_time': 1524080373.6188595}
{'greatest_constraints_time': 1524080374.2854326, 'first_graph_creation_time': 1524080373.9605188, 'node_count': 275, 'graph_edge_sort_time': 1524080374.2847805, 'matching_time': 1524080374.2889254, 'start_time': 1524080373.6688883, 'number_of_matches': 122, 'second_graph_creation_time': 1524080374.2470808}
{'greatest_constraints_time': 1524080375.1090693, 'first_graph_creation_time': 1524080374.6690705, 'node_count': 320, 'graph_edge_sort_time': 1524080375.1082008, 'matching_time': 1524080375.1145036, 'start_time': 1524080374.2893064, 'number_of_matches': 164, 'second_graph_creation_time': 1524080375.057056}
{'greatest_constraints_time': 1524080375.9419446, 'first_graph_creation_time': 1524080375.4993846, 'node_count': 327, 'graph_edge_sort_time': 1524080375.941036, 'matching_time': 1524080375.948414, 'start_time': 1524080375.114837, 'number_of_matches': 185, 'second_graph_creation_time': 1524080375.8876622}
{'greatest_constraints_time': 1524080376.6522138, 'first_graph_creation_time': 1524080376.281883, 'node_count': 294, 'graph_edge_sort_time': 1524080376.6513612, 'matching_time': 1524080376.6586337, 'start_time': 1524080375.948725, 'number_of_matches': 179, 'second_graph_creation_time': 1524080376.6033654}
{'greatest_constraints_time': 1524080377.4451547, 'first_graph_creation_time': 1524080377.021409, 'node_count': 318, 'graph_edge_sort_time': 1524080377.4442105, 'matching_time': 1524080377.454128, 'start_time': 1524080376.658962, 'number_of_matches': 232, 'second_graph_creation_time': 1524080377.3844059}
{'greatest_constraints_time': 1524080378.2989528, 'first_graph_creation_time': 1524080377.8697886, 'node_count': 327, 'graph_edge_sort_time': 1524080378.2981517, 'matching_time': 1524080378.3044689, 'start_time': 1524080377.454483, 'number_of_matches': 161, 'second_graph_creation_time': 1524080378.2484024}
