{'matching_time': 1524078610.7421916, 'start_time': 1524078610.5783253, 'second_graph_creation_time': 1524078610.7171297, 'graph_edge_sort_time': 1524078610.7372572, 'node_count': 219, 'greatest_constraints_time': 1524078610.7378445, 'number_of_matches': 211, 'first_graph_creation_time': 1524078610.6586642}
{'matching_time': 1524078610.875077, 'start_time': 1524078610.7425487, 'second_graph_creation_time': 1524078610.858417, 'graph_edge_sort_time': 1524078610.8719635, 'node_count': 180, 'greatest_constraints_time': 1524078610.8723698, 'number_of_matches': 144, 'first_graph_creation_time': 1524078610.8085492}
{'matching_time': 1524078611.0140734, 'start_time': 1524078610.8754356, 'second_graph_creation_time': 1524078610.993902, 'graph_edge_sort_time': 1524078611.010025, 'node_count': 190, 'greatest_constraints_time': 1524078611.010518, 'number_of_matches': 180, 'first_graph_creation_time': 1524078610.9442737}
{'matching_time': 1524078611.1694396, 'start_time': 1524078611.0144484, 'second_graph_creation_time': 1524078611.1500323, 'graph_edge_sort_time': 1524078611.165737, 'node_count': 200, 'greatest_constraints_time': 1524078611.1662312, 'number_of_matches': 156, 'first_graph_creation_time': 1524078611.0894132}
{'matching_time': 1524078611.3201983, 'start_time': 1524078611.1698592, 'second_graph_creation_time': 1524078611.298805, 'graph_edge_sort_time': 1524078611.3158991, 'node_count': 200, 'greatest_constraints_time': 1524078611.3163762, 'number_of_matches': 182, 'first_graph_creation_time': 1524078611.2445567}
{'matching_time': 1524078611.4938068, 'start_time': 1524078611.3205554, 'second_graph_creation_time': 1524078611.473255, 'graph_edge_sort_time': 1524078611.4899464, 'node_count': 219, 'greatest_constraints_time': 1524078611.4905083, 'number_of_matches': 166, 'first_graph_creation_time': 1524078611.4036376}
{'matching_time': 1524078611.6302636, 'start_time': 1524078611.494214, 'second_graph_creation_time': 1524078611.6094935, 'graph_edge_sort_time': 1524078611.6260262, 'node_count': 185, 'greatest_constraints_time': 1524078611.6265378, 'number_of_matches': 182, 'first_graph_creation_time': 1524078611.5625472}
{'matching_time': 1524078611.8006184, 'start_time': 1524078611.630641, 'second_graph_creation_time': 1524078611.777083, 'graph_edge_sort_time': 1524078611.7958858, 'node_count': 216, 'greatest_constraints_time': 1524078611.7963915, 'number_of_matches': 190, 'first_graph_creation_time': 1524078611.7129617}
{'matching_time': 1524078611.973448, 'start_time': 1524078611.8026836, 'second_graph_creation_time': 1524078611.951785, 'graph_edge_sort_time': 1524078611.969527, 'node_count': 212, 'greatest_constraints_time': 1524078611.970004, 'number_of_matches': 175, 'first_graph_creation_time': 1524078611.886446}
{'matching_time': 1524078612.127629, 'start_time': 1524078611.9737551, 'second_graph_creation_time': 1524078612.1095285, 'graph_edge_sort_time': 1524078612.1242595, 'node_count': 202, 'greatest_constraints_time': 1524078612.1246955, 'number_of_matches': 152, 'first_graph_creation_time': 1524078612.049777}
{'matching_time': 1524078612.2995856, 'start_time': 1524078612.128037, 'second_graph_creation_time': 1524078612.2740343, 'graph_edge_sort_time': 1524078612.2944608, 'node_count': 219, 'greatest_constraints_time': 1524078612.2950134, 'number_of_matches': 209, 'first_graph_creation_time': 1524078612.2117288}
{'matching_time': 1524078612.4786897, 'start_time': 1524078612.3000512, 'second_graph_creation_time': 1524078612.4582694, 'graph_edge_sort_time': 1524078612.474964, 'node_count': 219, 'greatest_constraints_time': 1524078612.4754698, 'number_of_matches': 163, 'first_graph_creation_time': 1524078612.3886328}
{'matching_time': 1524078612.64337, 'start_time': 1524078612.4790497, 'second_graph_creation_time': 1524078612.6216602, 'graph_edge_sort_time': 1524078612.6388412, 'node_count': 213, 'greatest_constraints_time': 1524078612.6393378, 'number_of_matches': 179, 'first_graph_creation_time': 1524078612.5590603}
{'matching_time': 1524078612.7946682, 'start_time': 1524078612.6437228, 'second_graph_creation_time': 1524078612.7768416, 'graph_edge_sort_time': 1524078612.791301, 'node_count': 195, 'greatest_constraints_time': 1524078612.791709, 'number_of_matches': 149, 'first_graph_creation_time': 1524078612.7183602}
{'matching_time': 1524078612.9574618, 'start_time': 1524078612.7951198, 'second_graph_creation_time': 1524078612.9376712, 'graph_edge_sort_time': 1524078612.9537942, 'node_count': 209, 'greatest_constraints_time': 1524078612.9542596, 'number_of_matches': 167, 'first_graph_creation_time': 1524078612.8739548}
{'matching_time': 1524078613.1247046, 'start_time': 1524078612.9578485, 'second_graph_creation_time': 1524078613.1043522, 'graph_edge_sort_time': 1524078613.1209102, 'node_count': 210, 'greatest_constraints_time': 1524078613.1213906, 'number_of_matches': 170, 'first_graph_creation_time': 1524078613.0402825}
{'matching_time': 1524078613.2767243, 'start_time': 1524078613.1250792, 'second_graph_creation_time': 1524078613.255041, 'graph_edge_sort_time': 1524078613.2724423, 'node_count': 201, 'greatest_constraints_time': 1524078613.2729423, 'number_of_matches': 191, 'first_graph_creation_time': 1524078613.1988337}
{'matching_time': 1524078613.4420445, 'start_time': 1524078613.2770898, 'second_graph_creation_time': 1524078613.4254553, 'graph_edge_sort_time': 1524078613.4389763, 'node_count': 187, 'greatest_constraints_time': 1524078613.4393628, 'number_of_matches': 144, 'first_graph_creation_time': 1524078613.3728645}
{'matching_time': 1524078613.6011155, 'start_time': 1524078613.4424374, 'second_graph_creation_time': 1524078613.5839183, 'graph_edge_sort_time': 1524078613.5979433, 'node_count': 206, 'greatest_constraints_time': 1524078613.5983605, 'number_of_matches': 136, 'first_graph_creation_time': 1524078613.519814}
{'matching_time': 1524078613.7482505, 'start_time': 1524078613.6014729, 'second_graph_creation_time': 1524078613.7307007, 'graph_edge_sort_time': 1524078613.7449956, 'node_count': 199, 'greatest_constraints_time': 1524078613.7454333, 'number_of_matches': 149, 'first_graph_creation_time': 1524078613.674034}
{'matching_time': 1524078613.8988507, 'start_time': 1524078613.7485535, 'second_graph_creation_time': 1524078613.878356, 'graph_edge_sort_time': 1524078613.894712, 'node_count': 201, 'greatest_constraints_time': 1524078613.8952045, 'number_of_matches': 170, 'first_graph_creation_time': 1524078613.8218284}
{'matching_time': 1524078614.0544393, 'start_time': 1524078613.8992112, 'second_graph_creation_time': 1524078614.0301385, 'graph_edge_sort_time': 1524078614.0496337, 'node_count': 200, 'greatest_constraints_time': 1524078614.0501773, 'number_of_matches': 200, 'first_graph_creation_time': 1524078613.976442}
{'matching_time': 1524078614.2129896, 'start_time': 1524078614.0547974, 'second_graph_creation_time': 1524078614.1944811, 'graph_edge_sort_time': 1524078614.2098343, 'node_count': 202, 'greatest_constraints_time': 1524078614.2102647, 'number_of_matches': 145, 'first_graph_creation_time': 1524078614.1316268}
{'matching_time': 1524078614.3596761, 'start_time': 1524078614.2133265, 'second_graph_creation_time': 1524078614.3411462, 'graph_edge_sort_time': 1524078614.3561428, 'node_count': 188, 'greatest_constraints_time': 1524078614.3566546, 'number_of_matches': 157, 'first_graph_creation_time': 1524078614.2874618}
{'matching_time': 1524078614.518669, 'start_time': 1524078614.3600168, 'second_graph_creation_time': 1524078614.5006864, 'graph_edge_sort_time': 1524078614.5151434, 'node_count': 205, 'greatest_constraints_time': 1524078614.5156782, 'number_of_matches': 144, 'first_graph_creation_time': 1524078614.4385326}
{'matching_time': 1524078614.6868632, 'start_time': 1524078614.5190148, 'second_graph_creation_time': 1524078614.6636846, 'graph_edge_sort_time': 1524078614.6823933, 'node_count': 218, 'greatest_constraints_time': 1524078614.6828728, 'number_of_matches': 196, 'first_graph_creation_time': 1524078614.602177}
{'matching_time': 1524078614.823945, 'start_time': 1524078614.6872194, 'second_graph_creation_time': 1524078614.8042283, 'graph_edge_sort_time': 1524078614.8200574, 'node_count': 185, 'greatest_constraints_time': 1524078614.8205159, 'number_of_matches': 173, 'first_graph_creation_time': 1524078614.7552953}
{'matching_time': 1524078614.9708734, 'start_time': 1524078614.8242507, 'second_graph_creation_time': 1524078614.9530778, 'graph_edge_sort_time': 1524078614.9676108, 'node_count': 191, 'greatest_constraints_time': 1524078614.968044, 'number_of_matches': 149, 'first_graph_creation_time': 1524078614.897643}
{'matching_time': 1524078615.1370642, 'start_time': 1524078614.971213, 'second_graph_creation_time': 1524078615.108775, 'graph_edge_sort_time': 1524078615.1287017, 'node_count': 211, 'greatest_constraints_time': 1524078615.129267, 'number_of_matches': 208, 'first_graph_creation_time': 1524078615.0510638}
{'matching_time': 1524078615.299339, 'start_time': 1524078615.1373775, 'second_graph_creation_time': 1524078615.2774768, 'graph_edge_sort_time': 1524078615.2949483, 'node_count': 211, 'greatest_constraints_time': 1524078615.295436, 'number_of_matches': 184, 'first_graph_creation_time': 1524078615.2175832}
{'matching_time': 1524078615.441313, 'start_time': 1524078615.2996762, 'second_graph_creation_time': 1524078615.425552, 'graph_edge_sort_time': 1524078615.438516, 'node_count': 188, 'greatest_constraints_time': 1524078615.438927, 'number_of_matches': 130, 'first_graph_creation_time': 1524078615.3698552}
{'matching_time': 1524078615.595803, 'start_time': 1524078615.441618, 'second_graph_creation_time': 1524078615.5750296, 'graph_edge_sort_time': 1524078615.5917895, 'node_count': 202, 'greatest_constraints_time': 1524078615.592282, 'number_of_matches': 180, 'first_graph_creation_time': 1524078615.5171907}
{'matching_time': 1524078615.7519846, 'start_time': 1524078615.5962272, 'second_graph_creation_time': 1524078615.7298079, 'graph_edge_sort_time': 1524078615.747625, 'node_count': 206, 'greatest_constraints_time': 1524078615.7482014, 'number_of_matches': 188, 'first_graph_creation_time': 1524078615.6729023}
{'matching_time': 1524078615.906574, 'start_time': 1524078615.7523088, 'second_graph_creation_time': 1524078615.882238, 'graph_edge_sort_time': 1524078615.9017107, 'node_count': 206, 'greatest_constraints_time': 1524078615.9022808, 'number_of_matches': 203, 'first_graph_creation_time': 1524078615.828283}
{'matching_time': 1524078616.0656476, 'start_time': 1524078615.906889, 'second_graph_creation_time': 1524078616.0466976, 'graph_edge_sort_time': 1524078616.0618587, 'node_count': 207, 'greatest_constraints_time': 1524078616.0622847, 'number_of_matches': 155, 'first_graph_creation_time': 1524078615.98255}
{'matching_time': 1524078616.2367036, 'start_time': 1524078616.065985, 'second_graph_creation_time': 1524078616.215229, 'graph_edge_sort_time': 1524078616.2325783, 'node_count': 218, 'greatest_constraints_time': 1524078616.233088, 'number_of_matches': 180, 'first_graph_creation_time': 1524078616.1488626}
{'matching_time': 1524078616.4007185, 'start_time': 1524078616.2370353, 'second_graph_creation_time': 1524078616.3766506, 'graph_edge_sort_time': 1524078616.3957987, 'node_count': 218, 'greatest_constraints_time': 1524078616.396345, 'number_of_matches': 197, 'first_graph_creation_time': 1524078616.3160746}
{'matching_time': 1524078616.5414064, 'start_time': 1524078616.4010923, 'second_graph_creation_time': 1524078616.523676, 'graph_edge_sort_time': 1524078616.5380335, 'node_count': 190, 'greatest_constraints_time': 1524078616.5384557, 'number_of_matches': 159, 'first_graph_creation_time': 1524078616.471702}
{'matching_time': 1524078616.7013757, 'start_time': 1524078616.5417204, 'second_graph_creation_time': 1524078616.6797395, 'graph_edge_sort_time': 1524078616.696704, 'node_count': 212, 'greatest_constraints_time': 1524078616.6972094, 'number_of_matches': 180, 'first_graph_creation_time': 1524078616.6194398}
{'matching_time': 1524078616.8767166, 'start_time': 1524078616.701685, 'second_graph_creation_time': 1524078616.8583841, 'graph_edge_sort_time': 1524078616.8734953, 'node_count': 219, 'greatest_constraints_time': 1524078616.8739626, 'number_of_matches': 146, 'first_graph_creation_time': 1524078616.7863758}
