{'first_graph_creation_time': 1524078757.9184165, 'node_count': 210, 'start_time': 1524078757.8410838, 'number_of_matches': 16, 'matching_time': 1524078757.9959307, 'second_graph_creation_time': 1524078757.9848447, 'graph_edge_sort_time': 1524078757.9953585, 'greatest_constraints_time': 1524078757.995658}
{'first_graph_creation_time': 1524078758.0648975, 'node_count': 192, 'start_time': 1524078757.9962358, 'number_of_matches': 47, 'matching_time': 1524078758.137279, 'second_graph_creation_time': 1524078758.1261706, 'graph_edge_sort_time': 1524078758.1361094, 'greatest_constraints_time': 1524078758.1363952}
{'first_graph_creation_time': 1524078758.2053974, 'node_count': 184, 'start_time': 1524078758.1376076, 'number_of_matches': 47, 'matching_time': 1524078758.2730632, 'second_graph_creation_time': 1524078758.261686, 'graph_edge_sort_time': 1524078758.2718363, 'greatest_constraints_time': 1524078758.272163}
{'first_graph_creation_time': 1524078758.3395422, 'node_count': 184, 'start_time': 1524078758.2735243, 'number_of_matches': 21, 'matching_time': 1524078758.4066014, 'second_graph_creation_time': 1524078758.396918, 'graph_edge_sort_time': 1524078758.4060423, 'greatest_constraints_time': 1524078758.4062827}
{'first_graph_creation_time': 1524078758.4794931, 'node_count': 200, 'start_time': 1524078758.40699, 'number_of_matches': 76, 'matching_time': 1524078758.554774, 'second_graph_creation_time': 1524078758.5414934, 'graph_edge_sort_time': 1524078758.5527124, 'greatest_constraints_time': 1524078758.553031}
{'first_graph_creation_time': 1524078758.6412005, 'node_count': 217, 'start_time': 1524078758.5551214, 'number_of_matches': 41, 'matching_time': 1524078758.7275994, 'second_graph_creation_time': 1524078758.7145388, 'graph_edge_sort_time': 1524078758.7265296, 'greatest_constraints_time': 1524078758.726822}
{'first_graph_creation_time': 1524078758.8033876, 'node_count': 201, 'start_time': 1524078758.7279446, 'number_of_matches': 6, 'matching_time': 1524078758.877372, 'second_graph_creation_time': 1524078758.8661437, 'graph_edge_sort_time': 1524078758.8770268, 'greatest_constraints_time': 1524078758.8772857}
{'first_graph_creation_time': 1524078758.9505565, 'node_count': 196, 'start_time': 1524078758.877723, 'number_of_matches': 16, 'matching_time': 1524078759.025278, 'second_graph_creation_time': 1524078759.0148878, 'graph_edge_sort_time': 1524078759.0247426, 'greatest_constraints_time': 1524078759.0250118}
{'first_graph_creation_time': 1524078759.093234, 'node_count': 186, 'start_time': 1524078759.027362, 'number_of_matches': 54, 'matching_time': 1524078759.1615734, 'second_graph_creation_time': 1524078759.1506042, 'graph_edge_sort_time': 1524078759.1601882, 'greatest_constraints_time': 1524078759.1604888}
{'first_graph_creation_time': 1524078759.2431357, 'node_count': 217, 'start_time': 1524078759.1619048, 'number_of_matches': 9, 'matching_time': 1524078759.325705, 'second_graph_creation_time': 1524078759.3139405, 'graph_edge_sort_time': 1524078759.3253067, 'greatest_constraints_time': 1524078759.3255677}
{'first_graph_creation_time': 1524078759.3908472, 'node_count': 182, 'start_time': 1524078759.3260386, 'number_of_matches': 63, 'matching_time': 1524078759.4580429, 'second_graph_creation_time': 1524078759.4464138, 'graph_edge_sort_time': 1524078759.456431, 'greatest_constraints_time': 1524078759.4567223}
{'first_graph_creation_time': 1524078759.525533, 'node_count': 183, 'start_time': 1524078759.4583678, 'number_of_matches': 15, 'matching_time': 1524078759.5928295, 'second_graph_creation_time': 1524078759.5831835, 'graph_edge_sort_time': 1524078759.5923657, 'greatest_constraints_time': 1524078759.59261}
{'first_graph_creation_time': 1524078759.6664464, 'node_count': 202, 'start_time': 1524078759.5932555, 'number_of_matches': 62, 'matching_time': 1524078759.7426598, 'second_graph_creation_time': 1524078759.730078, 'graph_edge_sort_time': 1524078759.7410643, 'greatest_constraints_time': 1524078759.7413647}
{'first_graph_creation_time': 1524078759.8205574, 'node_count': 206, 'start_time': 1524078759.7430243, 'number_of_matches': 68, 'matching_time': 1524078759.8983862, 'second_graph_creation_time': 1524078759.8855717, 'graph_edge_sort_time': 1524078759.896619, 'greatest_constraints_time': 1524078759.8969343}
{'first_graph_creation_time': 1524078759.9806871, 'node_count': 215, 'start_time': 1524078759.89873, 'number_of_matches': 78, 'matching_time': 1524078760.0651577, 'second_graph_creation_time': 1524078760.050801, 'graph_edge_sort_time': 1524078760.0629945, 'greatest_constraints_time': 1524078760.0633585}
{'first_graph_creation_time': 1524078760.1358933, 'node_count': 187, 'start_time': 1524078760.0655198, 'number_of_matches': 21, 'matching_time': 1524078760.2055953, 'second_graph_creation_time': 1524078760.1952612, 'graph_edge_sort_time': 1524078760.204961, 'greatest_constraints_time': 1524078760.2052329}
{'first_graph_creation_time': 1524078760.274554, 'node_count': 185, 'start_time': 1524078760.205939, 'number_of_matches': 30, 'matching_time': 1524078760.3435466, 'second_graph_creation_time': 1524078760.3329778, 'graph_edge_sort_time': 1524078760.3427768, 'greatest_constraints_time': 1524078760.3430414}
{'first_graph_creation_time': 1524078760.4154205, 'node_count': 195, 'start_time': 1524078760.3439183, 'number_of_matches': 10, 'matching_time': 1524078760.4863615, 'second_graph_creation_time': 1524078760.4762118, 'graph_edge_sort_time': 1524078760.4859476, 'greatest_constraints_time': 1524078760.4862208}
{'first_graph_creation_time': 1524078760.564577, 'node_count': 215, 'start_time': 1524078760.486724, 'number_of_matches': 14, 'matching_time': 1524078760.646309, 'second_graph_creation_time': 1524078760.6340992, 'graph_edge_sort_time': 1524078760.6456387, 'greatest_constraints_time': 1524078760.6460686}
{'first_graph_creation_time': 1524078760.7145915, 'node_count': 188, 'start_time': 1524078760.6466959, 'number_of_matches': 26, 'matching_time': 1524078760.7827373, 'second_graph_creation_time': 1524078760.7725213, 'graph_edge_sort_time': 1524078760.7819135, 'greatest_constraints_time': 1524078760.7822359}
{'first_graph_creation_time': 1524078760.8517964, 'node_count': 186, 'start_time': 1524078760.7831204, 'number_of_matches': 52, 'matching_time': 1524078760.9249883, 'second_graph_creation_time': 1524078760.9138155, 'graph_edge_sort_time': 1524078760.9236946, 'greatest_constraints_time': 1524078760.9239745}
{'first_graph_creation_time': 1524078761.0281994, 'node_count': 206, 'start_time': 1524078760.9253395, 'number_of_matches': 64, 'matching_time': 1524078761.1087945, 'second_graph_creation_time': 1524078761.0954497, 'graph_edge_sort_time': 1524078761.1071148, 'greatest_constraints_time': 1524078761.1074378}
{'first_graph_creation_time': 1524078761.1822479, 'node_count': 199, 'start_time': 1524078761.1091444, 'number_of_matches': 53, 'matching_time': 1524078761.2574582, 'second_graph_creation_time': 1524078761.2446766, 'graph_edge_sort_time': 1524078761.2560372, 'greatest_constraints_time': 1524078761.2563267}
{'first_graph_creation_time': 1524078761.3323417, 'node_count': 197, 'start_time': 1524078761.2578137, 'number_of_matches': 15, 'matching_time': 1524078761.4054353, 'second_graph_creation_time': 1524078761.3946693, 'graph_edge_sort_time': 1524078761.4049075, 'greatest_constraints_time': 1524078761.4051726}
