{'start_time': 1524078983.35655, 'node_count': 201, 'graph_edge_sort_time': 1524078983.6220531, 'second_graph_creation_time': 1524078983.6041942, 'greatest_constraints_time': 1524078983.6224318, 'matching_time': 1524078983.624012, 'number_of_matches': 74, 'first_graph_creation_time': 1524078983.488572}
{'start_time': 1524078983.624387, 'node_count': 182, 'graph_edge_sort_time': 1524078983.8489645, 'second_graph_creation_time': 1524078983.8313968, 'greatest_constraints_time': 1524078983.8493187, 'matching_time': 1524078983.851068, 'number_of_matches': 81, 'first_graph_creation_time': 1524078983.7357955}
{'start_time': 1524078983.8514273, 'node_count': 197, 'graph_edge_sort_time': 1524078984.1198766, 'second_graph_creation_time': 1524078984.1012943, 'greatest_constraints_time': 1524078984.1202905, 'matching_time': 1524078984.1218429, 'number_of_matches': 75, 'first_graph_creation_time': 1524078983.9847639}
{'start_time': 1524078984.122189, 'node_count': 213, 'graph_edge_sort_time': 1524078984.4111986, 'second_graph_creation_time': 1524078984.3888235, 'greatest_constraints_time': 1524078984.4116256, 'matching_time': 1524078984.414612, 'number_of_matches': 119, 'first_graph_creation_time': 1524078984.2640443}
{'start_time': 1524078984.4149702, 'node_count': 217, 'graph_edge_sort_time': 1524078984.7172546, 'second_graph_creation_time': 1524078984.695877, 'greatest_constraints_time': 1524078984.7176979, 'matching_time': 1524078984.719833, 'number_of_matches': 99, 'first_graph_creation_time': 1524078984.5637162}
{'start_time': 1524078984.7201865, 'node_count': 199, 'graph_edge_sort_time': 1524078984.978816, 'second_graph_creation_time': 1524078984.961532, 'greatest_constraints_time': 1524078984.979184, 'matching_time': 1524078984.9804695, 'number_of_matches': 62, 'first_graph_creation_time': 1524078984.849853}
{'start_time': 1524078984.9807885, 'node_count': 193, 'graph_edge_sort_time': 1524078985.2294526, 'second_graph_creation_time': 1524078985.2071671, 'greatest_constraints_time': 1524078985.2298913, 'matching_time': 1524078985.2336383, 'number_of_matches': 134, 'first_graph_creation_time': 1524078985.1041362}
{'start_time': 1524078985.2340918, 'node_count': 202, 'graph_edge_sort_time': 1524078985.5108645, 'second_graph_creation_time': 1524078985.4899197, 'greatest_constraints_time': 1524078985.5113704, 'matching_time': 1524078985.5138216, 'number_of_matches': 104, 'first_graph_creation_time': 1524078985.3674345}
{'start_time': 1524078985.514176, 'node_count': 208, 'graph_edge_sort_time': 1524078985.8039043, 'second_graph_creation_time': 1524078985.7824004, 'greatest_constraints_time': 1524078985.8042989, 'matching_time': 1524078985.8065321, 'number_of_matches': 94, 'first_graph_creation_time': 1524078985.6552105}
{'start_time': 1524078985.806921, 'node_count': 215, 'graph_edge_sort_time': 1524078986.1084652, 'second_graph_creation_time': 1524078986.0852275, 'greatest_constraints_time': 1524078986.108935, 'matching_time': 1524078986.1120744, 'number_of_matches': 125, 'first_graph_creation_time': 1524078985.9552295}
{'start_time': 1524078986.1124225, 'node_count': 190, 'graph_edge_sort_time': 1524078986.3543398, 'second_graph_creation_time': 1524078986.336577, 'greatest_constraints_time': 1524078986.3546958, 'matching_time': 1524078986.356533, 'number_of_matches': 84, 'first_graph_creation_time': 1524078986.2336419}
{'start_time': 1524078986.3568623, 'node_count': 182, 'graph_edge_sort_time': 1524078986.5765584, 'second_graph_creation_time': 1524078986.5558438, 'greatest_constraints_time': 1524078986.5771132, 'matching_time': 1524078986.580237, 'number_of_matches': 126, 'first_graph_creation_time': 1524078986.4671109}
{'start_time': 1524078986.5805733, 'node_count': 216, 'graph_edge_sort_time': 1524078986.8808405, 'second_graph_creation_time': 1524078986.8572857, 'greatest_constraints_time': 1524078986.8812716, 'matching_time': 1524078986.8846889, 'number_of_matches': 128, 'first_graph_creation_time': 1524078986.727104}
{'start_time': 1524078986.885015, 'node_count': 181, 'graph_edge_sort_time': 1524078987.1062365, 'second_graph_creation_time': 1524078987.0862014, 'greatest_constraints_time': 1524078987.1067128, 'matching_time': 1524078987.1095223, 'number_of_matches': 119, 'first_graph_creation_time': 1524078986.9957514}
{'start_time': 1524078987.1114776, 'node_count': 216, 'graph_edge_sort_time': 1524078987.4160874, 'second_graph_creation_time': 1524078987.3960927, 'greatest_constraints_time': 1524078987.4164953, 'matching_time': 1524078987.4181476, 'number_of_matches': 76, 'first_graph_creation_time': 1524078987.2629454}
{'start_time': 1524078987.4184606, 'node_count': 214, 'graph_edge_sort_time': 1524078987.7124133, 'second_graph_creation_time': 1524078987.6924703, 'greatest_constraints_time': 1524078987.7128248, 'matching_time': 1524078987.7143419, 'number_of_matches': 73, 'first_graph_creation_time': 1524078987.563097}
{'start_time': 1524078987.7147133, 'node_count': 217, 'graph_edge_sort_time': 1524078988.0093646, 'second_graph_creation_time': 1524078987.9882565, 'greatest_constraints_time': 1524078988.0098176, 'matching_time': 1524078988.0120635, 'number_of_matches': 100, 'first_graph_creation_time': 1524078987.8580978}
{'start_time': 1524078988.0124083, 'node_count': 209, 'graph_edge_sort_time': 1524078988.2929423, 'second_graph_creation_time': 1524078988.2733319, 'greatest_constraints_time': 1524078988.293311, 'matching_time': 1524078988.2951114, 'number_of_matches': 86, 'first_graph_creation_time': 1524078988.1507554}
{'start_time': 1524078988.2954848, 'node_count': 212, 'graph_edge_sort_time': 1524078988.5852623, 'second_graph_creation_time': 1524078988.5652063, 'greatest_constraints_time': 1524078988.585665, 'matching_time': 1524078988.5874817, 'number_of_matches': 83, 'first_graph_creation_time': 1524078988.438201}
{'start_time': 1524078988.5878341, 'node_count': 198, 'graph_edge_sort_time': 1524078988.8506284, 'second_graph_creation_time': 1524078988.829852, 'greatest_constraints_time': 1524078988.8509989, 'matching_time': 1524078988.853549, 'number_of_matches': 109, 'first_graph_creation_time': 1524078988.7180696}
{'start_time': 1524078988.8539114, 'node_count': 212, 'graph_edge_sort_time': 1524078989.1853108, 'second_graph_creation_time': 1524078989.161969, 'greatest_constraints_time': 1524078989.1857371, 'matching_time': 1524078989.1886632, 'number_of_matches': 119, 'first_graph_creation_time': 1524078989.006409}
{'start_time': 1524078989.1889956, 'node_count': 190, 'graph_edge_sort_time': 1524078989.4324136, 'second_graph_creation_time': 1524078989.4155002, 'greatest_constraints_time': 1524078989.432809, 'matching_time': 1524078989.4344187, 'number_of_matches': 76, 'first_graph_creation_time': 1524078989.3120368}
{'start_time': 1524078989.4348073, 'node_count': 192, 'graph_edge_sort_time': 1524078989.6814103, 'second_graph_creation_time': 1524078989.6621656, 'greatest_constraints_time': 1524078989.6818213, 'matching_time': 1524078989.6843457, 'number_of_matches': 105, 'first_graph_creation_time': 1524078989.5562987}
{'start_time': 1524078989.684687, 'node_count': 180, 'graph_edge_sort_time': 1524078989.9049296, 'second_graph_creation_time': 1524078989.8867917, 'greatest_constraints_time': 1524078989.9052947, 'matching_time': 1524078989.9074733, 'number_of_matches': 96, 'first_graph_creation_time': 1524078989.7948513}
{'start_time': 1524078989.907976, 'node_count': 181, 'graph_edge_sort_time': 1524078990.1300838, 'second_graph_creation_time': 1524078990.1134815, 'greatest_constraints_time': 1524078990.130467, 'matching_time': 1524078990.131908, 'number_of_matches': 70, 'first_graph_creation_time': 1524078990.0194254}
{'start_time': 1524078990.1322868, 'node_count': 198, 'graph_edge_sort_time': 1524078990.396445, 'second_graph_creation_time': 1524078990.3789208, 'greatest_constraints_time': 1524078990.3967845, 'matching_time': 1524078990.3982008, 'number_of_matches': 71, 'first_graph_creation_time': 1524078990.2647367}
{'start_time': 1524078990.3985443, 'node_count': 189, 'graph_edge_sort_time': 1524078990.6397262, 'second_graph_creation_time': 1524078990.6191463, 'greatest_constraints_time': 1524078990.6401348, 'matching_time': 1524078990.6430964, 'number_of_matches': 119, 'first_graph_creation_time': 1524078990.5201447}
{'start_time': 1524078990.6435559, 'node_count': 184, 'graph_edge_sort_time': 1524078990.8749409, 'second_graph_creation_time': 1524078990.8572176, 'greatest_constraints_time': 1524078990.8753088, 'matching_time': 1524078990.8776164, 'number_of_matches': 88, 'first_graph_creation_time': 1524078990.7613902}
{'start_time': 1524078990.8779294, 'node_count': 213, 'graph_edge_sort_time': 1524078991.1687667, 'second_graph_creation_time': 1524078991.1478298, 'greatest_constraints_time': 1524078991.16918, 'matching_time': 1524078991.1715102, 'number_of_matches': 103, 'first_graph_creation_time': 1524078991.0217273}
{'start_time': 1524078991.171809, 'node_count': 202, 'graph_edge_sort_time': 1524078991.4413857, 'second_graph_creation_time': 1524078991.420469, 'greatest_constraints_time': 1524078991.4417913, 'matching_time': 1524078991.4446256, 'number_of_matches': 110, 'first_graph_creation_time': 1524078991.3062932}
{'start_time': 1524078991.4449542, 'node_count': 188, 'graph_edge_sort_time': 1524078991.6807296, 'second_graph_creation_time': 1524078991.6638832, 'greatest_constraints_time': 1524078991.6810687, 'matching_time': 1524078991.6823325, 'number_of_matches': 67, 'first_graph_creation_time': 1524078991.5627203}
{'start_time': 1524078991.682638, 'node_count': 216, 'graph_edge_sort_time': 1524078991.980072, 'second_graph_creation_time': 1524078991.9603264, 'greatest_constraints_time': 1524078991.9804533, 'matching_time': 1524078991.9820886, 'number_of_matches': 78, 'first_graph_creation_time': 1524078991.8297143}
{'start_time': 1524078991.9824166, 'node_count': 190, 'graph_edge_sort_time': 1524078992.2238734, 'second_graph_creation_time': 1524078992.2045438, 'greatest_constraints_time': 1524078992.2242477, 'matching_time': 1524078992.2268322, 'number_of_matches': 97, 'first_graph_creation_time': 1524078992.1019962}
{'start_time': 1524078992.2288816, 'node_count': 189, 'graph_edge_sort_time': 1524078992.4736993, 'second_graph_creation_time': 1524078992.4550033, 'greatest_constraints_time': 1524078992.474102, 'matching_time': 1524078992.4763618, 'number_of_matches': 93, 'first_graph_creation_time': 1524078992.349756}
{'start_time': 1524078992.4767072, 'node_count': 208, 'graph_edge_sort_time': 1524078992.7561467, 'second_graph_creation_time': 1524078992.7372224, 'greatest_constraints_time': 1524078992.7564995, 'matching_time': 1524078992.7581255, 'number_of_matches': 77, 'first_graph_creation_time': 1524078992.6151712}
{'start_time': 1524078992.7585618, 'node_count': 200, 'graph_edge_sort_time': 1524078993.0302618, 'second_graph_creation_time': 1524078993.0074592, 'greatest_constraints_time': 1524078993.0307062, 'matching_time': 1524078993.0339134, 'number_of_matches': 121, 'first_graph_creation_time': 1524078992.8928998}
