{'greatest_constraints_time': 1524078694.9345248, 'second_graph_creation_time': 1524078694.9198186, 'graph_edge_sort_time': 1524078694.934138, 'node_count': 219, 'matching_time': 1524078694.9369168, 'start_time': 1524078694.7615888, 'first_graph_creation_time': 1524078694.8463933, 'number_of_matches': 93}
{'greatest_constraints_time': 1524078695.0941823, 'second_graph_creation_time': 1524078695.079282, 'graph_edge_sort_time': 1524078695.0937896, 'node_count': 205, 'matching_time': 1524078695.0979846, 'start_time': 1524078694.937278, 'first_graph_creation_time': 1524078695.0158992, 'number_of_matches': 132}
{'greatest_constraints_time': 1524078695.2456872, 'second_graph_creation_time': 1524078695.2332525, 'graph_edge_sort_time': 1524078695.2453318, 'node_count': 188, 'matching_time': 1524078695.248136, 'start_time': 1524078695.0983863, 'first_graph_creation_time': 1524078695.1741526, 'number_of_matches': 94}
{'greatest_constraints_time': 1524078695.4161186, 'second_graph_creation_time': 1524078695.4015272, 'graph_edge_sort_time': 1524078695.415722, 'node_count': 218, 'matching_time': 1524078695.4191535, 'start_time': 1524078695.2484965, 'first_graph_creation_time': 1524078695.3308623, 'number_of_matches': 109}
{'greatest_constraints_time': 1524078695.56049, 'second_graph_creation_time': 1524078695.548703, 'graph_edge_sort_time': 1524078695.560171, 'node_count': 189, 'matching_time': 1524078695.562911, 'start_time': 1524078695.4195406, 'first_graph_creation_time': 1524078695.488665, 'number_of_matches': 85}
{'greatest_constraints_time': 1524078695.7257817, 'second_graph_creation_time': 1524078695.711184, 'graph_edge_sort_time': 1524078695.725403, 'node_count': 213, 'matching_time': 1524078695.7290413, 'start_time': 1524078695.563263, 'first_graph_creation_time': 1524078695.6429827, 'number_of_matches': 119}
{'greatest_constraints_time': 1524078695.8870227, 'second_graph_creation_time': 1524078695.8726892, 'graph_edge_sort_time': 1524078695.886621, 'node_count': 209, 'matching_time': 1524078695.8902922, 'start_time': 1524078695.729452, 'first_graph_creation_time': 1524078695.807097, 'number_of_matches': 112}
{'greatest_constraints_time': 1524078696.0468357, 'second_graph_creation_time': 1524078696.0318732, 'graph_edge_sort_time': 1524078696.046443, 'node_count': 204, 'matching_time': 1524078696.0505233, 'start_time': 1524078695.890673, 'first_graph_creation_time': 1524078695.9690428, 'number_of_matches': 126}
{'greatest_constraints_time': 1524078696.1961982, 'second_graph_creation_time': 1524078696.1824021, 'graph_edge_sort_time': 1524078696.1957984, 'node_count': 193, 'matching_time': 1524078696.1997187, 'start_time': 1524078696.0526407, 'first_graph_creation_time': 1524078696.1240003, 'number_of_matches': 123}
{'greatest_constraints_time': 1524078696.3679216, 'second_graph_creation_time': 1524078696.352647, 'graph_edge_sort_time': 1524078696.3675294, 'node_count': 211, 'matching_time': 1524078696.3718688, 'start_time': 1524078696.2000635, 'first_graph_creation_time': 1524078696.2853374, 'number_of_matches': 130}
{'greatest_constraints_time': 1524078696.5225017, 'second_graph_creation_time': 1524078696.5077264, 'graph_edge_sort_time': 1524078696.522122, 'node_count': 196, 'matching_time': 1524078696.5266228, 'start_time': 1524078696.3722727, 'first_graph_creation_time': 1524078696.4467034, 'number_of_matches': 129}
{'greatest_constraints_time': 1524078696.6804607, 'second_graph_creation_time': 1524078696.6686246, 'graph_edge_sort_time': 1524078696.680118, 'node_count': 205, 'matching_time': 1524078696.681984, 'start_time': 1524078696.527149, 'first_graph_creation_time': 1524078696.6032875, 'number_of_matches': 68}
{'greatest_constraints_time': 1524078696.8244512, 'second_graph_creation_time': 1524078696.8127484, 'graph_edge_sort_time': 1524078696.824127, 'node_count': 192, 'matching_time': 1524078696.826591, 'start_time': 1524078696.682511, 'first_graph_creation_time': 1524078696.7530134, 'number_of_matches': 86}
{'greatest_constraints_time': 1524078696.9840484, 'second_graph_creation_time': 1524078696.9717798, 'graph_edge_sort_time': 1524078696.983624, 'node_count': 199, 'matching_time': 1524078696.986061, 'start_time': 1524078696.8269498, 'first_graph_creation_time': 1524078696.9064348, 'number_of_matches': 83}
{'greatest_constraints_time': 1524078697.1535108, 'second_graph_creation_time': 1524078697.1400895, 'graph_edge_sort_time': 1524078697.153063, 'node_count': 220, 'matching_time': 1524078697.156156, 'start_time': 1524078696.98646, 'first_graph_creation_time': 1524078697.0691392, 'number_of_matches': 94}
{'greatest_constraints_time': 1524078697.3088715, 'second_graph_creation_time': 1524078697.2946131, 'graph_edge_sort_time': 1524078697.3084729, 'node_count': 199, 'matching_time': 1524078697.3126626, 'start_time': 1524078697.1564806, 'first_graph_creation_time': 1524078697.2334802, 'number_of_matches': 127}
{'greatest_constraints_time': 1524078697.4530475, 'second_graph_creation_time': 1524078697.441246, 'graph_edge_sort_time': 1524078697.4527516, 'node_count': 186, 'matching_time': 1524078697.4554849, 'start_time': 1524078697.313023, 'first_graph_creation_time': 1524078697.3828647, 'number_of_matches': 90}
{'greatest_constraints_time': 1524078697.617672, 'second_graph_creation_time': 1524078697.604926, 'graph_edge_sort_time': 1524078697.6173165, 'node_count': 211, 'matching_time': 1524078697.6195593, 'start_time': 1524078697.4558682, 'first_graph_creation_time': 1524078697.5363786, 'number_of_matches': 81}
{'greatest_constraints_time': 1524078697.7931166, 'second_graph_creation_time': 1524078697.777537, 'graph_edge_sort_time': 1524078697.7927117, 'node_count': 219, 'matching_time': 1524078697.7967436, 'start_time': 1524078697.6198668, 'first_graph_creation_time': 1524078697.7044923, 'number_of_matches': 126}
{'greatest_constraints_time': 1524078697.938238, 'second_graph_creation_time': 1524078697.9242284, 'graph_edge_sort_time': 1524078697.9378176, 'node_count': 188, 'matching_time': 1524078697.942159, 'start_time': 1524078697.7970686, 'first_graph_creation_time': 1524078697.8689559, 'number_of_matches': 129}
{'greatest_constraints_time': 1524078698.130069, 'second_graph_creation_time': 1524078698.1159477, 'graph_edge_sort_time': 1524078698.1296942, 'node_count': 217, 'matching_time': 1524078698.1329396, 'start_time': 1524078697.9425013, 'first_graph_creation_time': 1524078698.0464272, 'number_of_matches': 106}
{'greatest_constraints_time': 1524078698.2952585, 'second_graph_creation_time': 1524078698.2800686, 'graph_edge_sort_time': 1524078698.2948587, 'node_count': 216, 'matching_time': 1524078698.2989175, 'start_time': 1524078698.1334121, 'first_graph_creation_time': 1524078698.2131696, 'number_of_matches': 127}
{'greatest_constraints_time': 1524078698.445154, 'second_graph_creation_time': 1524078698.4306936, 'graph_edge_sort_time': 1524078698.4447632, 'node_count': 197, 'matching_time': 1524078698.4490864, 'start_time': 1524078698.2992344, 'first_graph_creation_time': 1524078698.3715255, 'number_of_matches': 132}
{'greatest_constraints_time': 1524078698.61385, 'second_graph_creation_time': 1524078698.5991051, 'graph_edge_sort_time': 1524078698.6134782, 'node_count': 214, 'matching_time': 1524078698.6173046, 'start_time': 1524078698.4494307, 'first_graph_creation_time': 1524078698.5307732, 'number_of_matches': 122}
{'greatest_constraints_time': 1524078698.775273, 'second_graph_creation_time': 1524078698.759267, 'graph_edge_sort_time': 1524078698.7748947, 'node_count': 206, 'matching_time': 1524078698.7795908, 'start_time': 1524078698.6176684, 'first_graph_creation_time': 1524078698.6951141, 'number_of_matches': 139}
{'greatest_constraints_time': 1524078698.944554, 'second_graph_creation_time': 1524078698.9299598, 'graph_edge_sort_time': 1524078698.9441884, 'node_count': 216, 'matching_time': 1524078698.947805, 'start_time': 1524078698.7799327, 'first_graph_creation_time': 1524078698.8599048, 'number_of_matches': 118}
{'greatest_constraints_time': 1524078699.1068356, 'second_graph_creation_time': 1524078699.093805, 'graph_edge_sort_time': 1524078699.1064744, 'node_count': 212, 'matching_time': 1524078699.1090431, 'start_time': 1524078698.9481535, 'first_graph_creation_time': 1524078699.0274572, 'number_of_matches': 94}
{'greatest_constraints_time': 1524078699.2653682, 'second_graph_creation_time': 1524078699.253739, 'graph_edge_sort_time': 1524078699.2650409, 'node_count': 203, 'matching_time': 1524078699.2668288, 'start_time': 1524078699.109368, 'first_graph_creation_time': 1524078699.1882024, 'number_of_matches': 69}
{'greatest_constraints_time': 1524078699.3974695, 'second_graph_creation_time': 1524078699.3875716, 'graph_edge_sort_time': 1524078699.397184, 'node_count': 187, 'matching_time': 1524078699.3986945, 'start_time': 1524078699.2671695, 'first_graph_creation_time': 1524078699.3326654, 'number_of_matches': 64}
{'greatest_constraints_time': 1524078699.5411782, 'second_graph_creation_time': 1524078699.526814, 'graph_edge_sort_time': 1524078699.540793, 'node_count': 190, 'matching_time': 1524078699.5452993, 'start_time': 1524078699.3990233, 'first_graph_creation_time': 1524078699.46954, 'number_of_matches': 134}
{'greatest_constraints_time': 1524078699.7018747, 'second_graph_creation_time': 1524078699.6870096, 'graph_edge_sort_time': 1524078699.7014902, 'node_count': 207, 'matching_time': 1524078699.7057767, 'start_time': 1524078699.5456223, 'first_graph_creation_time': 1524078699.6219268, 'number_of_matches': 128}
