{'start_time': 1524079026.083261, 'matching_time': 1524079026.3809357, 'first_graph_creation_time': 1524079026.2278574, 'node_count': 214, 'greatest_constraints_time': 1524079026.3779902, 'graph_edge_sort_time': 1524079026.377609, 'second_graph_creation_time': 1524079026.3576834, 'number_of_matches': 87}
{'start_time': 1524079026.381287, 'matching_time': 1524079026.6681945, 'first_graph_creation_time': 1524079026.5221748, 'node_count': 207, 'greatest_constraints_time': 1524079026.6644223, 'graph_edge_sort_time': 1524079026.6640184, 'second_graph_creation_time': 1524079026.6436021, 'number_of_matches': 99}
{'start_time': 1524079026.6685493, 'matching_time': 1524079026.9664004, 'first_graph_creation_time': 1524079026.811495, 'node_count': 213, 'greatest_constraints_time': 1524079026.961107, 'graph_edge_sort_time': 1524079026.9606297, 'second_graph_creation_time': 1524079026.9375532, 'number_of_matches': 126}
{'start_time': 1524079026.9668257, 'matching_time': 1524079027.1901026, 'first_graph_creation_time': 1524079027.0782356, 'node_count': 181, 'greatest_constraints_time': 1524079027.1874828, 'graph_edge_sort_time': 1524079027.1871336, 'second_graph_creation_time': 1524079027.170856, 'number_of_matches': 77}
{'start_time': 1524079027.1904874, 'matching_time': 1524079027.4407012, 'first_graph_creation_time': 1524079027.312086, 'node_count': 192, 'greatest_constraints_time': 1524079027.4362059, 'graph_edge_sort_time': 1524079027.43581, 'second_graph_creation_time': 1524079027.4151084, 'number_of_matches': 116}
{'start_time': 1524079027.4410396, 'matching_time': 1524079027.7398386, 'first_graph_creation_time': 1524079027.5845091, 'node_count': 215, 'greatest_constraints_time': 1524079027.7350545, 'graph_edge_sort_time': 1524079027.7346165, 'second_graph_creation_time': 1524079027.7118053, 'number_of_matches': 122}
{'start_time': 1524079027.740181, 'matching_time': 1524079028.000582, 'first_graph_creation_time': 1524079027.866189, 'node_count': 198, 'greatest_constraints_time': 1524079027.9967809, 'graph_edge_sort_time': 1524079027.9961202, 'second_graph_creation_time': 1524079027.9759364, 'number_of_matches': 101}
{'start_time': 1524079028.00105, 'matching_time': 1524079028.2487783, 'first_graph_creation_time': 1524079028.12046, 'node_count': 191, 'greatest_constraints_time': 1524079028.2456172, 'graph_edge_sort_time': 1524079028.2452257, 'second_graph_creation_time': 1524079028.2267938, 'number_of_matches': 84}
{'start_time': 1524079028.2491276, 'matching_time': 1524079028.495238, 'first_graph_creation_time': 1524079028.367979, 'node_count': 190, 'greatest_constraints_time': 1524079028.4901476, 'graph_edge_sort_time': 1524079028.489733, 'second_graph_creation_time': 1524079028.4685535, 'number_of_matches': 122}
{'start_time': 1524079028.495577, 'matching_time': 1524079028.7977848, 'first_graph_creation_time': 1524079028.6417856, 'node_count': 214, 'greatest_constraints_time': 1524079028.7941792, 'graph_edge_sort_time': 1524079028.7937915, 'second_graph_creation_time': 1524079028.772795, 'number_of_matches': 100}
