{'first_graph_creation_time': 1524076229.7231584, 'start_time': 1524076229.705546, 'number_of_matches': 57, 'second_graph_creation_time': 1524076229.7354047, 'greatest_constraints_time': 1524076229.7391844, 'graph_edge_sort_time': 1524076229.7390077, 'node_count': 106, 'matching_time': 1524076229.7400339}
{'first_graph_creation_time': 1524076229.7562747, 'start_time': 1524076229.7404459, 'number_of_matches': 45, 'second_graph_creation_time': 1524076229.7677398, 'greatest_constraints_time': 1524076229.7707198, 'graph_edge_sort_time': 1524076229.7705276, 'node_count': 96, 'matching_time': 1524076229.771444}
{'first_graph_creation_time': 1524076229.7904882, 'start_time': 1524076229.771838, 'number_of_matches': 39, 'second_graph_creation_time': 1524076229.8065205, 'greatest_constraints_time': 1524076229.809998, 'graph_edge_sort_time': 1524076229.809851, 'node_count': 110, 'matching_time': 1524076229.8105006}
{'first_graph_creation_time': 1524076229.8250003, 'start_time': 1524076229.810769, 'number_of_matches': 53, 'second_graph_creation_time': 1524076229.83413, 'greatest_constraints_time': 1524076229.836921, 'graph_edge_sort_time': 1524076229.836784, 'node_count': 90, 'matching_time': 1524076229.8376212}
{'first_graph_creation_time': 1524076229.8566248, 'start_time': 1524076229.8379796, 'number_of_matches': 55, 'second_graph_creation_time': 1524076229.8695834, 'greatest_constraints_time': 1524076229.873194, 'graph_edge_sort_time': 1524076229.873027, 'node_count': 109, 'matching_time': 1524076229.8741066}
{'first_graph_creation_time': 1524076229.8922958, 'start_time': 1524076229.8743823, 'number_of_matches': 46, 'second_graph_creation_time': 1524076229.9052842, 'greatest_constraints_time': 1524076229.9087508, 'graph_edge_sort_time': 1524076229.908528, 'node_count': 106, 'matching_time': 1524076229.9093869}
{'first_graph_creation_time': 1524076229.9260628, 'start_time': 1524076229.9098103, 'number_of_matches': 28, 'second_graph_creation_time': 1524076229.937512, 'greatest_constraints_time': 1524076229.9401531, 'graph_edge_sort_time': 1524076229.9400272, 'node_count': 93, 'matching_time': 1524076229.9405112}
{'first_graph_creation_time': 1524076229.9577994, 'start_time': 1524076229.9408574, 'number_of_matches': 57, 'second_graph_creation_time': 1524076229.969235, 'greatest_constraints_time': 1524076229.9728544, 'graph_edge_sort_time': 1524076229.9726965, 'node_count': 103, 'matching_time': 1524076229.9737716}
{'first_graph_creation_time': 1524076229.9917119, 'start_time': 1524076229.9741504, 'number_of_matches': 79, 'second_graph_creation_time': 1524076230.0031602, 'greatest_constraints_time': 1524076230.0077677, 'graph_edge_sort_time': 1524076230.0075796, 'node_count': 109, 'matching_time': 1524076230.0092802}
{'first_graph_creation_time': 1524076230.0261135, 'start_time': 1524076230.0096278, 'number_of_matches': 43, 'second_graph_creation_time': 1524076230.038063, 'greatest_constraints_time': 1524076230.0410662, 'graph_edge_sort_time': 1524076230.0409248, 'node_count': 103, 'matching_time': 1524076230.041727}
{'first_graph_creation_time': 1524076230.0579762, 'start_time': 1524076230.041991, 'number_of_matches': 57, 'second_graph_creation_time': 1524076230.0695062, 'greatest_constraints_time': 1524076230.0729754, 'graph_edge_sort_time': 1524076230.0728128, 'node_count': 101, 'matching_time': 1524076230.073807}
{'first_graph_creation_time': 1524076230.0903742, 'start_time': 1524076230.0740814, 'number_of_matches': 32, 'second_graph_creation_time': 1524076230.1023054, 'greatest_constraints_time': 1524076230.1051397, 'graph_edge_sort_time': 1524076230.1049764, 'node_count': 100, 'matching_time': 1524076230.1054912}
{'first_graph_creation_time': 1524076230.1242847, 'start_time': 1524076230.1058414, 'number_of_matches': 46, 'second_graph_creation_time': 1524076230.1378236, 'greatest_constraints_time': 1524076230.1412547, 'graph_edge_sort_time': 1524076230.1410918, 'node_count': 110, 'matching_time': 1524076230.1419404}
{'first_graph_creation_time': 1524076230.1585002, 'start_time': 1524076230.1422927, 'number_of_matches': 61, 'second_graph_creation_time': 1524076230.1698484, 'greatest_constraints_time': 1524076230.1733267, 'graph_edge_sort_time': 1524076230.1731737, 'node_count': 101, 'matching_time': 1524076230.1741817}
{'first_graph_creation_time': 1524076230.1911383, 'start_time': 1524076230.1745646, 'number_of_matches': 48, 'second_graph_creation_time': 1524076230.203271, 'greatest_constraints_time': 1524076230.2065089, 'graph_edge_sort_time': 1524076230.2063282, 'node_count': 101, 'matching_time': 1524076230.2071984}
{'first_graph_creation_time': 1524076230.2246592, 'start_time': 1524076230.2076163, 'number_of_matches': 38, 'second_graph_creation_time': 1524076230.2393603, 'greatest_constraints_time': 1524076230.2424114, 'graph_edge_sort_time': 1524076230.242258, 'node_count': 105, 'matching_time': 1524076230.2428753}
{'first_graph_creation_time': 1524076230.2573576, 'start_time': 1524076230.243182, 'number_of_matches': 53, 'second_graph_creation_time': 1524076230.2669845, 'greatest_constraints_time': 1524076230.269841, 'graph_edge_sort_time': 1524076230.2696853, 'node_count': 90, 'matching_time': 1524076230.2706506}
{'first_graph_creation_time': 1524076230.2862191, 'start_time': 1524076230.2710228, 'number_of_matches': 51, 'second_graph_creation_time': 1524076230.296631, 'greatest_constraints_time': 1524076230.2996254, 'graph_edge_sort_time': 1524076230.299482, 'node_count': 95, 'matching_time': 1524076230.3003232}
{'first_graph_creation_time': 1524076230.3184116, 'start_time': 1524076230.300664, 'number_of_matches': 68, 'second_graph_creation_time': 1524076230.330525, 'greatest_constraints_time': 1524076230.3345573, 'graph_edge_sort_time': 1524076230.3343713, 'node_count': 108, 'matching_time': 1524076230.3356264}
{'first_graph_creation_time': 1524076230.352421, 'start_time': 1524076230.336001, 'number_of_matches': 38, 'second_graph_creation_time': 1524076230.364082, 'greatest_constraints_time': 1524076230.367463, 'graph_edge_sort_time': 1524076230.3673089, 'node_count': 101, 'matching_time': 1524076230.3679984}
{'first_graph_creation_time': 1524076230.386854, 'start_time': 1524076230.3683612, 'number_of_matches': 50, 'second_graph_creation_time': 1524076230.4001193, 'greatest_constraints_time': 1524076230.403579, 'graph_edge_sort_time': 1524076230.403378, 'node_count': 110, 'matching_time': 1524076230.4043875}
{'first_graph_creation_time': 1524076230.4198022, 'start_time': 1524076230.4047642, 'number_of_matches': 59, 'second_graph_creation_time': 1524076230.4299204, 'greatest_constraints_time': 1524076230.4331996, 'graph_edge_sort_time': 1524076230.433033, 'node_count': 92, 'matching_time': 1524076230.4341989}
{'first_graph_creation_time': 1524076230.4511614, 'start_time': 1524076230.4345086, 'number_of_matches': 59, 'second_graph_creation_time': 1524076230.4627426, 'greatest_constraints_time': 1524076230.4661522, 'graph_edge_sort_time': 1524076230.4659927, 'node_count': 103, 'matching_time': 1524076230.4670296}
{'first_graph_creation_time': 1524076230.4836545, 'start_time': 1524076230.467394, 'number_of_matches': 34, 'second_graph_creation_time': 1524076230.49587, 'greatest_constraints_time': 1524076230.498678, 'graph_edge_sort_time': 1524076230.4985428, 'node_count': 103, 'matching_time': 1524076230.4990733}
{'first_graph_creation_time': 1524076230.5176725, 'start_time': 1524076230.4993832, 'number_of_matches': 61, 'second_graph_creation_time': 1524076230.5302725, 'greatest_constraints_time': 1524076230.5342846, 'graph_edge_sort_time': 1524076230.5341175, 'node_count': 103, 'matching_time': 1524076230.5353491}
{'first_graph_creation_time': 1524076230.551824, 'start_time': 1524076230.5356982, 'number_of_matches': 40, 'second_graph_creation_time': 1524076230.562998, 'greatest_constraints_time': 1524076230.5657992, 'graph_edge_sort_time': 1524076230.5656614, 'node_count': 96, 'matching_time': 1524076230.566297}
{'first_graph_creation_time': 1524076230.5833704, 'start_time': 1524076230.566672, 'number_of_matches': 71, 'second_graph_creation_time': 1524076230.5942948, 'greatest_constraints_time': 1524076230.5980606, 'graph_edge_sort_time': 1524076230.5979028, 'node_count': 97, 'matching_time': 1524076230.5995986}
{'first_graph_creation_time': 1524076230.6175206, 'start_time': 1524076230.5999951, 'number_of_matches': 65, 'second_graph_creation_time': 1524076230.6290493, 'greatest_constraints_time': 1524076230.6327877, 'graph_edge_sort_time': 1524076230.6326165, 'node_count': 101, 'matching_time': 1524076230.6339579}
{'first_graph_creation_time': 1524076230.649505, 'start_time': 1524076230.634307, 'number_of_matches': 64, 'second_graph_creation_time': 1524076230.6594415, 'greatest_constraints_time': 1524076230.6627927, 'graph_edge_sort_time': 1524076230.6625638, 'node_count': 92, 'matching_time': 1524076230.6643107}
{'first_graph_creation_time': 1524076230.6843286, 'start_time': 1524076230.6646175, 'number_of_matches': 63, 'second_graph_creation_time': 1524076230.6965556, 'greatest_constraints_time': 1524076230.700519, 'graph_edge_sort_time': 1524076230.7002513, 'node_count': 109, 'matching_time': 1524076230.701524}
{'first_graph_creation_time': 1524076230.7168121, 'start_time': 1524076230.701899, 'number_of_matches': 54, 'second_graph_creation_time': 1524076230.7270567, 'greatest_constraints_time': 1524076230.730031, 'graph_edge_sort_time': 1524076230.7298844, 'node_count': 93, 'matching_time': 1524076230.7308028}
{'first_graph_creation_time': 1524076230.7450824, 'start_time': 1524076230.731052, 'number_of_matches': 40, 'second_graph_creation_time': 1524076230.755014, 'greatest_constraints_time': 1524076230.7575703, 'graph_edge_sort_time': 1524076230.7574372, 'node_count': 90, 'matching_time': 1524076230.7580662}
{'first_graph_creation_time': 1524076230.7760355, 'start_time': 1524076230.7584267, 'number_of_matches': 72, 'second_graph_creation_time': 1524076230.7882035, 'greatest_constraints_time': 1524076230.792471, 'graph_edge_sort_time': 1524076230.7922816, 'node_count': 108, 'matching_time': 1524076230.7937481}
{'first_graph_creation_time': 1524076230.8117712, 'start_time': 1524076230.794018, 'number_of_matches': 48, 'second_graph_creation_time': 1524076230.8247292, 'greatest_constraints_time': 1524076230.827974, 'graph_edge_sort_time': 1524076230.8278248, 'node_count': 106, 'matching_time': 1524076230.8285902}
{'first_graph_creation_time': 1524076230.8465862, 'start_time': 1524076230.8289347, 'number_of_matches': 45, 'second_graph_creation_time': 1524076230.8599932, 'greatest_constraints_time': 1524076230.8630154, 'graph_edge_sort_time': 1524076230.8628736, 'node_count': 105, 'matching_time': 1524076230.8635821}
{'first_graph_creation_time': 1524076230.8789814, 'start_time': 1524076230.8638859, 'number_of_matches': 31, 'second_graph_creation_time': 1524076230.8898137, 'greatest_constraints_time': 1524076230.8923492, 'graph_edge_sort_time': 1524076230.8922262, 'node_count': 95, 'matching_time': 1524076230.8926897}
{'first_graph_creation_time': 1524076230.906895, 'start_time': 1524076230.892955, 'number_of_matches': 46, 'second_graph_creation_time': 1524076230.9168355, 'greatest_constraints_time': 1524076230.920134, 'graph_edge_sort_time': 1524076230.9198966, 'node_count': 91, 'matching_time': 1524076230.920995}
