{'second_graph_creation_time': 1524078667.1731365, 'greatest_constraints_time': 1524078667.1852, 'matching_time': 1524078667.1864054, 'number_of_matches': 75, 'graph_edge_sort_time': 1524078667.1848605, 'first_graph_creation_time': 1524078667.1074247, 'node_count': 203, 'start_time': 1524078667.0312803}
{'second_graph_creation_time': 1524078667.3444624, 'greatest_constraints_time': 1524078667.3571086, 'matching_time': 1524078667.358204, 'number_of_matches': 67, 'graph_edge_sort_time': 1524078667.3567784, 'first_graph_creation_time': 1524078667.27237, 'node_count': 215, 'start_time': 1524078667.186748}
{'second_graph_creation_time': 1524078667.5087235, 'greatest_constraints_time': 1524078667.5229824, 'matching_time': 1524078667.5245423, 'number_of_matches': 92, 'graph_edge_sort_time': 1524078667.5226321, 'first_graph_creation_time': 1524078667.4384491, 'node_count': 207, 'start_time': 1524078667.3585627}
{'second_graph_creation_time': 1524078667.6705356, 'greatest_constraints_time': 1524078667.6867445, 'matching_time': 1524078667.689263, 'number_of_matches': 135, 'graph_edge_sort_time': 1524078667.686301, 'first_graph_creation_time': 1524078667.604996, 'node_count': 210, 'start_time': 1524078667.5249553}
{'second_graph_creation_time': 1524078667.8383002, 'greatest_constraints_time': 1524078667.8520362, 'matching_time': 1524078667.8538654, 'number_of_matches': 102, 'graph_edge_sort_time': 1524078667.8516734, 'first_graph_creation_time': 1524078667.7704194, 'node_count': 207, 'start_time': 1524078667.689629}
{'second_graph_creation_time': 1524078667.9935424, 'greatest_constraints_time': 1524078668.0083306, 'matching_time': 1524078668.0107474, 'number_of_matches': 133, 'graph_edge_sort_time': 1524078668.007857, 'first_graph_creation_time': 1524078667.931667, 'node_count': 203, 'start_time': 1524078667.854223}
{'second_graph_creation_time': 1524078668.1403186, 'greatest_constraints_time': 1524078668.1514654, 'matching_time': 1524078668.1527636, 'number_of_matches': 81, 'graph_edge_sort_time': 1524078668.1511645, 'first_graph_creation_time': 1524078668.082071, 'node_count': 186, 'start_time': 1524078668.0110905}
{'second_graph_creation_time': 1524078668.3062162, 'greatest_constraints_time': 1524078668.31968, 'matching_time': 1524078668.321483, 'number_of_matches': 102, 'graph_edge_sort_time': 1524078668.319313, 'first_graph_creation_time': 1524078668.2385676, 'node_count': 209, 'start_time': 1524078668.155143}
{'second_graph_creation_time': 1524078668.457511, 'greatest_constraints_time': 1524078668.4705625, 'matching_time': 1524078668.4722962, 'number_of_matches': 101, 'graph_edge_sort_time': 1524078668.4702199, 'first_graph_creation_time': 1524078668.3949394, 'node_count': 198, 'start_time': 1524078668.3218305}
{'second_graph_creation_time': 1524078668.6178253, 'greatest_constraints_time': 1524078668.6300197, 'matching_time': 1524078668.6312375, 'number_of_matches': 74, 'graph_edge_sort_time': 1524078668.629672, 'first_graph_creation_time': 1524078668.5508995, 'node_count': 200, 'start_time': 1524078668.4726539}
{'second_graph_creation_time': 1524078668.755479, 'greatest_constraints_time': 1524078668.7663066, 'matching_time': 1524078668.7676666, 'number_of_matches': 78, 'graph_edge_sort_time': 1524078668.7659883, 'first_graph_creation_time': 1524078668.6989915, 'node_count': 184, 'start_time': 1524078668.631578}
{'second_graph_creation_time': 1524078668.902212, 'greatest_constraints_time': 1524078668.9132428, 'matching_time': 1524078668.9143867, 'number_of_matches': 66, 'graph_edge_sort_time': 1524078668.9129107, 'first_graph_creation_time': 1524078668.839838, 'node_count': 196, 'start_time': 1524078668.7679853}
{'second_graph_creation_time': 1524078669.0410466, 'greatest_constraints_time': 1524078669.0520253, 'matching_time': 1524078669.0532835, 'number_of_matches': 79, 'graph_edge_sort_time': 1524078669.0516536, 'first_graph_creation_time': 1524078668.9830332, 'node_count': 183, 'start_time': 1524078668.9148262}
{'second_graph_creation_time': 1524078669.1913426, 'greatest_constraints_time': 1524078669.2027442, 'matching_time': 1524078669.2039125, 'number_of_matches': 75, 'graph_edge_sort_time': 1524078669.2024322, 'first_graph_creation_time': 1524078669.1267102, 'node_count': 198, 'start_time': 1524078669.053584}
{'second_graph_creation_time': 1524078669.3592644, 'greatest_constraints_time': 1524078669.375239, 'matching_time': 1524078669.3778837, 'number_of_matches': 129, 'graph_edge_sort_time': 1524078669.3746994, 'first_graph_creation_time': 1524078669.2881942, 'node_count': 220, 'start_time': 1524078669.2042484}
{'second_graph_creation_time': 1524078669.512882, 'greatest_constraints_time': 1524078669.5258164, 'matching_time': 1524078669.5275996, 'number_of_matches': 103, 'graph_edge_sort_time': 1524078669.5254698, 'first_graph_creation_time': 1524078669.4520988, 'node_count': 192, 'start_time': 1524078669.3782737}
{'second_graph_creation_time': 1524078669.6543143, 'greatest_constraints_time': 1524078669.6656713, 'matching_time': 1524078669.667371, 'number_of_matches': 95, 'graph_edge_sort_time': 1524078669.665346, 'first_graph_creation_time': 1524078669.5968745, 'node_count': 188, 'start_time': 1524078669.5278933}
{'second_graph_creation_time': 1524078669.791385, 'greatest_constraints_time': 1524078669.8042252, 'matching_time': 1524078669.8062027, 'number_of_matches': 112, 'graph_edge_sort_time': 1524078669.8038805, 'first_graph_creation_time': 1524078669.73578, 'node_count': 181, 'start_time': 1524078669.6677027}
{'second_graph_creation_time': 1524078669.939679, 'greatest_constraints_time': 1524078669.9522035, 'matching_time': 1524078669.9537385, 'number_of_matches': 91, 'graph_edge_sort_time': 1524078669.951876, 'first_graph_creation_time': 1524078669.8785954, 'node_count': 198, 'start_time': 1524078669.8065803}
{'second_graph_creation_time': 1524078670.0845006, 'greatest_constraints_time': 1524078670.097023, 'matching_time': 1524078670.0988955, 'number_of_matches': 107, 'graph_edge_sort_time': 1524078670.096657, 'first_graph_creation_time': 1524078670.0257866, 'node_count': 190, 'start_time': 1524078669.9541085}
{'second_graph_creation_time': 1524078670.2754948, 'greatest_constraints_time': 1524078670.2882798, 'matching_time': 1524078670.2897582, 'number_of_matches': 85, 'graph_edge_sort_time': 1524078670.287931, 'first_graph_creation_time': 1524078670.1813266, 'node_count': 213, 'start_time': 1524078670.099259}
{'second_graph_creation_time': 1524078670.434746, 'greatest_constraints_time': 1524078670.4503138, 'matching_time': 1524078670.45313, 'number_of_matches': 143, 'graph_edge_sort_time': 1524078670.449912, 'first_graph_creation_time': 1524078670.3701606, 'node_count': 208, 'start_time': 1524078670.2900934}
{'second_graph_creation_time': 1524078670.6055598, 'greatest_constraints_time': 1524078670.621503, 'matching_time': 1524078670.624115, 'number_of_matches': 141, 'graph_edge_sort_time': 1524078670.6210935, 'first_graph_creation_time': 1524078670.535882, 'node_count': 218, 'start_time': 1524078670.4534242}
{'second_graph_creation_time': 1524078670.7632797, 'greatest_constraints_time': 1524078670.777591, 'matching_time': 1524078670.7800126, 'number_of_matches': 127, 'graph_edge_sort_time': 1524078670.7772062, 'first_graph_creation_time': 1524078670.7012672, 'node_count': 199, 'start_time': 1524078670.6245198}
{'second_graph_creation_time': 1524078670.9239066, 'greatest_constraints_time': 1524078670.9391673, 'matching_time': 1524078670.9414794, 'number_of_matches': 130, 'graph_edge_sort_time': 1524078670.938767, 'first_graph_creation_time': 1524078670.8582833, 'node_count': 211, 'start_time': 1524078670.780484}
{'second_graph_creation_time': 1524078671.0963616, 'greatest_constraints_time': 1524078671.1105235, 'matching_time': 1524078671.112445, 'number_of_matches': 104, 'graph_edge_sort_time': 1524078671.1101472, 'first_graph_creation_time': 1524078671.0249088, 'node_count': 212, 'start_time': 1524078670.9418204}
{'second_graph_creation_time': 1524078671.2672915, 'greatest_constraints_time': 1524078671.281949, 'matching_time': 1524078671.284269, 'number_of_matches': 122, 'graph_edge_sort_time': 1524078671.2815409, 'first_graph_creation_time': 1524078671.193219, 'node_count': 211, 'start_time': 1524078671.1128047}
{'second_graph_creation_time': 1524078671.431735, 'greatest_constraints_time': 1524078671.4452865, 'matching_time': 1524078671.4472382, 'number_of_matches': 101, 'graph_edge_sort_time': 1524078671.444904, 'first_graph_creation_time': 1524078671.3642428, 'node_count': 209, 'start_time': 1524078671.284601}
{'second_graph_creation_time': 1524078671.583686, 'greatest_constraints_time': 1524078671.5958853, 'matching_time': 1524078671.5977666, 'number_of_matches': 93, 'graph_edge_sort_time': 1524078671.59542, 'first_graph_creation_time': 1524078671.5220363, 'node_count': 199, 'start_time': 1524078671.4475899}
{'second_graph_creation_time': 1524078671.7441928, 'greatest_constraints_time': 1524078671.7592642, 'matching_time': 1524078671.761728, 'number_of_matches': 132, 'graph_edge_sort_time': 1524078671.7588682, 'first_graph_creation_time': 1524078671.6782885, 'node_count': 206, 'start_time': 1524078671.5981853}
{'second_graph_creation_time': 1524078671.8858998, 'greatest_constraints_time': 1524078671.8972943, 'matching_time': 1524078671.89866, 'number_of_matches': 86, 'graph_edge_sort_time': 1524078671.8969758, 'first_graph_creation_time': 1524078671.8298833, 'node_count': 187, 'start_time': 1524078671.7621572}
{'second_graph_creation_time': 1524078672.026695, 'greatest_constraints_time': 1524078672.0402057, 'matching_time': 1524078672.0423577, 'number_of_matches': 122, 'graph_edge_sort_time': 1524078672.0398438, 'first_graph_creation_time': 1524078671.9690502, 'node_count': 191, 'start_time': 1524078671.8990016}
{'second_graph_creation_time': 1524078672.166671, 'greatest_constraints_time': 1524078672.1792564, 'matching_time': 1524078672.1816049, 'number_of_matches': 113, 'graph_edge_sort_time': 1524078672.1789353, 'first_graph_creation_time': 1524078672.109848, 'node_count': 181, 'start_time': 1524078672.0427291}
{'second_graph_creation_time': 1524078672.3275895, 'greatest_constraints_time': 1524078672.3418775, 'matching_time': 1524078672.3440123, 'number_of_matches': 117, 'graph_edge_sort_time': 1524078672.3414822, 'first_graph_creation_time': 1524078672.261155, 'node_count': 208, 'start_time': 1524078672.1819856}
{'second_graph_creation_time': 1524078672.4702795, 'greatest_constraints_time': 1524078672.4814696, 'matching_time': 1524078672.4828331, 'number_of_matches': 80, 'graph_edge_sort_time': 1524078672.4810317, 'first_graph_creation_time': 1524078672.4123847, 'node_count': 189, 'start_time': 1524078672.3443332}
{'second_graph_creation_time': 1524078672.6328619, 'greatest_constraints_time': 1524078672.6471417, 'matching_time': 1524078672.649158, 'number_of_matches': 116, 'graph_edge_sort_time': 1524078672.646778, 'first_graph_creation_time': 1524078672.5634217, 'node_count': 212, 'start_time': 1524078672.4831488}
{'second_graph_creation_time': 1524078672.7832618, 'greatest_constraints_time': 1524078672.79437, 'matching_time': 1524078672.7956543, 'number_of_matches': 71, 'graph_edge_sort_time': 1524078672.7940693, 'first_graph_creation_time': 1524078672.7216003, 'node_count': 197, 'start_time': 1524078672.6494522}
{'second_graph_creation_time': 1524078672.9275632, 'greatest_constraints_time': 1524078672.9408867, 'matching_time': 1524078672.942883, 'number_of_matches': 116, 'graph_edge_sort_time': 1524078672.9405286, 'first_graph_creation_time': 1524078672.867765, 'node_count': 192, 'start_time': 1524078672.7959535}
{'second_graph_creation_time': 1524078673.0870457, 'greatest_constraints_time': 1524078673.1036325, 'matching_time': 1524078673.1065254, 'number_of_matches': 142, 'graph_edge_sort_time': 1524078673.103188, 'first_graph_creation_time': 1524078673.0204625, 'node_count': 206, 'start_time': 1524078672.9432411}
{'second_graph_creation_time': 1524078673.2618258, 'greatest_constraints_time': 1524078673.2779088, 'matching_time': 1524078673.280717, 'number_of_matches': 144, 'graph_edge_sort_time': 1524078673.277486, 'first_graph_creation_time': 1524078673.1914883, 'node_count': 217, 'start_time': 1524078673.1068656}
