{'greatest_constraints_time': 1524075990.439999, 'node_count': 104, 'graph_edge_sort_time': 1524075990.439636, 'second_graph_creation_time': 1524075990.4361148, 'number_of_matches': 104, 'first_graph_creation_time': 1524075990.430656, 'matching_time': 1524075990.441626, 'start_time': 1524075990.4212496}
{'greatest_constraints_time': 1524075990.4599953, 'node_count': 94, 'graph_edge_sort_time': 1524075990.4596765, 'second_graph_creation_time': 1524075990.456311, 'number_of_matches': 94, 'first_graph_creation_time': 1524075990.4511065, 'matching_time': 1524075990.461695, 'start_time': 1524075990.44201}
{'greatest_constraints_time': 1524075990.4803402, 'node_count': 102, 'graph_edge_sort_time': 1524075990.480124, 'second_graph_creation_time': 1524075990.477067, 'number_of_matches': 102, 'first_graph_creation_time': 1524075990.4716158, 'matching_time': 1524075990.4821026, 'start_time': 1524075990.4621131}
{'greatest_constraints_time': 1524075990.500486, 'node_count': 104, 'graph_edge_sort_time': 1524075990.4999645, 'second_graph_creation_time': 1524075990.4964445, 'number_of_matches': 104, 'first_graph_creation_time': 1524075990.491126, 'matching_time': 1524075990.5023112, 'start_time': 1524075990.4824228}
{'greatest_constraints_time': 1524075990.522149, 'node_count': 94, 'graph_edge_sort_time': 1524075990.5218022, 'second_graph_creation_time': 1524075990.5184126, 'number_of_matches': 94, 'first_graph_creation_time': 1524075990.5126483, 'matching_time': 1524075990.523769, 'start_time': 1524075990.5028486}
{'greatest_constraints_time': 1524075990.5417874, 'node_count': 91, 'graph_edge_sort_time': 1524075990.5414488, 'second_graph_creation_time': 1524075990.5382516, 'number_of_matches': 91, 'first_graph_creation_time': 1524075990.5334427, 'matching_time': 1524075990.543277, 'start_time': 1524075990.5242178}
{'greatest_constraints_time': 1524075990.5564747, 'node_count': 99, 'graph_edge_sort_time': 1524075990.556284, 'second_graph_creation_time': 1524075990.5540853, 'number_of_matches': 99, 'first_graph_creation_time': 1524075990.5513146, 'matching_time': 1524075990.5573661, 'start_time': 1524075990.5437071}
{'greatest_constraints_time': 1524075990.5694277, 'node_count': 101, 'graph_edge_sort_time': 1524075990.5692222, 'second_graph_creation_time': 1524075990.5671225, 'number_of_matches': 101, 'first_graph_creation_time': 1524075990.563548, 'matching_time': 1524075990.5703912, 'start_time': 1524075990.5576692}
{'greatest_constraints_time': 1524075990.5831242, 'node_count': 108, 'graph_edge_sort_time': 1524075990.582818, 'second_graph_creation_time': 1524075990.58002, 'number_of_matches': 108, 'first_graph_creation_time': 1524075990.5768306, 'matching_time': 1524075990.5846128, 'start_time': 1524075990.5707312}
{'greatest_constraints_time': 1524075990.6013143, 'node_count': 93, 'graph_edge_sort_time': 1524075990.6010144, 'second_graph_creation_time': 1524075990.5977137, 'number_of_matches': 93, 'first_graph_creation_time': 1524075990.593352, 'matching_time': 1524075990.6027796, 'start_time': 1524075990.5850492}
