{'first_graph_creation_time': 1524078638.0569928, 'greatest_constraints_time': 1524078638.1438384, 'matching_time': 1524078638.1497118, 'second_graph_creation_time': 1524078638.1252947, 'node_count': 220, 'start_time': 1524078637.974433, 'number_of_matches': 171, 'graph_edge_sort_time': 1524078638.1433768}
{'first_graph_creation_time': 1524078638.2265015, 'greatest_constraints_time': 1524078638.3000727, 'matching_time': 1524078638.3072562, 'second_graph_creation_time': 1524078638.2806823, 'node_count': 199, 'start_time': 1524078638.1500533, 'number_of_matches': 187, 'graph_edge_sort_time': 1524078638.2995043}
{'first_graph_creation_time': 1524078638.3861861, 'greatest_constraints_time': 1524078638.4645689, 'matching_time': 1524078638.4737272, 'second_graph_creation_time': 1524078638.4423354, 'node_count': 212, 'start_time': 1524078638.3076274, 'number_of_matches': 212, 'graph_edge_sort_time': 1524078638.4639993}
{'first_graph_creation_time': 1524078638.5459447, 'greatest_constraints_time': 1524078638.6163347, 'matching_time': 1524078638.6212106, 'second_graph_creation_time': 1524078638.6014674, 'node_count': 193, 'start_time': 1524078638.4741194, 'number_of_matches': 144, 'graph_edge_sort_time': 1524078638.6159208}
{'first_graph_creation_time': 1524078638.6895242, 'greatest_constraints_time': 1524078638.7544167, 'matching_time': 1524078638.761849, 'second_graph_creation_time': 1524078638.7359583, 'node_count': 188, 'start_time': 1524078638.6215794, 'number_of_matches': 188, 'graph_edge_sort_time': 1524078638.7539656}
{'first_graph_creation_time': 1524078638.8463416, 'greatest_constraints_time': 1524078638.9305458, 'matching_time': 1524078638.935492, 'second_graph_creation_time': 1524078638.9137044, 'node_count': 217, 'start_time': 1524078638.7621913, 'number_of_matches': 154, 'graph_edge_sort_time': 1524078638.9301038}
{'first_graph_creation_time': 1524078639.0107102, 'greatest_constraints_time': 1524078639.0872881, 'matching_time': 1524078639.092666, 'second_graph_creation_time': 1524078639.0704648, 'node_count': 203, 'start_time': 1524078638.9358392, 'number_of_matches': 153, 'graph_edge_sort_time': 1524078639.0868196}
{'first_graph_creation_time': 1524078639.1651204, 'greatest_constraints_time': 1524078639.237029, 'matching_time': 1524078639.2419841, 'second_graph_creation_time': 1524078639.2213655, 'node_count': 194, 'start_time': 1524078639.0933166, 'number_of_matches': 147, 'graph_edge_sort_time': 1524078639.236597}
{'first_graph_creation_time': 1524078639.308624, 'greatest_constraints_time': 1524078639.3743312, 'matching_time': 1524078639.3792021, 'second_graph_creation_time': 1524078639.3600032, 'node_count': 184, 'start_time': 1524078639.2423139, 'number_of_matches': 134, 'graph_edge_sort_time': 1524078639.3739133}
{'first_graph_creation_time': 1524078639.455364, 'greatest_constraints_time': 1524078639.5330176, 'matching_time': 1524078639.5383239, 'second_graph_creation_time': 1524078639.5165884, 'node_count': 212, 'start_time': 1524078639.379585, 'number_of_matches': 163, 'graph_edge_sort_time': 1524078639.5325618}
{'first_graph_creation_time': 1524078639.6107469, 'greatest_constraints_time': 1524078639.6833801, 'matching_time': 1524078639.6877558, 'second_graph_creation_time': 1524078639.6683917, 'node_count': 196, 'start_time': 1524078639.5386577, 'number_of_matches': 136, 'graph_edge_sort_time': 1524078639.6829755}
{'first_graph_creation_time': 1524078639.7714663, 'greatest_constraints_time': 1524078639.8530319, 'matching_time': 1524078639.8593454, 'second_graph_creation_time': 1524078639.834455, 'node_count': 216, 'start_time': 1524078639.6881292, 'number_of_matches': 184, 'graph_edge_sort_time': 1524078639.8525112}
{'first_graph_creation_time': 1524078639.9317973, 'greatest_constraints_time': 1524078640.0011873, 'matching_time': 1524078640.0083034, 'second_graph_creation_time': 1524078639.98234, 'node_count': 195, 'start_time': 1524078639.859697, 'number_of_matches': 188, 'graph_edge_sort_time': 1524078640.000737}
{'first_graph_creation_time': 1524078640.0761523, 'greatest_constraints_time': 1524078640.1420672, 'matching_time': 1524078640.1470242, 'second_graph_creation_time': 1524078640.126965, 'node_count': 186, 'start_time': 1524078640.008613, 'number_of_matches': 149, 'graph_edge_sort_time': 1524078640.141672}
{'first_graph_creation_time': 1524078640.2260098, 'greatest_constraints_time': 1524078640.3083575, 'matching_time': 1524078640.3139188, 'second_graph_creation_time': 1524078640.2898138, 'node_count': 215, 'start_time': 1524078640.147384, 'number_of_matches': 165, 'graph_edge_sort_time': 1524078640.3078423}
{'first_graph_creation_time': 1524078640.3923478, 'greatest_constraints_time': 1524078640.4686859, 'matching_time': 1524078640.4752605, 'second_graph_creation_time': 1524078640.450049, 'node_count': 203, 'start_time': 1524078640.3142986, 'number_of_matches': 177, 'graph_edge_sort_time': 1524078640.4682498}
{'first_graph_creation_time': 1524078640.5549483, 'greatest_constraints_time': 1524078640.6374366, 'matching_time': 1524078640.6467206, 'second_graph_creation_time': 1524078640.6190746, 'node_count': 218, 'start_time': 1524078640.4756632, 'number_of_matches': 179, 'graph_edge_sort_time': 1524078640.636931}
{'first_graph_creation_time': 1524078640.7146895, 'greatest_constraints_time': 1524078640.8100314, 'matching_time': 1524078640.8144193, 'second_graph_creation_time': 1524078640.7952516, 'node_count': 186, 'start_time': 1524078640.6471076, 'number_of_matches': 137, 'graph_edge_sort_time': 1524078640.809663}
{'first_graph_creation_time': 1524078640.8926504, 'greatest_constraints_time': 1524078640.9719992, 'matching_time': 1524078640.9774103, 'second_graph_creation_time': 1524078640.9552088, 'node_count': 206, 'start_time': 1524078640.8147964, 'number_of_matches': 157, 'graph_edge_sort_time': 1524078640.9715288}
{'first_graph_creation_time': 1524078641.0623841, 'greatest_constraints_time': 1524078641.1480691, 'matching_time': 1524078641.1539724, 'second_graph_creation_time': 1524078641.1296334, 'node_count': 220, 'start_time': 1524078640.9777508, 'number_of_matches': 171, 'graph_edge_sort_time': 1524078641.147572}
{'first_graph_creation_time': 1524078641.2360058, 'greatest_constraints_time': 1524078641.3188927, 'matching_time': 1524078641.3234599, 'second_graph_creation_time': 1524078641.3027253, 'node_count': 216, 'start_time': 1524078641.1544037, 'number_of_matches': 144, 'graph_edge_sort_time': 1524078641.3183777}
{'first_graph_creation_time': 1524078641.4023757, 'greatest_constraints_time': 1524078641.4777324, 'matching_time': 1524078641.4855552, 'second_graph_creation_time': 1524078641.4569716, 'node_count': 212, 'start_time': 1524078641.3239005, 'number_of_matches': 204, 'graph_edge_sort_time': 1524078641.4772148}
{'first_graph_creation_time': 1524078641.5507433, 'greatest_constraints_time': 1524078641.615234, 'matching_time': 1524078641.6197743, 'second_graph_creation_time': 1524078641.6010995, 'node_count': 180, 'start_time': 1524078641.485906, 'number_of_matches': 138, 'graph_edge_sort_time': 1524078641.6148546}
{'first_graph_creation_time': 1524078641.6985102, 'greatest_constraints_time': 1524078641.776005, 'matching_time': 1524078641.782732, 'second_graph_creation_time': 1524078641.7571735, 'node_count': 205, 'start_time': 1524078641.6201541, 'number_of_matches': 184, 'graph_edge_sort_time': 1524078641.7754698}
{'first_graph_creation_time': 1524078641.852712, 'greatest_constraints_time': 1524078641.9225683, 'matching_time': 1524078641.9267967, 'second_graph_creation_time': 1524078641.9083595, 'node_count': 188, 'start_time': 1524078641.7830913, 'number_of_matches': 134, 'graph_edge_sort_time': 1524078641.922182}
{'first_graph_creation_time': 1524078641.9936156, 'greatest_constraints_time': 1524078642.0600538, 'matching_time': 1524078642.0640507, 'second_graph_creation_time': 1524078642.0460272, 'node_count': 182, 'start_time': 1524078641.9271154, 'number_of_matches': 135, 'graph_edge_sort_time': 1524078642.0596573}
{'first_graph_creation_time': 1524078642.1331227, 'greatest_constraints_time': 1524078642.199992, 'matching_time': 1524078642.2068465, 'second_graph_creation_time': 1524078642.1822898, 'node_count': 190, 'start_time': 1524078642.0644162, 'number_of_matches': 180, 'graph_edge_sort_time': 1524078642.1995308}
{'first_graph_creation_time': 1524078642.2824893, 'greatest_constraints_time': 1524078642.3579397, 'matching_time': 1524078642.363308, 'second_graph_creation_time': 1524078642.3418012, 'node_count': 204, 'start_time': 1524078642.2071898, 'number_of_matches': 154, 'graph_edge_sort_time': 1524078642.3574302}
{'first_graph_creation_time': 1524078642.4357882, 'greatest_constraints_time': 1524078642.510452, 'matching_time': 1524078642.5146463, 'second_graph_creation_time': 1524078642.4953985, 'node_count': 199, 'start_time': 1524078642.3636665, 'number_of_matches': 132, 'graph_edge_sort_time': 1524078642.5100498}
{'first_graph_creation_time': 1524078642.5834596, 'greatest_constraints_time': 1524078642.6468742, 'matching_time': 1524078642.6536148, 'second_graph_creation_time': 1524078642.6296852, 'node_count': 182, 'start_time': 1524078642.5150325, 'number_of_matches': 172, 'graph_edge_sort_time': 1524078642.646426}
{'first_graph_creation_time': 1524078642.7342966, 'greatest_constraints_time': 1524078642.8166938, 'matching_time': 1524078642.8247511, 'second_graph_creation_time': 1524078642.7948313, 'node_count': 219, 'start_time': 1524078642.6539943, 'number_of_matches': 209, 'graph_edge_sort_time': 1524078642.816089}
{'first_graph_creation_time': 1524078642.9084697, 'greatest_constraints_time': 1524078642.990967, 'matching_time': 1524078642.9976254, 'second_graph_creation_time': 1524078642.9718919, 'node_count': 213, 'start_time': 1524078642.8251097, 'number_of_matches': 177, 'graph_edge_sort_time': 1524078642.9904788}
{'first_graph_creation_time': 1524078643.071313, 'greatest_constraints_time': 1524078643.1462152, 'matching_time': 1524078643.152421, 'second_graph_creation_time': 1524078643.1283956, 'node_count': 208, 'start_time': 1524078642.9979827, 'number_of_matches': 178, 'graph_edge_sort_time': 1524078643.1457376}
{'first_graph_creation_time': 1524078643.2320244, 'greatest_constraints_time': 1524078643.3106294, 'matching_time': 1524078643.3180933, 'second_graph_creation_time': 1524078643.2905939, 'node_count': 211, 'start_time': 1524078643.1527903, 'number_of_matches': 197, 'graph_edge_sort_time': 1524078643.3101435}
{'first_graph_creation_time': 1524078643.3963754, 'greatest_constraints_time': 1524078643.4815047, 'matching_time': 1524078643.485621, 'second_graph_creation_time': 1524078643.4660373, 'node_count': 211, 'start_time': 1524078643.318433, 'number_of_matches': 135, 'graph_edge_sort_time': 1524078643.4811063}
{'first_graph_creation_time': 1524078643.5505195, 'greatest_constraints_time': 1524078643.6131485, 'matching_time': 1524078643.617755, 'second_graph_creation_time': 1524078643.5989556, 'node_count': 180, 'start_time': 1524078643.4859462, 'number_of_matches': 140, 'graph_edge_sort_time': 1524078643.612783}
{'first_graph_creation_time': 1524078643.685771, 'greatest_constraints_time': 1524078643.7526662, 'matching_time': 1524078643.7575388, 'second_graph_creation_time': 1524078643.7377024, 'node_count': 187, 'start_time': 1524078643.6180925, 'number_of_matches': 146, 'graph_edge_sort_time': 1524078643.7522657}
{'first_graph_creation_time': 1524078643.8402822, 'greatest_constraints_time': 1524078643.9221964, 'matching_time': 1524078643.9290571, 'second_graph_creation_time': 1524078643.902305, 'node_count': 219, 'start_time': 1524078643.7578685, 'number_of_matches': 195, 'graph_edge_sort_time': 1524078643.9216669}
{'first_graph_creation_time': 1524078643.9954822, 'greatest_constraints_time': 1524078644.0589209, 'matching_time': 1524078644.06594, 'second_graph_creation_time': 1524078644.0408118, 'node_count': 183, 'start_time': 1524078643.929409, 'number_of_matches': 182, 'graph_edge_sort_time': 1524078644.05852}
{'first_graph_creation_time': 1524078644.135415, 'greatest_constraints_time': 1524078644.2040036, 'matching_time': 1524078644.20807, 'second_graph_creation_time': 1524078644.1902611, 'node_count': 187, 'start_time': 1524078644.066267, 'number_of_matches': 131, 'graph_edge_sort_time': 1524078644.203632}
{'first_graph_creation_time': 1524078644.283355, 'greatest_constraints_time': 1524078644.3586323, 'matching_time': 1524078644.3660593, 'second_graph_creation_time': 1524078644.338878, 'node_count': 203, 'start_time': 1524078644.2102938, 'number_of_matches': 201, 'graph_edge_sort_time': 1524078644.3581257}
{'first_graph_creation_time': 1524078644.4482336, 'greatest_constraints_time': 1524078644.52889, 'matching_time': 1524078644.5372412, 'second_graph_creation_time': 1524078644.5082612, 'node_count': 215, 'start_time': 1524078644.3664222, 'number_of_matches': 203, 'graph_edge_sort_time': 1524078644.5283632}
{'first_graph_creation_time': 1524078644.6144116, 'greatest_constraints_time': 1524078644.6903913, 'matching_time': 1524078644.6979852, 'second_graph_creation_time': 1524078644.6703336, 'node_count': 207, 'start_time': 1524078644.5375426, 'number_of_matches': 197, 'graph_edge_sort_time': 1524078644.6898575}
{'first_graph_creation_time': 1524078644.7792284, 'greatest_constraints_time': 1524078644.8610272, 'matching_time': 1524078644.8676698, 'second_graph_creation_time': 1524078644.8417976, 'node_count': 216, 'start_time': 1524078644.698279, 'number_of_matches': 185, 'graph_edge_sort_time': 1524078644.8605545}
{'first_graph_creation_time': 1524078644.947268, 'greatest_constraints_time': 1524078645.0284896, 'matching_time': 1524078645.0335999, 'second_graph_creation_time': 1524078645.0117595, 'node_count': 220, 'start_time': 1524078644.8680227, 'number_of_matches': 162, 'graph_edge_sort_time': 1524078645.0280328}
{'first_graph_creation_time': 1524078645.1085374, 'greatest_constraints_time': 1524078645.1833587, 'matching_time': 1524078645.1886044, 'second_graph_creation_time': 1524078645.1675744, 'node_count': 196, 'start_time': 1524078645.0341032, 'number_of_matches': 153, 'graph_edge_sort_time': 1524078645.1829317}
{'first_graph_creation_time': 1524078645.267559, 'greatest_constraints_time': 1524078645.3469117, 'matching_time': 1524078645.3546336, 'second_graph_creation_time': 1524078645.3264425, 'node_count': 213, 'start_time': 1524078645.1889706, 'number_of_matches': 199, 'graph_edge_sort_time': 1524078645.346391}
{'first_graph_creation_time': 1524078645.4344578, 'greatest_constraints_time': 1524078645.5139902, 'matching_time': 1524078645.5214298, 'second_graph_creation_time': 1524078645.4937587, 'node_count': 208, 'start_time': 1524078645.3549423, 'number_of_matches': 193, 'graph_edge_sort_time': 1524078645.513503}
{'first_graph_creation_time': 1524078645.6034544, 'greatest_constraints_time': 1524078645.6848886, 'matching_time': 1524078645.692957, 'second_graph_creation_time': 1524078645.6630297, 'node_count': 219, 'start_time': 1524078645.5217483, 'number_of_matches': 210, 'graph_edge_sort_time': 1524078645.6843612}
{'first_graph_creation_time': 1524078645.7742841, 'greatest_constraints_time': 1524078645.8559732, 'matching_time': 1524078645.8620374, 'second_graph_creation_time': 1524078645.837382, 'node_count': 215, 'start_time': 1524078645.693294, 'number_of_matches': 174, 'graph_edge_sort_time': 1524078645.8554988}
{'first_graph_creation_time': 1524078645.9368536, 'greatest_constraints_time': 1524078646.012098, 'matching_time': 1524078646.0165153, 'second_graph_creation_time': 1524078645.9967742, 'node_count': 203, 'start_time': 1524078645.862399, 'number_of_matches': 140, 'graph_edge_sort_time': 1524078646.0116575}
{'first_graph_creation_time': 1524078646.0967572, 'greatest_constraints_time': 1524078646.1752284, 'matching_time': 1524078646.1804638, 'second_graph_creation_time': 1524078646.1585927, 'node_count': 206, 'start_time': 1524078646.0169144, 'number_of_matches': 156, 'graph_edge_sort_time': 1524078646.1747673}
{'first_graph_creation_time': 1524078646.2595983, 'greatest_constraints_time': 1524078646.3395834, 'matching_time': 1524078646.3463666, 'second_graph_creation_time': 1524078646.3202415, 'node_count': 212, 'start_time': 1524078646.1808107, 'number_of_matches': 185, 'graph_edge_sort_time': 1524078646.3390799}
{'first_graph_creation_time': 1524078646.427061, 'greatest_constraints_time': 1524078646.509424, 'matching_time': 1524078646.5141923, 'second_graph_creation_time': 1524078646.492674, 'node_count': 212, 'start_time': 1524078646.346674, 'number_of_matches': 154, 'graph_edge_sort_time': 1524078646.5090024}
{'first_graph_creation_time': 1524078646.5920494, 'greatest_constraints_time': 1524078646.6682262, 'matching_time': 1524078646.6762211, 'second_graph_creation_time': 1524078646.6469638, 'node_count': 209, 'start_time': 1524078646.5145297, 'number_of_matches': 205, 'graph_edge_sort_time': 1524078646.6676004}
{'first_graph_creation_time': 1524078646.742972, 'greatest_constraints_time': 1524078646.8071415, 'matching_time': 1524078646.8132591, 'second_graph_creation_time': 1524078646.790846, 'node_count': 180, 'start_time': 1524078646.6765542, 'number_of_matches': 163, 'graph_edge_sort_time': 1524078646.806725}
{'first_graph_creation_time': 1524078646.8902364, 'greatest_constraints_time': 1524078646.9679694, 'matching_time': 1524078646.9753017, 'second_graph_creation_time': 1524078646.9482446, 'node_count': 205, 'start_time': 1524078646.8136907, 'number_of_matches': 195, 'graph_edge_sort_time': 1524078646.9674728}
{'first_graph_creation_time': 1524078647.0499873, 'greatest_constraints_time': 1524078647.1222763, 'matching_time': 1524078647.1291568, 'second_graph_creation_time': 1524078647.103332, 'node_count': 196, 'start_time': 1524078646.9756472, 'number_of_matches': 185, 'graph_edge_sort_time': 1524078647.121803}
{'first_graph_creation_time': 1524078647.202653, 'greatest_constraints_time': 1524078647.276868, 'matching_time': 1524078647.2831514, 'second_graph_creation_time': 1524078647.2584805, 'node_count': 200, 'start_time': 1524078647.1294944, 'number_of_matches': 175, 'graph_edge_sort_time': 1524078647.2763686}
{'first_graph_creation_time': 1524078647.3631666, 'greatest_constraints_time': 1524078647.4405127, 'matching_time': 1524078647.447206, 'second_graph_creation_time': 1524078647.4215517, 'node_count': 210, 'start_time': 1524078647.2835011, 'number_of_matches': 186, 'graph_edge_sort_time': 1524078647.4400432}
{'first_graph_creation_time': 1524078647.525024, 'greatest_constraints_time': 1524078647.6024156, 'matching_time': 1524078647.60933, 'second_graph_creation_time': 1524078647.5828764, 'node_count': 213, 'start_time': 1524078647.4475384, 'number_of_matches': 187, 'graph_edge_sort_time': 1524078647.6018956}
{'first_graph_creation_time': 1524078647.6786, 'greatest_constraints_time': 1524078647.7443032, 'matching_time': 1524078647.7496908, 'second_graph_creation_time': 1524078647.728514, 'node_count': 184, 'start_time': 1524078647.60967, 'number_of_matches': 158, 'graph_edge_sort_time': 1524078647.7438512}
{'first_graph_creation_time': 1524078647.8303216, 'greatest_constraints_time': 1524078647.909499, 'matching_time': 1524078647.914308, 'second_graph_creation_time': 1524078647.8931515, 'node_count': 201, 'start_time': 1524078647.750017, 'number_of_matches': 146, 'graph_edge_sort_time': 1524078647.909055}
{'first_graph_creation_time': 1524078647.9813533, 'greatest_constraints_time': 1524078648.0458243, 'matching_time': 1524078648.0513356, 'second_graph_creation_time': 1524078648.0304666, 'node_count': 182, 'start_time': 1524078647.9146454, 'number_of_matches': 153, 'graph_edge_sort_time': 1524078648.0454292}
{'first_graph_creation_time': 1524078648.1254196, 'greatest_constraints_time': 1524078648.1990516, 'matching_time': 1524078648.206474, 'second_graph_creation_time': 1524078648.1790679, 'node_count': 203, 'start_time': 1524078648.0517077, 'number_of_matches': 193, 'graph_edge_sort_time': 1524078648.19839}
{'first_graph_creation_time': 1524078648.2773826, 'greatest_constraints_time': 1524078648.344798, 'matching_time': 1524078648.3506205, 'second_graph_creation_time': 1524078648.3283403, 'node_count': 187, 'start_time': 1524078648.2068434, 'number_of_matches': 164, 'graph_edge_sort_time': 1524078648.3443625}
{'first_graph_creation_time': 1524078648.4222543, 'greatest_constraints_time': 1524078648.4945638, 'matching_time': 1524078648.5004787, 'second_graph_creation_time': 1524078648.4772773, 'node_count': 196, 'start_time': 1524078648.3509343, 'number_of_matches': 164, 'graph_edge_sort_time': 1524078648.4941132}
{'first_graph_creation_time': 1524078648.5705385, 'greatest_constraints_time': 1524078648.6393921, 'matching_time': 1524078648.644195, 'second_graph_creation_time': 1524078648.624379, 'node_count': 184, 'start_time': 1524078648.5008447, 'number_of_matches': 145, 'graph_edge_sort_time': 1524078648.6389866}
{'first_graph_creation_time': 1524078648.7245257, 'greatest_constraints_time': 1524078648.8034778, 'matching_time': 1524078648.8088608, 'second_graph_creation_time': 1524078648.786548, 'node_count': 209, 'start_time': 1524078648.6445112, 'number_of_matches': 161, 'graph_edge_sort_time': 1524078648.8030133}
{'first_graph_creation_time': 1524078648.878523, 'greatest_constraints_time': 1524078648.9435256, 'matching_time': 1524078648.9503183, 'second_graph_creation_time': 1524078648.925696, 'node_count': 185, 'start_time': 1524078648.809175, 'number_of_matches': 180, 'graph_edge_sort_time': 1524078648.9430902}
{'first_graph_creation_time': 1524078649.0210505, 'greatest_constraints_time': 1524078649.0903828, 'matching_time': 1524078649.0957396, 'second_graph_creation_time': 1524078649.0744944, 'node_count': 191, 'start_time': 1524078648.950726, 'number_of_matches': 156, 'graph_edge_sort_time': 1524078649.0899699}
{'first_graph_creation_time': 1524078649.1790714, 'greatest_constraints_time': 1524078649.2584243, 'matching_time': 1524078649.2667964, 'second_graph_creation_time': 1524078649.236427, 'node_count': 213, 'start_time': 1524078649.096144, 'number_of_matches': 210, 'graph_edge_sort_time': 1524078649.257914}
{'first_graph_creation_time': 1524078649.347991, 'greatest_constraints_time': 1524078649.429029, 'matching_time': 1524078649.4350767, 'second_graph_creation_time': 1524078649.4107826, 'node_count': 216, 'start_time': 1524078649.268879, 'number_of_matches': 174, 'graph_edge_sort_time': 1524078649.4285238}
{'first_graph_creation_time': 1524078649.5117538, 'greatest_constraints_time': 1524078649.590929, 'matching_time': 1524078649.5973327, 'second_graph_creation_time': 1524078649.5732589, 'node_count': 202, 'start_time': 1524078649.435369, 'number_of_matches': 169, 'graph_edge_sort_time': 1524078649.590478}
{'first_graph_creation_time': 1524078649.671365, 'greatest_constraints_time': 1524078649.7435215, 'matching_time': 1524078649.7510278, 'second_graph_creation_time': 1524078649.7238472, 'node_count': 200, 'start_time': 1524078649.5976894, 'number_of_matches': 195, 'graph_edge_sort_time': 1524078649.7429922}
{'first_graph_creation_time': 1524078649.827265, 'greatest_constraints_time': 1524078649.9016936, 'matching_time': 1524078649.9073396, 'second_graph_creation_time': 1524078649.8852067, 'node_count': 202, 'start_time': 1524078649.751402, 'number_of_matches': 160, 'graph_edge_sort_time': 1524078649.901245}
