{'first_graph_creation_time': 1524078394.043849, 'second_graph_creation_time': 1524078394.0594828, 'number_of_matches': 215, 'greatest_constraints_time': 1524078394.0679834, 'matching_time': 1524078394.069927, 'start_time': 1524078394.018979, 'graph_edge_sort_time': 1524078394.0675406, 'node_count': 215}
{'first_graph_creation_time': 1524078394.0959048, 'second_graph_creation_time': 1524078394.1124094, 'number_of_matches': 220, 'greatest_constraints_time': 1524078394.121033, 'matching_time': 1524078394.1231682, 'start_time': 1524078394.070177, 'graph_edge_sort_time': 1524078394.1205626, 'node_count': 220}
{'first_graph_creation_time': 1524078394.1463175, 'second_graph_creation_time': 1524078394.1623542, 'number_of_matches': 199, 'greatest_constraints_time': 1524078394.1706555, 'matching_time': 1524078394.1727016, 'start_time': 1524078394.1234424, 'graph_edge_sort_time': 1524078394.1702166, 'node_count': 199}
{'first_graph_creation_time': 1524078394.1970289, 'second_graph_creation_time': 1524078394.2124918, 'number_of_matches': 209, 'greatest_constraints_time': 1524078394.221518, 'matching_time': 1524078394.223551, 'start_time': 1524078394.1731808, 'graph_edge_sort_time': 1524078394.220926, 'node_count': 209}
{'first_graph_creation_time': 1524078394.2485387, 'second_graph_creation_time': 1524078394.2639167, 'number_of_matches': 212, 'greatest_constraints_time': 1524078394.2725205, 'matching_time': 1524078394.2744014, 'start_time': 1524078394.223866, 'graph_edge_sort_time': 1524078394.2720988, 'node_count': 212}
{'first_graph_creation_time': 1524078394.2970154, 'second_graph_creation_time': 1524078394.3109934, 'number_of_matches': 192, 'greatest_constraints_time': 1524078394.318367, 'matching_time': 1524078394.3206089, 'start_time': 1524078394.2746599, 'graph_edge_sort_time': 1524078394.3178968, 'node_count': 191}
{'first_graph_creation_time': 1524078394.3417096, 'second_graph_creation_time': 1524078394.3542957, 'number_of_matches': 181, 'greatest_constraints_time': 1524078394.361422, 'matching_time': 1524078394.363191, 'start_time': 1524078394.320896, 'graph_edge_sort_time': 1524078394.360965, 'node_count': 181}
{'first_graph_creation_time': 1524078394.3875883, 'second_graph_creation_time': 1524078394.4025996, 'number_of_matches': 220, 'greatest_constraints_time': 1524078394.410833, 'matching_time': 1524078394.4130182, 'start_time': 1524078394.3634338, 'graph_edge_sort_time': 1524078394.4103482, 'node_count': 220}
{'first_graph_creation_time': 1524078394.4392354, 'second_graph_creation_time': 1524078394.4534664, 'number_of_matches': 199, 'greatest_constraints_time': 1524078394.4610224, 'matching_time': 1524078394.4627895, 'start_time': 1524078394.4133751, 'graph_edge_sort_time': 1524078394.4605649, 'node_count': 199}
{'first_graph_creation_time': 1524078394.4886124, 'second_graph_creation_time': 1524078394.5038145, 'number_of_matches': 217, 'greatest_constraints_time': 1524078394.5118246, 'matching_time': 1524078394.5138874, 'start_time': 1524078394.463133, 'graph_edge_sort_time': 1524078394.511397, 'node_count': 217}
{'first_graph_creation_time': 1524078394.5370793, 'second_graph_creation_time': 1524078394.5505204, 'number_of_matches': 208, 'greatest_constraints_time': 1524078394.5583503, 'matching_time': 1524078394.5600832, 'start_time': 1524078394.5141642, 'graph_edge_sort_time': 1524078394.5579193, 'node_count': 208}
{'first_graph_creation_time': 1524078394.5816712, 'second_graph_creation_time': 1524078394.5945554, 'number_of_matches': 188, 'greatest_constraints_time': 1524078394.60178, 'matching_time': 1524078394.6036818, 'start_time': 1524078394.5603623, 'graph_edge_sort_time': 1524078394.6013768, 'node_count': 187}
{'first_graph_creation_time': 1524078394.6283088, 'second_graph_creation_time': 1524078394.643514, 'number_of_matches': 217, 'greatest_constraints_time': 1524078394.6516402, 'matching_time': 1524078394.654225, 'start_time': 1524078394.6039796, 'graph_edge_sort_time': 1524078394.6511738, 'node_count': 217}
{'first_graph_creation_time': 1524078394.6818945, 'second_graph_creation_time': 1524078394.719857, 'number_of_matches': 207, 'greatest_constraints_time': 1524078394.7283044, 'matching_time': 1524078394.7301593, 'start_time': 1524078394.654695, 'graph_edge_sort_time': 1524078394.7277696, 'node_count': 207}
{'first_graph_creation_time': 1524078394.7531247, 'second_graph_creation_time': 1524078394.7665439, 'number_of_matches': 209, 'greatest_constraints_time': 1524078394.774547, 'matching_time': 1524078394.7762954, 'start_time': 1524078394.7305226, 'graph_edge_sort_time': 1524078394.7740648, 'node_count': 208}
{'first_graph_creation_time': 1524078394.8014953, 'second_graph_creation_time': 1524078394.8166535, 'number_of_matches': 216, 'greatest_constraints_time': 1524078394.8250878, 'matching_time': 1524078394.8271346, 'start_time': 1524078394.7765238, 'graph_edge_sort_time': 1524078394.8246574, 'node_count': 216}
{'first_graph_creation_time': 1524078394.8473358, 'second_graph_creation_time': 1524078394.8597624, 'number_of_matches': 189, 'greatest_constraints_time': 1524078394.866833, 'matching_time': 1524078394.8686807, 'start_time': 1524078394.827404, 'graph_edge_sort_time': 1524078394.866443, 'node_count': 186}
{'first_graph_creation_time': 1524078394.8913991, 'second_graph_creation_time': 1524078394.9052792, 'number_of_matches': 195, 'greatest_constraints_time': 1524078394.912836, 'matching_time': 1524078394.9146519, 'start_time': 1524078394.8689997, 'graph_edge_sort_time': 1524078394.9123776, 'node_count': 195}
{'first_graph_creation_time': 1524078394.9402707, 'second_graph_creation_time': 1524078394.9561255, 'number_of_matches': 207, 'greatest_constraints_time': 1524078394.9639812, 'matching_time': 1524078394.9658663, 'start_time': 1524078394.9149542, 'graph_edge_sort_time': 1524078394.9635422, 'node_count': 207}
{'first_graph_creation_time': 1524078394.989286, 'second_graph_creation_time': 1524078395.0015616, 'number_of_matches': 190, 'greatest_constraints_time': 1524078395.0087535, 'matching_time': 1524078395.0103514, 'start_time': 1524078394.9661427, 'graph_edge_sort_time': 1524078395.008376, 'node_count': 190}
{'first_graph_creation_time': 1524078395.0306265, 'second_graph_creation_time': 1524078395.0426743, 'number_of_matches': 201, 'greatest_constraints_time': 1524078395.0495167, 'matching_time': 1524078395.051302, 'start_time': 1524078395.0106888, 'graph_edge_sort_time': 1524078395.0491219, 'node_count': 201}
{'first_graph_creation_time': 1524078395.0742352, 'second_graph_creation_time': 1524078395.0885255, 'number_of_matches': 217, 'greatest_constraints_time': 1524078395.096567, 'matching_time': 1524078395.098512, 'start_time': 1524078395.0515227, 'graph_edge_sort_time': 1524078395.0961115, 'node_count': 217}
{'first_graph_creation_time': 1524078395.124671, 'second_graph_creation_time': 1524078395.1399977, 'number_of_matches': 219, 'greatest_constraints_time': 1524078395.1485305, 'matching_time': 1524078395.1505415, 'start_time': 1524078395.0989065, 'graph_edge_sort_time': 1524078395.1480532, 'node_count': 219}
{'first_graph_creation_time': 1524078395.176317, 'second_graph_creation_time': 1524078395.1917484, 'number_of_matches': 220, 'greatest_constraints_time': 1524078395.200356, 'matching_time': 1524078395.2025208, 'start_time': 1524078395.150819, 'graph_edge_sort_time': 1524078395.199789, 'node_count': 220}
{'first_graph_creation_time': 1524078395.2287676, 'second_graph_creation_time': 1524078395.243653, 'number_of_matches': 216, 'greatest_constraints_time': 1524078395.251939, 'matching_time': 1524078395.2538981, 'start_time': 1524078395.2029734, 'graph_edge_sort_time': 1524078395.251395, 'node_count': 216}
{'first_graph_creation_time': 1524078395.279023, 'second_graph_creation_time': 1524078395.294649, 'number_of_matches': 218, 'greatest_constraints_time': 1524078395.3032215, 'matching_time': 1524078395.305578, 'start_time': 1524078395.2541559, 'graph_edge_sort_time': 1524078395.302679, 'node_count': 218}
{'first_graph_creation_time': 1524078395.329008, 'second_graph_creation_time': 1524078395.3433077, 'number_of_matches': 207, 'greatest_constraints_time': 1524078395.3508527, 'matching_time': 1524078395.3530624, 'start_time': 1524078395.3059292, 'graph_edge_sort_time': 1524078395.3504372, 'node_count': 207}
{'first_graph_creation_time': 1524078395.3766682, 'second_graph_creation_time': 1524078395.3902593, 'number_of_matches': 197, 'greatest_constraints_time': 1524078395.3976476, 'matching_time': 1524078395.399405, 'start_time': 1524078395.3534, 'graph_edge_sort_time': 1524078395.39725, 'node_count': 197}
{'first_graph_creation_time': 1524078395.4215271, 'second_graph_creation_time': 1524078395.4347177, 'number_of_matches': 192, 'greatest_constraints_time': 1524078395.442222, 'matching_time': 1524078395.4438863, 'start_time': 1524078395.3996787, 'graph_edge_sort_time': 1524078395.4418569, 'node_count': 192}
{'first_graph_creation_time': 1524078395.4686728, 'second_graph_creation_time': 1524078395.4857125, 'number_of_matches': 201, 'greatest_constraints_time': 1524078395.4939034, 'matching_time': 1524078395.4957414, 'start_time': 1524078395.4441879, 'graph_edge_sort_time': 1524078395.4935007, 'node_count': 201}
{'first_graph_creation_time': 1524078395.5181167, 'second_graph_creation_time': 1524078395.5314207, 'number_of_matches': 183, 'greatest_constraints_time': 1524078395.5393245, 'matching_time': 1524078395.5412676, 'start_time': 1524078395.4960208, 'graph_edge_sort_time': 1524078395.5389256, 'node_count': 183}
{'first_graph_creation_time': 1524078395.5643895, 'second_graph_creation_time': 1524078395.5779238, 'number_of_matches': 196, 'greatest_constraints_time': 1524078395.585827, 'matching_time': 1524078395.5878816, 'start_time': 1524078395.541752, 'graph_edge_sort_time': 1524078395.5853467, 'node_count': 196}
{'first_graph_creation_time': 1524078395.612597, 'second_graph_creation_time': 1524078395.627474, 'number_of_matches': 209, 'greatest_constraints_time': 1524078395.6356587, 'matching_time': 1524078395.6376362, 'start_time': 1524078395.5881698, 'graph_edge_sort_time': 1524078395.6352103, 'node_count': 209}
{'first_graph_creation_time': 1524078395.663835, 'second_graph_creation_time': 1524078395.6803985, 'number_of_matches': 219, 'greatest_constraints_time': 1524078395.6894054, 'matching_time': 1524078395.6915193, 'start_time': 1524078395.6378896, 'graph_edge_sort_time': 1524078395.6889436, 'node_count': 219}
{'first_graph_creation_time': 1524078395.7140388, 'second_graph_creation_time': 1524078395.729592, 'number_of_matches': 204, 'greatest_constraints_time': 1524078395.7374277, 'matching_time': 1524078395.7391465, 'start_time': 1524078395.6917922, 'graph_edge_sort_time': 1524078395.737035, 'node_count': 204}
{'first_graph_creation_time': 1524078395.771052, 'second_graph_creation_time': 1524078395.7880805, 'number_of_matches': 202, 'greatest_constraints_time': 1524078395.795708, 'matching_time': 1524078395.797542, 'start_time': 1524078395.7393935, 'graph_edge_sort_time': 1524078395.7952242, 'node_count': 201}
