{'start_time': 1524076297.8890162, 'second_graph_creation_time': 1524076297.9400768, 'graph_edge_sort_time': 1524076297.9477525, 'node_count': 106, 'number_of_matches': 106, 'matching_time': 1524076297.9522924, 'first_graph_creation_time': 1524076297.922353, 'greatest_constraints_time': 1524076297.9481192}
{'start_time': 1524076297.9527974, 'second_graph_creation_time': 1524076298.0229247, 'graph_edge_sort_time': 1524076298.032679, 'node_count': 103, 'number_of_matches': 103, 'matching_time': 1524076298.0366182, 'first_graph_creation_time': 1524076297.9942522, 'greatest_constraints_time': 1524076298.0330791}
{'start_time': 1524076298.0369802, 'second_graph_creation_time': 1524076298.0857074, 'graph_edge_sort_time': 1524076298.0931563, 'node_count': 105, 'number_of_matches': 105, 'matching_time': 1524076298.0969074, 'first_graph_creation_time': 1524076298.0686228, 'greatest_constraints_time': 1524076298.0933702}
{'start_time': 1524076298.0973783, 'second_graph_creation_time': 1524076298.144342, 'graph_edge_sort_time': 1524076298.1515687, 'node_count': 97, 'number_of_matches': 97, 'matching_time': 1524076298.154495, 'first_graph_creation_time': 1524076298.1288736, 'greatest_constraints_time': 1524076298.1517913}
{'start_time': 1524076298.1547723, 'second_graph_creation_time': 1524076298.199965, 'graph_edge_sort_time': 1524076298.2066832, 'node_count': 101, 'number_of_matches': 101, 'matching_time': 1524076298.2098398, 'first_graph_creation_time': 1524076298.1846468, 'greatest_constraints_time': 1524076298.2068748}
{'start_time': 1524076298.2101307, 'second_graph_creation_time': 1524076298.267773, 'graph_edge_sort_time': 1524076298.2805243, 'node_count': 98, 'number_of_matches': 98, 'matching_time': 1524076298.2866037, 'first_graph_creation_time': 1524076298.2396357, 'greatest_constraints_time': 1524076298.2809029}
{'start_time': 1524076298.2869802, 'second_graph_creation_time': 1524076298.333572, 'graph_edge_sort_time': 1524076298.3397841, 'node_count': 94, 'number_of_matches': 94, 'matching_time': 1524076298.3426006, 'first_graph_creation_time': 1524076298.3189342, 'greatest_constraints_time': 1524076298.339962}
{'start_time': 1524076298.342926, 'second_graph_creation_time': 1524076298.3908627, 'graph_edge_sort_time': 1524076298.3979447, 'node_count': 100, 'number_of_matches': 100, 'matching_time': 1524076298.4013555, 'first_graph_creation_time': 1524076298.3753223, 'greatest_constraints_time': 1524076298.3981607}
{'start_time': 1524076298.4016583, 'second_graph_creation_time': 1524076298.4457514, 'graph_edge_sort_time': 1524076298.4527907, 'node_count': 104, 'number_of_matches': 104, 'matching_time': 1524076298.4559572, 'first_graph_creation_time': 1524076298.4302068, 'greatest_constraints_time': 1524076298.452986}
{'start_time': 1524076298.4562383, 'second_graph_creation_time': 1524076298.505473, 'graph_edge_sort_time': 1524076298.5132701, 'node_count': 108, 'number_of_matches': 108, 'matching_time': 1524076298.516932, 'first_graph_creation_time': 1524076298.4878001, 'greatest_constraints_time': 1524076298.5135336}
{'start_time': 1524076298.5172753, 'second_graph_creation_time': 1524076298.5569088, 'graph_edge_sort_time': 1524076298.5633707, 'node_count': 95, 'number_of_matches': 95, 'matching_time': 1524076298.5668795, 'first_graph_creation_time': 1524076298.5432394, 'greatest_constraints_time': 1524076298.5636055}
{'start_time': 1524076298.5672772, 'second_graph_creation_time': 1524076298.6046526, 'graph_edge_sort_time': 1524076298.6105487, 'node_count': 92, 'number_of_matches': 92, 'matching_time': 1524076298.6133988, 'first_graph_creation_time': 1524076298.5918722, 'greatest_constraints_time': 1524076298.6107419}
