{'second_graph_creation_time': 1524076398.079935, 'node_count': 90, 'greatest_constraints_time': 1524076398.0837018, 'number_of_matches': 30, 'graph_edge_sort_time': 1524076398.083534, 'first_graph_creation_time': 1524076398.064051, 'start_time': 1524076398.040878, 'matching_time': 1524076398.0841868}
{'second_graph_creation_time': 1524076398.132269, 'node_count': 101, 'greatest_constraints_time': 1524076398.1363895, 'number_of_matches': 31, 'graph_edge_sort_time': 1524076398.1362538, 'first_graph_creation_time': 1524076398.112466, 'start_time': 1524076398.0845213, 'matching_time': 1524076398.1366878}
{'second_graph_creation_time': 1524076398.1764038, 'node_count': 92, 'greatest_constraints_time': 1524076398.1801703, 'number_of_matches': 37, 'graph_edge_sort_time': 1524076398.179979, 'first_graph_creation_time': 1524076398.1601079, 'start_time': 1524076398.1369772, 'matching_time': 1524076398.1805787}
{'second_graph_creation_time': 1524076398.2274497, 'node_count': 94, 'greatest_constraints_time': 1524076398.2310233, 'number_of_matches': 16, 'graph_edge_sort_time': 1524076398.2308702, 'first_graph_creation_time': 1524076398.2072582, 'start_time': 1524076398.1809092, 'matching_time': 1524076398.2311778}
{'second_graph_creation_time': 1524076398.2755437, 'node_count': 95, 'greatest_constraints_time': 1524076398.2792556, 'number_of_matches': 19, 'graph_edge_sort_time': 1524076398.279131, 'first_graph_creation_time': 1524076398.2574618, 'start_time': 1524076398.2315562, 'matching_time': 1524076398.2794743}
{'second_graph_creation_time': 1524076398.3249674, 'node_count': 97, 'greatest_constraints_time': 1524076398.3287392, 'number_of_matches': 25, 'graph_edge_sort_time': 1524076398.328617, 'first_graph_creation_time': 1524076398.3068516, 'start_time': 1524076398.2797928, 'matching_time': 1524076398.3290381}
{'second_graph_creation_time': 1524076398.3823857, 'node_count': 109, 'greatest_constraints_time': 1524076398.3870673, 'number_of_matches': 41, 'graph_edge_sort_time': 1524076398.3869092, 'first_graph_creation_time': 1524076398.3602018, 'start_time': 1524076398.3294296, 'matching_time': 1524076398.3875158}
{'second_graph_creation_time': 1524076398.4325461, 'node_count': 97, 'greatest_constraints_time': 1524076398.4368017, 'number_of_matches': 10, 'graph_edge_sort_time': 1524076398.436667, 'first_graph_creation_time': 1524076398.4137115, 'start_time': 1524076398.387778, 'matching_time': 1524076398.4369104}
{'second_graph_creation_time': 1524076398.4889798, 'node_count': 103, 'greatest_constraints_time': 1524076398.49327, 'number_of_matches': 31, 'graph_edge_sort_time': 1524076398.4931195, 'first_graph_creation_time': 1524076398.4669447, 'start_time': 1524076398.4373984, 'matching_time': 1524076398.4935982}
{'second_graph_creation_time': 1524076398.535776, 'node_count': 93, 'greatest_constraints_time': 1524076398.5393589, 'number_of_matches': 9, 'graph_edge_sort_time': 1524076398.5392487, 'first_graph_creation_time': 1524076398.5186102, 'start_time': 1524076398.4939363, 'matching_time': 1524076398.539438}
{'second_graph_creation_time': 1524076398.5892706, 'node_count': 104, 'greatest_constraints_time': 1524076398.5930839, 'number_of_matches': 13, 'graph_edge_sort_time': 1524076398.5929623, 'first_graph_creation_time': 1524076398.5684423, 'start_time': 1524076398.5397296, 'matching_time': 1524076398.5932007}
{'second_graph_creation_time': 1524076398.6459937, 'node_count': 109, 'greatest_constraints_time': 1524076398.6502705, 'number_of_matches': 3, 'graph_edge_sort_time': 1524076398.650062, 'first_graph_creation_time': 1524076398.623494, 'start_time': 1524076398.5934556, 'matching_time': 1524076398.6503222}
{'second_graph_creation_time': 1524076398.7005732, 'node_count': 101, 'greatest_constraints_time': 1524076398.704575, 'number_of_matches': 19, 'graph_edge_sort_time': 1524076398.7044365, 'first_graph_creation_time': 1524076398.6791837, 'start_time': 1524076398.6507545, 'matching_time': 1524076398.7047656}
{'second_graph_creation_time': 1524076398.7558596, 'node_count': 104, 'greatest_constraints_time': 1524076398.759793, 'number_of_matches': 16, 'graph_edge_sort_time': 1524076398.7596693, 'first_graph_creation_time': 1524076398.7343369, 'start_time': 1524076398.70516, 'matching_time': 1524076398.7599542}
{'second_graph_creation_time': 1524076398.809161, 'node_count': 102, 'greatest_constraints_time': 1524076398.8132038, 'number_of_matches': 28, 'graph_edge_sort_time': 1524076398.813082, 'first_graph_creation_time': 1524076398.788535, 'start_time': 1524076398.7603264, 'matching_time': 1524076398.8134973}
{'second_graph_creation_time': 1524076398.863504, 'node_count': 102, 'greatest_constraints_time': 1524076398.8675692, 'number_of_matches': 17, 'graph_edge_sort_time': 1524076398.8673828, 'first_graph_creation_time': 1524076398.8421853, 'start_time': 1524076398.8137434, 'matching_time': 1524076398.8677175}
{'second_graph_creation_time': 1524076398.9245389, 'node_count': 108, 'greatest_constraints_time': 1524076398.9286733, 'number_of_matches': 20, 'graph_edge_sort_time': 1524076398.928532, 'first_graph_creation_time': 1524076398.899316, 'start_time': 1524076398.8681219, 'matching_time': 1524076398.9288652}
{'second_graph_creation_time': 1524076398.9774084, 'node_count': 101, 'greatest_constraints_time': 1524076398.9817245, 'number_of_matches': 24, 'graph_edge_sort_time': 1524076398.9815855, 'first_graph_creation_time': 1524076398.9568918, 'start_time': 1524076398.9291348, 'matching_time': 1524076398.982043}
{'second_graph_creation_time': 1524076399.035736, 'node_count': 109, 'greatest_constraints_time': 1524076399.0398443, 'number_of_matches': 20, 'graph_edge_sort_time': 1524076399.0397127, 'first_graph_creation_time': 1524076399.0134673, 'start_time': 1524076398.9824274, 'matching_time': 1524076399.040038}
{'second_graph_creation_time': 1524076399.090964, 'node_count': 104, 'greatest_constraints_time': 1524076399.0951796, 'number_of_matches': 27, 'graph_edge_sort_time': 1524076399.0950422, 'first_graph_creation_time': 1524076399.0689468, 'start_time': 1524076399.0403073, 'matching_time': 1524076399.0955212}
{'second_graph_creation_time': 1524076399.1455512, 'node_count': 103, 'greatest_constraints_time': 1524076399.1493523, 'number_of_matches': 7, 'graph_edge_sort_time': 1524076399.1492233, 'first_graph_creation_time': 1524076399.1245973, 'start_time': 1524076399.0959587, 'matching_time': 1524076399.149421}
{'second_graph_creation_time': 1524076399.193268, 'node_count': 96, 'greatest_constraints_time': 1524076399.1966174, 'number_of_matches': 8, 'graph_edge_sort_time': 1524076399.1965125, 'first_graph_creation_time': 1524076399.1748765, 'start_time': 1524076399.1498253, 'matching_time': 1524076399.1967006}
{'second_graph_creation_time': 1524076399.246365, 'node_count': 105, 'greatest_constraints_time': 1524076399.25059, 'number_of_matches': 27, 'graph_edge_sort_time': 1524076399.2503958, 'first_graph_creation_time': 1524076399.2255557, 'start_time': 1524076399.197011, 'matching_time': 1524076399.2508833}
{'second_graph_creation_time': 1524076399.3020415, 'node_count': 105, 'greatest_constraints_time': 1524076399.306537, 'number_of_matches': 31, 'graph_edge_sort_time': 1524076399.3063962, 'first_graph_creation_time': 1524076399.2799737, 'start_time': 1524076399.25122, 'matching_time': 1524076399.306848}
{'second_graph_creation_time': 1524076399.3574803, 'node_count': 102, 'greatest_constraints_time': 1524076399.3614125, 'number_of_matches': 17, 'graph_edge_sort_time': 1524076399.361251, 'first_graph_creation_time': 1524076399.3362901, 'start_time': 1524076399.3072639, 'matching_time': 1524076399.3616827}
{'second_graph_creation_time': 1524076399.4077446, 'node_count': 98, 'greatest_constraints_time': 1524076399.4117653, 'number_of_matches': 23, 'graph_edge_sort_time': 1524076399.4116383, 'first_graph_creation_time': 1524076399.3885188, 'start_time': 1524076399.362178, 'matching_time': 1524076399.4119759}
