{'greatest_constraints_time': 1524076024.4667952, 'start_time': 1524076024.4570756, 'second_graph_creation_time': 1524076024.4652429, 'node_count': 90, 'number_of_matches': 79, 'first_graph_creation_time': 1524076024.4621694, 'graph_edge_sort_time': 1524076024.4666483, 'matching_time': 1524076024.4676454}
{'greatest_constraints_time': 1524076024.478587, 'start_time': 1524076024.4679978, 'second_graph_creation_time': 1524076024.4766524, 'node_count': 101, 'number_of_matches': 97, 'first_graph_creation_time': 1524076024.4735334, 'graph_edge_sort_time': 1524076024.4784071, 'matching_time': 1524076024.4795718}
{'greatest_constraints_time': 1524076024.4932866, 'start_time': 1524076024.4798672, 'second_graph_creation_time': 1524076024.4912162, 'node_count': 95, 'number_of_matches': 94, 'first_graph_creation_time': 1524076024.487635, 'graph_edge_sort_time': 1524076024.4931204, 'matching_time': 1524076024.4942238}
{'greatest_constraints_time': 1524076024.5065265, 'start_time': 1524076024.494501, 'second_graph_creation_time': 1524076024.5048783, 'node_count': 110, 'number_of_matches': 72, 'first_graph_creation_time': 1524076024.5006838, 'graph_edge_sort_time': 1524076024.5063457, 'matching_time': 1524076024.5072339}
{'greatest_constraints_time': 1524076024.5178077, 'start_time': 1524076024.5075028, 'second_graph_creation_time': 1524076024.5162039, 'node_count': 93, 'number_of_matches': 66, 'first_graph_creation_time': 1524076024.5127513, 'graph_edge_sort_time': 1524076024.5176563, 'matching_time': 1524076024.518377}
{'greatest_constraints_time': 1524076024.5295322, 'start_time': 1524076024.5187247, 'second_graph_creation_time': 1524076024.5277555, 'node_count': 98, 'number_of_matches': 73, 'first_graph_creation_time': 1524076024.5241382, 'graph_edge_sort_time': 1524076024.5293784, 'matching_time': 1524076024.5303466}
{'greatest_constraints_time': 1524076024.5403461, 'start_time': 1524076024.5306828, 'second_graph_creation_time': 1524076024.5389543, 'node_count': 97, 'number_of_matches': 69, 'first_graph_creation_time': 1524076024.5355942, 'graph_edge_sort_time': 1524076024.540177, 'matching_time': 1524076024.5409307}
{'greatest_constraints_time': 1524076024.5520105, 'start_time': 1524076024.5412652, 'second_graph_creation_time': 1524076024.550304, 'node_count': 103, 'number_of_matches': 83, 'first_graph_creation_time': 1524076024.5468836, 'graph_edge_sort_time': 1524076024.5518425, 'matching_time': 1524076024.5527112}
{'greatest_constraints_time': 1524076024.5638185, 'start_time': 1524076024.5531213, 'second_graph_creation_time': 1524076024.562138, 'node_count': 102, 'number_of_matches': 72, 'first_graph_creation_time': 1524076024.5585349, 'graph_edge_sort_time': 1524076024.5636666, 'matching_time': 1524076024.5645316}
{'greatest_constraints_time': 1524076024.5763159, 'start_time': 1524076024.5648804, 'second_graph_creation_time': 1524076024.5743656, 'node_count': 101, 'number_of_matches': 85, 'first_graph_creation_time': 1524076024.5706606, 'graph_edge_sort_time': 1524076024.5761526, 'matching_time': 1524076024.5771313}
{'greatest_constraints_time': 1524076024.5874963, 'start_time': 1524076024.5774252, 'second_graph_creation_time': 1524076024.5860496, 'node_count': 93, 'number_of_matches': 54, 'first_graph_creation_time': 1524076024.5824616, 'graph_edge_sort_time': 1524076024.587333, 'matching_time': 1524076024.587963}
{'greatest_constraints_time': 1524076024.5978684, 'start_time': 1524076024.5883775, 'second_graph_creation_time': 1524076024.596194, 'node_count': 91, 'number_of_matches': 85, 'first_graph_creation_time': 1524076024.5931726, 'graph_edge_sort_time': 1524076024.5977097, 'matching_time': 1524076024.5985858}
{'greatest_constraints_time': 1524076024.6091423, 'start_time': 1524076024.5987966, 'second_graph_creation_time': 1524076024.6074572, 'node_count': 94, 'number_of_matches': 73, 'first_graph_creation_time': 1524076024.6041071, 'graph_edge_sort_time': 1524076024.6089606, 'matching_time': 1524076024.6098216}
{'greatest_constraints_time': 1524076024.6213334, 'start_time': 1524076024.610196, 'second_graph_creation_time': 1524076024.6197155, 'node_count': 100, 'number_of_matches': 70, 'first_graph_creation_time': 1524076024.6157842, 'graph_edge_sort_time': 1524076024.6211786, 'matching_time': 1524076024.6219096}
{'greatest_constraints_time': 1524076024.636042, 'start_time': 1524076024.6222086, 'second_graph_creation_time': 1524076024.6343024, 'node_count': 106, 'number_of_matches': 80, 'first_graph_creation_time': 1524076024.62828, 'graph_edge_sort_time': 1524076024.635869, 'matching_time': 1524076024.6369193}
{'greatest_constraints_time': 1524076024.649604, 'start_time': 1524076024.637344, 'second_graph_creation_time': 1524076024.647309, 'node_count': 110, 'number_of_matches': 101, 'first_graph_creation_time': 1524076024.6436117, 'graph_edge_sort_time': 1524076024.6493733, 'matching_time': 1524076024.650914}
{'greatest_constraints_time': 1524076024.664036, 'start_time': 1524076024.6512916, 'second_graph_creation_time': 1524076024.6616464, 'node_count': 110, 'number_of_matches': 107, 'first_graph_creation_time': 1524076024.6577418, 'graph_edge_sort_time': 1524076024.6638222, 'matching_time': 1524076024.6650789}
{'greatest_constraints_time': 1524076024.6756067, 'start_time': 1524076024.6654334, 'second_graph_creation_time': 1524076024.673716, 'node_count': 102, 'number_of_matches': 96, 'first_graph_creation_time': 1524076024.6707115, 'graph_edge_sort_time': 1524076024.6754196, 'matching_time': 1524076024.6764812}
{'greatest_constraints_time': 1524076024.6892307, 'start_time': 1524076024.6770272, 'second_graph_creation_time': 1524076024.6875117, 'node_count': 109, 'number_of_matches': 74, 'first_graph_creation_time': 1524076024.6830714, 'graph_edge_sort_time': 1524076024.6890664, 'matching_time': 1524076024.6899061}
{'greatest_constraints_time': 1524076024.701603, 'start_time': 1524076024.690325, 'second_graph_creation_time': 1524076024.699764, 'node_count': 102, 'number_of_matches': 73, 'first_graph_creation_time': 1524076024.6960428, 'graph_edge_sort_time': 1524076024.7014213, 'matching_time': 1524076024.7023578}
{'greatest_constraints_time': 1524076024.7127602, 'start_time': 1524076024.70274, 'second_graph_creation_time': 1524076024.7112672, 'node_count': 94, 'number_of_matches': 70, 'first_graph_creation_time': 1524076024.707851, 'graph_edge_sort_time': 1524076024.712603, 'matching_time': 1524076024.7134297}
{'greatest_constraints_time': 1524076024.7246537, 'start_time': 1524076024.713876, 'second_graph_creation_time': 1524076024.7226224, 'node_count': 94, 'number_of_matches': 92, 'first_graph_creation_time': 1524076024.7192857, 'graph_edge_sort_time': 1524076024.7244728, 'matching_time': 1524076024.7256079}
{'greatest_constraints_time': 1524076024.7379296, 'start_time': 1524076024.7260144, 'second_graph_creation_time': 1524076024.7356737, 'node_count': 105, 'number_of_matches': 96, 'first_graph_creation_time': 1524076024.7318513, 'graph_edge_sort_time': 1524076024.7377086, 'matching_time': 1524076024.7388167}
{'greatest_constraints_time': 1524076024.7506418, 'start_time': 1524076024.7391896, 'second_graph_creation_time': 1524076024.7487102, 'node_count': 110, 'number_of_matches': 91, 'first_graph_creation_time': 1524076024.7452114, 'graph_edge_sort_time': 1524076024.7504556, 'matching_time': 1524076024.751439}
{'greatest_constraints_time': 1524076024.7621586, 'start_time': 1524076024.7517838, 'second_graph_creation_time': 1524076024.760402, 'node_count': 90, 'number_of_matches': 82, 'first_graph_creation_time': 1524076024.75739, 'graph_edge_sort_time': 1524076024.7619371, 'matching_time': 1524076024.762936}
{'greatest_constraints_time': 1524076024.7750924, 'start_time': 1524076024.763281, 'second_graph_creation_time': 1524076024.7729425, 'node_count': 109, 'number_of_matches': 99, 'first_graph_creation_time': 1524076024.7692232, 'graph_edge_sort_time': 1524076024.7748916, 'matching_time': 1524076024.7760704}
{'greatest_constraints_time': 1524076024.78821, 'start_time': 1524076024.7764313, 'second_graph_creation_time': 1524076024.7861218, 'node_count': 98, 'number_of_matches': 95, 'first_graph_creation_time': 1524076024.783114, 'graph_edge_sort_time': 1524076024.787978, 'matching_time': 1524076024.7890158}
{'greatest_constraints_time': 1524076024.7996542, 'start_time': 1524076024.789314, 'second_graph_creation_time': 1524076024.797748, 'node_count': 110, 'number_of_matches': 107, 'first_graph_creation_time': 1524076024.7947161, 'graph_edge_sort_time': 1524076024.7994788, 'matching_time': 1524076024.800682}
{'greatest_constraints_time': 1524076024.8112433, 'start_time': 1524076024.800892, 'second_graph_creation_time': 1524076024.8093884, 'node_count': 100, 'number_of_matches': 94, 'first_graph_creation_time': 1524076024.8063295, 'graph_edge_sort_time': 1524076024.811072, 'matching_time': 1524076024.8121347}
{'greatest_constraints_time': 1524076024.8230784, 'start_time': 1524076024.8123512, 'second_graph_creation_time': 1524076024.821268, 'node_count': 102, 'number_of_matches': 76, 'first_graph_creation_time': 1524076024.8176908, 'graph_edge_sort_time': 1524076024.8229153, 'matching_time': 1524076024.823768}
