{'greatest_constraints_time': 1524078465.6682348, 'graph_edge_sort_time': 1524078465.667935, 'number_of_matches': 105, 'first_graph_creation_time': 1524078465.6461687, 'second_graph_creation_time': 1524078465.663027, 'matching_time': 1524078465.6695707, 'node_count': 195, 'start_time': 1524078465.6241767}
{'greatest_constraints_time': 1524078465.719442, 'graph_edge_sort_time': 1524078465.7191265, 'number_of_matches': 80, 'first_graph_creation_time': 1524078465.694447, 'second_graph_creation_time': 1524078465.714349, 'matching_time': 1524078465.720498, 'node_count': 212, 'start_time': 1524078465.6698322}
{'greatest_constraints_time': 1524078465.7710521, 'graph_edge_sort_time': 1524078465.7705176, 'number_of_matches': 81, 'first_graph_creation_time': 1524078465.7438006, 'second_graph_creation_time': 1524078465.7656941, 'matching_time': 1524078465.7728899, 'node_count': 210, 'start_time': 1524078465.7207625}
{'greatest_constraints_time': 1524078465.8442025, 'graph_edge_sort_time': 1524078465.8439145, 'number_of_matches': 83, 'first_graph_creation_time': 1524078465.8168242, 'second_graph_creation_time': 1524078465.8388026, 'matching_time': 1524078465.845218, 'node_count': 211, 'start_time': 1524078465.7732916}
{'greatest_constraints_time': 1524078465.8851273, 'graph_edge_sort_time': 1524078465.884851, 'number_of_matches': 75, 'first_graph_creation_time': 1524078465.8660045, 'second_graph_creation_time': 1524078465.8810701, 'matching_time': 1524078465.8859313, 'node_count': 180, 'start_time': 1524078465.8455358}
{'greatest_constraints_time': 1524078465.938235, 'graph_edge_sort_time': 1524078465.9378793, 'number_of_matches': 126, 'first_graph_creation_time': 1524078465.9129193, 'second_graph_creation_time': 1524078465.9321887, 'matching_time': 1524078465.9396365, 'node_count': 215, 'start_time': 1524078465.8861969}
{'greatest_constraints_time': 1524078465.9866774, 'graph_edge_sort_time': 1524078465.9863782, 'number_of_matches': 98, 'first_graph_creation_time': 1524078465.9639256, 'second_graph_creation_time': 1524078465.9815505, 'matching_time': 1524078465.987803, 'node_count': 210, 'start_time': 1524078465.9399102}
{'greatest_constraints_time': 1524078466.0351088, 'graph_edge_sort_time': 1524078466.03485, 'number_of_matches': 69, 'first_graph_creation_time': 1524078466.0115478, 'second_graph_creation_time': 1524078466.0304601, 'matching_time': 1524078466.0358877, 'node_count': 193, 'start_time': 1524078465.9881847}
{'greatest_constraints_time': 1524078466.085448, 'graph_edge_sort_time': 1524078466.0851161, 'number_of_matches': 113, 'first_graph_creation_time': 1524078466.059102, 'second_graph_creation_time': 1524078466.079279, 'matching_time': 1524078466.0867212, 'node_count': 212, 'start_time': 1524078466.0361652}
{'greatest_constraints_time': 1524078466.135858, 'graph_edge_sort_time': 1524078466.1355708, 'number_of_matches': 88, 'first_graph_creation_time': 1524078466.1122017, 'second_graph_creation_time': 1524078466.1310785, 'matching_time': 1524078466.1368835, 'node_count': 193, 'start_time': 1524078466.0869923}
{'greatest_constraints_time': 1524078466.188886, 'graph_edge_sort_time': 1524078466.1885722, 'number_of_matches': 106, 'first_graph_creation_time': 1524078466.1639411, 'second_graph_creation_time': 1524078466.183702, 'matching_time': 1524078466.190133, 'node_count': 212, 'start_time': 1524078466.1371596}
{'greatest_constraints_time': 1524078466.258416, 'graph_edge_sort_time': 1524078466.2581458, 'number_of_matches': 71, 'first_graph_creation_time': 1524078466.229285, 'second_graph_creation_time': 1524078466.2505698, 'matching_time': 1524078466.2592132, 'node_count': 187, 'start_time': 1524078466.1906118}
{'greatest_constraints_time': 1524078466.310538, 'graph_edge_sort_time': 1524078466.310189, 'number_of_matches': 148, 'first_graph_creation_time': 1524078466.2854898, 'second_graph_creation_time': 1524078466.304742, 'matching_time': 1524078466.3120189, 'node_count': 206, 'start_time': 1524078466.2596822}
{'greatest_constraints_time': 1524078466.3578656, 'graph_edge_sort_time': 1524078466.3575947, 'number_of_matches': 85, 'first_graph_creation_time': 1524078466.3359265, 'second_graph_creation_time': 1524078466.3533907, 'matching_time': 1524078466.358832, 'node_count': 189, 'start_time': 1524078466.312401}
{'greatest_constraints_time': 1524078466.4027162, 'graph_edge_sort_time': 1524078466.4022822, 'number_of_matches': 87, 'first_graph_creation_time': 1524078466.38142, 'second_graph_creation_time': 1524078466.397883, 'matching_time': 1524078466.4037054, 'node_count': 181, 'start_time': 1524078466.3591623}
{'greatest_constraints_time': 1524078466.4540129, 'graph_edge_sort_time': 1524078466.453702, 'number_of_matches': 102, 'first_graph_creation_time': 1524078466.4289398, 'second_graph_creation_time': 1524078466.4485843, 'matching_time': 1524078466.4551964, 'node_count': 215, 'start_time': 1524078466.4040966}
