{'matching_time': 1524078582.59308, 'first_graph_creation_time': 1524078582.5175846, 'second_graph_creation_time': 1524078582.5662105, 'number_of_matches': 194, 'graph_edge_sort_time': 1524078582.585162, 'start_time': 1524078582.4453835, 'greatest_constraints_time': 1524078582.585624, 'node_count': 194}
{'matching_time': 1524078582.7673075, 'first_graph_creation_time': 1524078582.6767335, 'second_graph_creation_time': 1524078582.7349396, 'number_of_matches': 220, 'graph_edge_sort_time': 1524078582.75746, 'start_time': 1524078582.5934134, 'greatest_constraints_time': 1524078582.7581174, 'node_count': 220}
{'matching_time': 1524078582.9051604, 'first_graph_creation_time': 1524078582.8341122, 'second_graph_creation_time': 1524078582.8795657, 'number_of_matches': 192, 'graph_edge_sort_time': 1524078582.897365, 'start_time': 1524078582.767643, 'greatest_constraints_time': 1524078582.8978755, 'node_count': 192}
{'matching_time': 1524078583.0716543, 'first_graph_creation_time': 1524078582.9854302, 'second_graph_creation_time': 1524078583.0413923, 'number_of_matches': 217, 'graph_edge_sort_time': 1524078583.0628343, 'start_time': 1524078582.9054856, 'greatest_constraints_time': 1524078583.0633745, 'node_count': 217}
{'matching_time': 1524078583.231322, 'first_graph_creation_time': 1524078583.147806, 'second_graph_creation_time': 1524078583.2014835, 'number_of_matches': 210, 'graph_edge_sort_time': 1524078583.2222207, 'start_time': 1524078583.0719774, 'greatest_constraints_time': 1524078583.2227595, 'node_count': 210}
{'matching_time': 1524078583.3781312, 'first_graph_creation_time': 1524078583.3025737, 'second_graph_creation_time': 1524078583.3512864, 'number_of_matches': 194, 'graph_edge_sort_time': 1524078583.3700883, 'start_time': 1524078583.2316492, 'greatest_constraints_time': 1524078583.3705812, 'node_count': 194}
{'matching_time': 1524078583.5488684, 'first_graph_creation_time': 1524078583.4601047, 'second_graph_creation_time': 1524078583.5179005, 'number_of_matches': 217, 'graph_edge_sort_time': 1524078583.539815, 'start_time': 1524078583.378457, 'greatest_constraints_time': 1524078583.5403974, 'node_count': 217}
{'matching_time': 1524078583.713713, 'first_graph_creation_time': 1524078583.6289825, 'second_graph_creation_time': 1524078583.6837108, 'number_of_matches': 209, 'graph_edge_sort_time': 1524078583.7046537, 'start_time': 1524078583.549215, 'greatest_constraints_time': 1524078583.7051845, 'node_count': 209}
{'matching_time': 1524078583.8732498, 'first_graph_creation_time': 1524078583.7914371, 'second_graph_creation_time': 1524078583.8444574, 'number_of_matches': 201, 'graph_edge_sort_time': 1524078583.864949, 'start_time': 1524078583.7140405, 'greatest_constraints_time': 1524078583.8654282, 'node_count': 201}
{'matching_time': 1524078584.0388005, 'first_graph_creation_time': 1524078583.953269, 'second_graph_creation_time': 1524078584.0091164, 'number_of_matches': 215, 'graph_edge_sort_time': 1524078584.0301003, 'start_time': 1524078583.8735688, 'greatest_constraints_time': 1524078584.0306253, 'node_count': 215}
{'matching_time': 1524078584.2058928, 'first_graph_creation_time': 1524078584.118474, 'second_graph_creation_time': 1524078584.1749134, 'number_of_matches': 213, 'graph_edge_sort_time': 1524078584.1964192, 'start_time': 1524078584.0391319, 'greatest_constraints_time': 1524078584.196968, 'node_count': 213}
