{'first_graph_creation_time': 1524079278.7020214, 'matching_time': 1524079278.7667785, 'greatest_constraints_time': 1524079278.7641509, 'number_of_matches': 163, 'second_graph_creation_time': 1524079278.7525425, 'start_time': 1524079278.6462436, 'graph_edge_sort_time': 1524079278.7636547, 'node_count': 285}
{'first_graph_creation_time': 1524079278.8254251, 'matching_time': 1524079278.8956928, 'greatest_constraints_time': 1524079278.894053, 'number_of_matches': 98, 'second_graph_creation_time': 1524079278.8841336, 'start_time': 1524079278.7671874, 'graph_edge_sort_time': 1524079278.893629, 'node_count': 295}
{'first_graph_creation_time': 1524079278.952217, 'matching_time': 1524079279.0176883, 'greatest_constraints_time': 1524079279.0145175, 'number_of_matches': 187, 'second_graph_creation_time': 1524079279.0019467, 'start_time': 1524079278.8960438, 'graph_edge_sort_time': 1524079279.0139394, 'node_count': 296}
{'first_graph_creation_time': 1524079279.0685127, 'matching_time': 1524079279.127728, 'greatest_constraints_time': 1524079279.1258454, 'number_of_matches': 124, 'second_graph_creation_time': 1524079279.1155899, 'start_time': 1524079279.0180655, 'graph_edge_sort_time': 1524079279.125376, 'node_count': 271}
{'first_graph_creation_time': 1524079279.1844604, 'matching_time': 1524079279.2514784, 'greatest_constraints_time': 1524079279.2491043, 'number_of_matches': 141, 'second_graph_creation_time': 1524079279.2379909, 'start_time': 1524079279.1280663, 'graph_edge_sort_time': 1524079279.2486067, 'node_count': 299}
{'first_graph_creation_time': 1524079279.3056462, 'matching_time': 1524079279.3718874, 'greatest_constraints_time': 1524079279.3695614, 'number_of_matches': 155, 'second_graph_creation_time': 1524079279.358374, 'start_time': 1524079279.251812, 'graph_edge_sort_time': 1524079279.3690684, 'node_count': 296}
{'first_graph_creation_time': 1524079279.464136, 'matching_time': 1524079279.5429986, 'greatest_constraints_time': 1524079279.5397966, 'number_of_matches': 198, 'second_graph_creation_time': 1524079279.5255957, 'start_time': 1524079279.3722343, 'graph_edge_sort_time': 1524079279.5392332, 'node_count': 322}
{'first_graph_creation_time': 1524079279.596547, 'matching_time': 1524079279.656674, 'greatest_constraints_time': 1524079279.65468, 'number_of_matches': 133, 'second_graph_creation_time': 1524079279.6448562, 'start_time': 1524079279.5433164, 'graph_edge_sort_time': 1524079279.65425, 'node_count': 278}
{'first_graph_creation_time': 1524079279.7052512, 'matching_time': 1524079279.761164, 'greatest_constraints_time': 1524079279.758669, 'number_of_matches': 183, 'second_graph_creation_time': 1524079279.7473118, 'start_time': 1524079279.657006, 'graph_edge_sort_time': 1524079279.7581952, 'node_count': 270}
{'first_graph_creation_time': 1524079279.8226006, 'matching_time': 1524079279.8970716, 'greatest_constraints_time': 1524079279.8944378, 'number_of_matches': 161, 'second_graph_creation_time': 1524079279.881951, 'start_time': 1524079279.761492, 'graph_edge_sort_time': 1524079279.893912, 'node_count': 318}
{'first_graph_creation_time': 1524079279.9650369, 'matching_time': 1524079280.043623, 'greatest_constraints_time': 1524079280.0404608, 'number_of_matches': 211, 'second_graph_creation_time': 1524079280.0261683, 'start_time': 1524079279.8974535, 'graph_edge_sort_time': 1524079280.0398803, 'node_count': 323}
{'first_graph_creation_time': 1524079280.0982265, 'matching_time': 1524079280.161904, 'greatest_constraints_time': 1524079280.1600351, 'number_of_matches': 114, 'second_graph_creation_time': 1524079280.1502142, 'start_time': 1524079280.0440292, 'graph_edge_sort_time': 1524079280.1595788, 'node_count': 305}
{'first_graph_creation_time': 1524079280.2256296, 'matching_time': 1524079280.2985656, 'greatest_constraints_time': 1524079280.2963927, 'number_of_matches': 127, 'second_graph_creation_time': 1524079280.2853563, 'start_time': 1524079280.1622627, 'graph_edge_sort_time': 1524079280.2959015, 'node_count': 318}
{'first_graph_creation_time': 1524079280.3467593, 'matching_time': 1524079280.4027555, 'greatest_constraints_time': 1524079280.4006338, 'number_of_matches': 142, 'second_graph_creation_time': 1524079280.3909292, 'start_time': 1524079280.2989216, 'graph_edge_sort_time': 1524079280.4000704, 'node_count': 283}
{'first_graph_creation_time': 1524079280.4613655, 'matching_time': 1524079280.5256681, 'greatest_constraints_time': 1524079280.5228772, 'number_of_matches': 194, 'second_graph_creation_time': 1524079280.5102205, 'start_time': 1524079280.4049609, 'graph_edge_sort_time': 1524079280.5223644, 'node_count': 283}
{'first_graph_creation_time': 1524079280.575456, 'matching_time': 1524079280.6326787, 'greatest_constraints_time': 1524079280.6300604, 'number_of_matches': 176, 'second_graph_creation_time': 1524079280.6190398, 'start_time': 1524079280.5260394, 'graph_edge_sort_time': 1524079280.6294358, 'node_count': 273}
{'first_graph_creation_time': 1524079280.6899507, 'matching_time': 1524079280.757934, 'greatest_constraints_time': 1524079280.755003, 'number_of_matches': 195, 'second_graph_creation_time': 1524079280.7421935, 'start_time': 1524079280.6330578, 'graph_edge_sort_time': 1524079280.7544641, 'node_count': 313}
{'first_graph_creation_time': 1524079280.8201523, 'matching_time': 1524079280.894675, 'greatest_constraints_time': 1524079280.8920712, 'number_of_matches': 156, 'second_graph_creation_time': 1524079280.8799646, 'start_time': 1524079280.7582388, 'graph_edge_sort_time': 1524079280.8915596, 'node_count': 324}
{'first_graph_creation_time': 1524079280.9491224, 'matching_time': 1524079281.0140588, 'greatest_constraints_time': 1524079281.0112839, 'number_of_matches': 180, 'second_graph_creation_time': 1524079280.9995399, 'start_time': 1524079280.8949988, 'graph_edge_sort_time': 1524079281.010786, 'node_count': 286}
{'first_graph_creation_time': 1524079281.075914, 'matching_time': 1524079281.1507514, 'greatest_constraints_time': 1524079281.147653, 'number_of_matches': 179, 'second_graph_creation_time': 1524079281.1351979, 'start_time': 1524079281.0143857, 'graph_edge_sort_time': 1524079281.1471539, 'node_count': 316}
{'first_graph_creation_time': 1524079281.2151086, 'matching_time': 1524079281.2957602, 'greatest_constraints_time': 1524079281.29204, 'number_of_matches': 221, 'second_graph_creation_time': 1524079281.2776027, 'start_time': 1524079281.1510973, 'graph_edge_sort_time': 1524079281.2914662, 'node_count': 323}
{'first_graph_creation_time': 1524079281.3543859, 'matching_time': 1524079281.423991, 'greatest_constraints_time': 1524079281.4211943, 'number_of_matches': 188, 'second_graph_creation_time': 1524079281.408415, 'start_time': 1524079281.2960799, 'graph_edge_sort_time': 1524079281.4205384, 'node_count': 297}
{'first_graph_creation_time': 1524079281.483035, 'matching_time': 1524079281.5554774, 'greatest_constraints_time': 1524079281.5532117, 'number_of_matches': 145, 'second_graph_creation_time': 1524079281.5409517, 'start_time': 1524079281.424336, 'graph_edge_sort_time': 1524079281.5527086, 'node_count': 293}
{'first_graph_creation_time': 1524079281.6161692, 'matching_time': 1524079281.6890802, 'greatest_constraints_time': 1524079281.686678, 'number_of_matches': 140, 'second_graph_creation_time': 1524079281.6750963, 'start_time': 1524079281.5558338, 'graph_edge_sort_time': 1524079281.6861777, 'node_count': 296}
{'first_graph_creation_time': 1524079281.7392318, 'matching_time': 1524079281.7952702, 'greatest_constraints_time': 1524079281.7937071, 'number_of_matches': 99, 'second_graph_creation_time': 1524079281.7849665, 'start_time': 1524079281.6895761, 'graph_edge_sort_time': 1524079281.7933216, 'node_count': 270}
{'first_graph_creation_time': 1524079281.851336, 'matching_time': 1524079281.915248, 'greatest_constraints_time': 1524079281.9129288, 'number_of_matches': 137, 'second_graph_creation_time': 1524079281.9018574, 'start_time': 1524079281.795579, 'graph_edge_sort_time': 1524079281.9124367, 'node_count': 285}
{'first_graph_creation_time': 1524079281.9743872, 'matching_time': 1524079282.0420358, 'greatest_constraints_time': 1524079282.0395362, 'number_of_matches': 154, 'second_graph_creation_time': 1524079282.027937, 'start_time': 1524079281.915745, 'graph_edge_sort_time': 1524079282.0390391, 'node_count': 313}
{'first_graph_creation_time': 1524079282.098699, 'matching_time': 1524079282.1617513, 'greatest_constraints_time': 1524079282.160026, 'number_of_matches': 113, 'second_graph_creation_time': 1524079282.149917, 'start_time': 1524079282.0423894, 'graph_edge_sort_time': 1524079282.1595764, 'node_count': 279}
{'first_graph_creation_time': 1524079282.2178874, 'matching_time': 1524079282.2840211, 'greatest_constraints_time': 1524079282.2815053, 'number_of_matches': 153, 'second_graph_creation_time': 1524079282.2697654, 'start_time': 1524079282.1620772, 'graph_edge_sort_time': 1524079282.2808795, 'node_count': 293}
{'first_graph_creation_time': 1524079282.339375, 'matching_time': 1524079282.40351, 'greatest_constraints_time': 1524079282.4013762, 'number_of_matches': 133, 'second_graph_creation_time': 1524079282.3908124, 'start_time': 1524079282.284377, 'graph_edge_sort_time': 1524079282.4008725, 'node_count': 286}
{'first_graph_creation_time': 1524079282.4585128, 'matching_time': 1524079282.521486, 'greatest_constraints_time': 1524079282.51917, 'number_of_matches': 139, 'second_graph_creation_time': 1524079282.5084066, 'start_time': 1524079282.4038498, 'graph_edge_sort_time': 1524079282.5187178, 'node_count': 277}
{'first_graph_creation_time': 1524079282.5804813, 'matching_time': 1524079282.6514227, 'greatest_constraints_time': 1524079282.6493504, 'number_of_matches': 123, 'second_graph_creation_time': 1524079282.6387289, 'start_time': 1524079282.5218887, 'graph_edge_sort_time': 1524079282.648865, 'node_count': 304}
