{'greatest_constraints_time': 1524079900.0081725, 'graph_edge_sort_time': 1524079900.007574, 'second_graph_creation_time': 1524079899.981304, 'first_graph_creation_time': 1524079899.7935123, 'start_time': 1524079899.6034858, 'node_count': 312, 'number_of_matches': 98, 'matching_time': 1524079900.0105586}
{'greatest_constraints_time': 1524079900.4442728, 'graph_edge_sort_time': 1524079900.4437106, 'second_graph_creation_time': 1524079900.4163654, 'first_graph_creation_time': 1524079900.2103736, 'start_time': 1524079900.0109406, 'node_count': 319, 'number_of_matches': 76, 'matching_time': 1524079900.445926}
{'greatest_constraints_time': 1524079900.8474212, 'graph_edge_sort_time': 1524079900.8468544, 'second_graph_creation_time': 1524079900.8216047, 'first_graph_creation_time': 1524079900.637398, 'start_time': 1524079900.446288, 'node_count': 303, 'number_of_matches': 30, 'matching_time': 1524079900.8481026}
{'greatest_constraints_time': 1524079901.3001575, 'graph_edge_sort_time': 1524079901.2994916, 'second_graph_creation_time': 1524079901.270182, 'first_graph_creation_time': 1524079901.0599449, 'start_time': 1524079900.850142, 'node_count': 325, 'number_of_matches': 80, 'matching_time': 1524079901.3020093}
{'greatest_constraints_time': 1524079901.7160099, 'graph_edge_sort_time': 1524079901.7154925, 'second_graph_creation_time': 1524079901.69026, 'first_graph_creation_time': 1524079901.500345, 'start_time': 1524079901.3023422, 'node_count': 312, 'number_of_matches': 7, 'matching_time': 1524079901.716132}
{'greatest_constraints_time': 1524079902.133656, 'graph_edge_sort_time': 1524079902.1331446, 'second_graph_creation_time': 1524079902.108266, 'first_graph_creation_time': 1524079901.898795, 'start_time': 1524079901.7164652, 'node_count': 299, 'number_of_matches': 11, 'matching_time': 1524079902.133883}
{'greatest_constraints_time': 1524079902.5515103, 'graph_edge_sort_time': 1524079902.5508778, 'second_graph_creation_time': 1524079902.5224512, 'first_graph_creation_time': 1524079902.3291144, 'start_time': 1524079902.1342182, 'node_count': 307, 'number_of_matches': 105, 'matching_time': 1524079902.553879}
{'greatest_constraints_time': 1524079902.929195, 'graph_edge_sort_time': 1524079902.9286528, 'second_graph_creation_time': 1524079902.904678, 'first_graph_creation_time': 1524079902.7312531, 'start_time': 1524079902.5543084, 'node_count': 288, 'number_of_matches': 40, 'matching_time': 1524079902.9301014}
{'greatest_constraints_time': 1524079903.2856135, 'graph_edge_sort_time': 1524079903.2849665, 'second_graph_creation_time': 1524079903.2607121, 'first_graph_creation_time': 1524079903.099137, 'start_time': 1524079902.930432, 'node_count': 276, 'number_of_matches': 85, 'matching_time': 1524079903.2875018}
{'greatest_constraints_time': 1524079903.6846077, 'graph_edge_sort_time': 1524079903.684085, 'second_graph_creation_time': 1524079903.6597323, 'first_graph_creation_time': 1524079903.4759128, 'start_time': 1524079903.2878757, 'node_count': 300, 'number_of_matches': 10, 'matching_time': 1524079903.6848686}
{'greatest_constraints_time': 1524079904.1184378, 'graph_edge_sort_time': 1524079904.1178944, 'second_graph_creation_time': 1524079904.0919685, 'first_graph_creation_time': 1524079903.891199, 'start_time': 1524079903.685205, 'node_count': 324, 'number_of_matches': 7, 'matching_time': 1524079904.1185853}
{'greatest_constraints_time': 1524079904.5212038, 'graph_edge_sort_time': 1524079904.5206854, 'second_graph_creation_time': 1524079904.495703, 'first_graph_creation_time': 1524079904.3106544, 'start_time': 1524079904.118959, 'node_count': 305, 'number_of_matches': 21, 'matching_time': 1524079904.5216668}
{'greatest_constraints_time': 1524079904.8771887, 'graph_edge_sort_time': 1524079904.8766315, 'second_graph_creation_time': 1524079904.852969, 'first_graph_creation_time': 1524079904.6902115, 'start_time': 1524079904.5220025, 'node_count': 276, 'number_of_matches': 91, 'matching_time': 1524079904.8791363}
{'greatest_constraints_time': 1524079905.2860827, 'graph_edge_sort_time': 1524079905.285486, 'second_graph_creation_time': 1524079905.2579296, 'first_graph_creation_time': 1524079905.0679812, 'start_time': 1524079904.8794613, 'node_count': 302, 'number_of_matches': 109, 'matching_time': 1524079905.2888143}
{'greatest_constraints_time': 1524079905.689057, 'graph_edge_sort_time': 1524079905.6884942, 'second_graph_creation_time': 1524079905.6634755, 'first_graph_creation_time': 1524079905.4792433, 'start_time': 1524079905.2891836, 'node_count': 301, 'number_of_matches': 50, 'matching_time': 1524079905.6901689}
{'greatest_constraints_time': 1524079906.0651374, 'graph_edge_sort_time': 1524079906.0645325, 'second_graph_creation_time': 1524079906.0390606, 'first_graph_creation_time': 1524079905.869006, 'start_time': 1524079905.6906502, 'node_count': 284, 'number_of_matches': 89, 'matching_time': 1524079906.0673602}
{'greatest_constraints_time': 1524079906.4642248, 'graph_edge_sort_time': 1524079906.4636931, 'second_graph_creation_time': 1524079906.4391108, 'first_graph_creation_time': 1524079906.2547035, 'start_time': 1524079906.0679963, 'node_count': 298, 'number_of_matches': 45, 'matching_time': 1524079906.4651818}
{'greatest_constraints_time': 1524079906.9138224, 'graph_edge_sort_time': 1524079906.9132268, 'second_graph_creation_time': 1524079906.8853478, 'first_graph_creation_time': 1524079906.6729848, 'start_time': 1524079906.465552, 'node_count': 324, 'number_of_matches': 64, 'matching_time': 1524079906.9152355}
{'greatest_constraints_time': 1524079907.2715812, 'graph_edge_sort_time': 1524079907.271078, 'second_graph_creation_time': 1524079907.2477624, 'first_graph_creation_time': 1524079907.0855663, 'start_time': 1524079906.9156077, 'node_count': 274, 'number_of_matches': 59, 'matching_time': 1524079907.272985}
{'greatest_constraints_time': 1524079907.6362498, 'graph_edge_sort_time': 1524079907.6357007, 'second_graph_creation_time': 1524079907.612636, 'first_graph_creation_time': 1524079907.446272, 'start_time': 1524079907.2733397, 'node_count': 287, 'number_of_matches': 51, 'matching_time': 1524079907.6372986}
{'greatest_constraints_time': 1524079908.030657, 'graph_edge_sort_time': 1524079908.0301495, 'second_graph_creation_time': 1524079908.0048146, 'first_graph_creation_time': 1524079907.822817, 'start_time': 1524079907.6376438, 'node_count': 301, 'number_of_matches': 67, 'matching_time': 1524079908.032018}
{'greatest_constraints_time': 1524079908.4266436, 'graph_edge_sort_time': 1524079908.4261422, 'second_graph_creation_time': 1524079908.4016514, 'first_graph_creation_time': 1524079908.2169502, 'start_time': 1524079908.032365, 'node_count': 294, 'number_of_matches': 63, 'matching_time': 1524079908.4279819}
{'greatest_constraints_time': 1524079908.8023317, 'graph_edge_sort_time': 1524079908.8016932, 'second_graph_creation_time': 1524079908.7758043, 'first_graph_creation_time': 1524079908.603181, 'start_time': 1524079908.4283648, 'node_count': 281, 'number_of_matches': 103, 'matching_time': 1524079908.8046377}
{'greatest_constraints_time': 1524079909.143928, 'graph_edge_sort_time': 1524079909.1434355, 'second_graph_creation_time': 1524079909.1211078, 'first_graph_creation_time': 1524079908.9656868, 'start_time': 1524079908.8050122, 'node_count': 270, 'number_of_matches': 64, 'matching_time': 1524079909.1455338}
{'greatest_constraints_time': 1524079909.5068822, 'graph_edge_sort_time': 1524079909.5063944, 'second_graph_creation_time': 1524079909.483254, 'first_graph_creation_time': 1524079909.3189793, 'start_time': 1524079909.145977, 'node_count': 283, 'number_of_matches': 43, 'matching_time': 1524079909.507857}
{'greatest_constraints_time': 1524079909.9340796, 'graph_edge_sort_time': 1524079909.9335291, 'second_graph_creation_time': 1524079909.9070368, 'first_graph_creation_time': 1524079909.7048478, 'start_time': 1524079909.508218, 'node_count': 318, 'number_of_matches': 64, 'matching_time': 1524079909.9354284}
{'greatest_constraints_time': 1524079910.3255193, 'graph_edge_sort_time': 1524079910.3249338, 'second_graph_creation_time': 1524079910.2996929, 'first_graph_creation_time': 1524079910.1195965, 'start_time': 1524079909.9357657, 'node_count': 292, 'number_of_matches': 79, 'matching_time': 1524079910.3271945}
{'greatest_constraints_time': 1524079910.6799588, 'graph_edge_sort_time': 1524079910.679519, 'second_graph_creation_time': 1524079910.6572514, 'first_graph_creation_time': 1524079910.4960556, 'start_time': 1524079910.3276253, 'node_count': 276, 'number_of_matches': 26, 'matching_time': 1524079910.6804483}
{'greatest_constraints_time': 1524079911.1129782, 'graph_edge_sort_time': 1524079911.1123455, 'second_graph_creation_time': 1524079911.08452, 'first_graph_creation_time': 1524079910.8839111, 'start_time': 1524079910.680826, 'node_count': 324, 'number_of_matches': 93, 'matching_time': 1524079911.1150486}
{'greatest_constraints_time': 1524079911.5208066, 'graph_edge_sort_time': 1524079911.5202694, 'second_graph_creation_time': 1524079911.4950428, 'first_graph_creation_time': 1524079911.3085115, 'start_time': 1524079911.1170068, 'node_count': 295, 'number_of_matches': 45, 'matching_time': 1524079911.5217764}
{'greatest_constraints_time': 1524079911.9065535, 'graph_edge_sort_time': 1524079911.9060054, 'second_graph_creation_time': 1524079911.8820806, 'first_graph_creation_time': 1524079911.7032626, 'start_time': 1524079911.522103, 'node_count': 295, 'number_of_matches': 21, 'matching_time': 1524079911.9069583}
{'greatest_constraints_time': 1524079912.3338494, 'graph_edge_sort_time': 1524079912.3329313, 'second_graph_creation_time': 1524079912.305106, 'first_graph_creation_time': 1524079912.1076963, 'start_time': 1524079911.9072695, 'node_count': 317, 'number_of_matches': 72, 'matching_time': 1524079912.3354738}
{'greatest_constraints_time': 1524079912.7374945, 'graph_edge_sort_time': 1524079912.7369719, 'second_graph_creation_time': 1524079912.7115095, 'first_graph_creation_time': 1524079912.5255804, 'start_time': 1524079912.3358107, 'node_count': 305, 'number_of_matches': 64, 'matching_time': 1524079912.7388184}
{'greatest_constraints_time': 1524079913.0842412, 'graph_edge_sort_time': 1524079913.083725, 'second_graph_creation_time': 1524079913.062064, 'first_graph_creation_time': 1524079912.9036157, 'start_time': 1524079912.7391708, 'node_count': 274, 'number_of_matches': 11, 'matching_time': 1524079913.0844884}
{'greatest_constraints_time': 1524079913.5014143, 'graph_edge_sort_time': 1524079913.50083, 'second_graph_creation_time': 1524079913.4738293, 'first_graph_creation_time': 1524079913.2783442, 'start_time': 1524079913.0848522, 'node_count': 311, 'number_of_matches': 83, 'matching_time': 1524079913.5031917}
{'greatest_constraints_time': 1524079913.8993316, 'graph_edge_sort_time': 1524079913.8988154, 'second_graph_creation_time': 1524079913.873669, 'first_graph_creation_time': 1524079913.6900125, 'start_time': 1524079913.5035605, 'node_count': 298, 'number_of_matches': 54, 'matching_time': 1524079913.9007077}
{'greatest_constraints_time': 1524079914.335946, 'graph_edge_sort_time': 1524079914.3352292, 'second_graph_creation_time': 1524079914.3064325, 'first_graph_creation_time': 1524079914.1043098, 'start_time': 1524079913.9010386, 'node_count': 316, 'number_of_matches': 90, 'matching_time': 1524079914.3381743}
{'greatest_constraints_time': 1524079914.7682312, 'graph_edge_sort_time': 1524079914.7676935, 'second_graph_creation_time': 1524079914.7412686, 'first_graph_creation_time': 1524079914.5403318, 'start_time': 1524079914.338526, 'node_count': 321, 'number_of_matches': 6, 'matching_time': 1524079914.7683876}
{'greatest_constraints_time': 1524079915.1884704, 'graph_edge_sort_time': 1524079915.1879258, 'second_graph_creation_time': 1524079915.1622303, 'first_graph_creation_time': 1524079914.9678903, 'start_time': 1524079914.7687144, 'node_count': 314, 'number_of_matches': 13, 'matching_time': 1524079915.1887178}
{'greatest_constraints_time': 1524079915.5769522, 'graph_edge_sort_time': 1524079915.5763185, 'second_graph_creation_time': 1524079915.5517983, 'first_graph_creation_time': 1524079915.3741286, 'start_time': 1524079915.189047, 'node_count': 296, 'number_of_matches': 42, 'matching_time': 1524079915.5778315}
{'greatest_constraints_time': 1524079915.957012, 'graph_edge_sort_time': 1524079915.9565222, 'second_graph_creation_time': 1524079915.9332104, 'first_graph_creation_time': 1524079915.758092, 'start_time': 1524079915.5781431, 'node_count': 291, 'number_of_matches': 33, 'matching_time': 1524079915.9576118}
{'greatest_constraints_time': 1524079916.3539748, 'graph_edge_sort_time': 1524079916.3534698, 'second_graph_creation_time': 1524079916.328673, 'first_graph_creation_time': 1524079916.1433527, 'start_time': 1524079915.9579155, 'node_count': 306, 'number_of_matches': 49, 'matching_time': 1524079916.3550189}
{'greatest_constraints_time': 1524079916.7354786, 'graph_edge_sort_time': 1524079916.7350152, 'second_graph_creation_time': 1524079916.7110736, 'first_graph_creation_time': 1524079916.5373645, 'start_time': 1524079916.3571153, 'node_count': 296, 'number_of_matches': 16, 'matching_time': 1524079916.7357717}
{'greatest_constraints_time': 1524079917.118508, 'graph_edge_sort_time': 1524079917.1179476, 'second_graph_creation_time': 1524079917.0926855, 'first_graph_creation_time': 1524079916.915846, 'start_time': 1524079916.7360802, 'node_count': 288, 'number_of_matches': 83, 'matching_time': 1524079917.1203089}
{'greatest_constraints_time': 1524079917.5532005, 'graph_edge_sort_time': 1524079917.5526326, 'second_graph_creation_time': 1524079917.5258684, 'first_graph_creation_time': 1524079917.3246531, 'start_time': 1524079917.1206105, 'node_count': 321, 'number_of_matches': 19, 'matching_time': 1524079917.5536723}
{'greatest_constraints_time': 1524079917.967755, 'graph_edge_sort_time': 1524079917.9669905, 'second_graph_creation_time': 1524079917.9408438, 'first_graph_creation_time': 1524079917.745059, 'start_time': 1524079917.5540202, 'node_count': 308, 'number_of_matches': 75, 'matching_time': 1524079917.9693792}
{'greatest_constraints_time': 1524079918.412251, 'graph_edge_sort_time': 1524079918.4116223, 'second_graph_creation_time': 1524079918.3821027, 'first_graph_creation_time': 1524079918.1753666, 'start_time': 1524079917.9697385, 'node_count': 317, 'number_of_matches': 91, 'matching_time': 1524079918.4144812}
{'greatest_constraints_time': 1524079918.7577975, 'graph_edge_sort_time': 1524079918.7573578, 'second_graph_creation_time': 1524079918.7358944, 'first_graph_creation_time': 1524079918.580408, 'start_time': 1524079918.414802, 'node_count': 273, 'number_of_matches': 15, 'matching_time': 1524079918.7581244}
{'greatest_constraints_time': 1524079919.192265, 'graph_edge_sort_time': 1524079919.1917057, 'second_graph_creation_time': 1524079919.1650114, 'first_graph_creation_time': 1524079918.9638371, 'start_time': 1524079918.7584434, 'node_count': 325, 'number_of_matches': 22, 'matching_time': 1524079919.192875}
{'greatest_constraints_time': 1524079919.6387763, 'graph_edge_sort_time': 1524079919.6380775, 'second_graph_creation_time': 1524079919.6092103, 'first_graph_creation_time': 1524079919.3977637, 'start_time': 1524079919.1931875, 'node_count': 323, 'number_of_matches': 105, 'matching_time': 1524079919.6411793}
{'greatest_constraints_time': 1524079920.0810504, 'graph_edge_sort_time': 1524079920.0804908, 'second_graph_creation_time': 1524079920.0552194, 'first_graph_creation_time': 1524079919.870797, 'start_time': 1524079919.6415112, 'node_count': 308, 'number_of_matches': 25, 'matching_time': 1524079920.081807}
{'greatest_constraints_time': 1524079920.524944, 'graph_edge_sort_time': 1524079920.5242767, 'second_graph_creation_time': 1524079920.4962287, 'first_graph_creation_time': 1524079920.288115, 'start_time': 1524079920.0821807, 'node_count': 325, 'number_of_matches': 83, 'matching_time': 1524079920.5269392}
{'greatest_constraints_time': 1524079920.9565468, 'graph_edge_sort_time': 1524079920.9559724, 'second_graph_creation_time': 1524079920.9286335, 'first_graph_creation_time': 1524079920.7269113, 'start_time': 1524079920.527275, 'node_count': 321, 'number_of_matches': 83, 'matching_time': 1524079920.95858}
{'greatest_constraints_time': 1524079921.4037812, 'graph_edge_sort_time': 1524079921.4031215, 'second_graph_creation_time': 1524079921.3729641, 'first_graph_creation_time': 1524079921.1652575, 'start_time': 1524079920.9589663, 'node_count': 325, 'number_of_matches': 110, 'matching_time': 1524079921.4063325}
{'greatest_constraints_time': 1524079921.803866, 'graph_edge_sort_time': 1524079921.803231, 'second_graph_creation_time': 1524079921.7778602, 'first_graph_creation_time': 1524079921.5971663, 'start_time': 1524079921.4082568, 'node_count': 289, 'number_of_matches': 69, 'matching_time': 1524079921.805304}
{'greatest_constraints_time': 1524079922.2427816, 'graph_edge_sort_time': 1524079922.2422495, 'second_graph_creation_time': 1524079922.2143943, 'first_graph_creation_time': 1524079922.0087547, 'start_time': 1524079921.8056736, 'node_count': 322, 'number_of_matches': 78, 'matching_time': 1524079922.2446218}
{'greatest_constraints_time': 1524079922.632631, 'graph_edge_sort_time': 1524079922.6321104, 'second_graph_creation_time': 1524079922.60794, 'first_graph_creation_time': 1524079922.4295912, 'start_time': 1524079922.244951, 'node_count': 299, 'number_of_matches': 50, 'matching_time': 1524079922.6337492}
{'greatest_constraints_time': 1524079923.0013566, 'graph_edge_sort_time': 1524079923.0008626, 'second_graph_creation_time': 1524079922.97638, 'first_graph_creation_time': 1524079922.807769, 'start_time': 1524079922.6341028, 'node_count': 279, 'number_of_matches': 84, 'matching_time': 1524079923.0031958}
{'greatest_constraints_time': 1524079923.4046268, 'graph_edge_sort_time': 1524079923.4040055, 'second_graph_creation_time': 1524079923.3779786, 'first_graph_creation_time': 1524079923.19408, 'start_time': 1524079923.0035646, 'node_count': 293, 'number_of_matches': 88, 'matching_time': 1524079923.4068837}
{'greatest_constraints_time': 1524079923.830688, 'graph_edge_sort_time': 1524079923.8300416, 'second_graph_creation_time': 1524079923.801035, 'first_graph_creation_time': 1524079923.6036336, 'start_time': 1524079923.4072394, 'node_count': 312, 'number_of_matches': 109, 'matching_time': 1524079923.8331957}
{'greatest_constraints_time': 1524079924.2288427, 'graph_edge_sort_time': 1524079924.2283938, 'second_graph_creation_time': 1524079924.2041593, 'first_graph_creation_time': 1524079924.0227401, 'start_time': 1524079923.833652, 'node_count': 294, 'number_of_matches': 3, 'matching_time': 1524079924.2289214}
{'greatest_constraints_time': 1524079924.6257637, 'graph_edge_sort_time': 1524079924.6252606, 'second_graph_creation_time': 1524079924.6009674, 'first_graph_creation_time': 1524079924.4185655, 'start_time': 1524079924.2292554, 'node_count': 303, 'number_of_matches': 25, 'matching_time': 1524079924.6263015}
{'greatest_constraints_time': 1524079925.0121, 'graph_edge_sort_time': 1524079925.011597, 'second_graph_creation_time': 1524079924.9875162, 'first_graph_creation_time': 1524079924.8116035, 'start_time': 1524079924.6266418, 'node_count': 288, 'number_of_matches': 45, 'matching_time': 1524079925.0130112}
{'greatest_constraints_time': 1524079925.4419317, 'graph_edge_sort_time': 1524079925.441351, 'second_graph_creation_time': 1524079925.4148364, 'first_graph_creation_time': 1524079925.2155178, 'start_time': 1524079925.013357, 'node_count': 317, 'number_of_matches': 38, 'matching_time': 1524079925.4426901}
{'greatest_constraints_time': 1524079925.793692, 'graph_edge_sort_time': 1524079925.793069, 'second_graph_creation_time': 1524079925.7700927, 'first_graph_creation_time': 1524079925.61045, 'start_time': 1524079925.443053, 'node_count': 277, 'number_of_matches': 44, 'matching_time': 1524079925.7946162}
{'greatest_constraints_time': 1524079926.1839726, 'graph_edge_sort_time': 1524079926.183498, 'second_graph_creation_time': 1524079926.1592607, 'first_graph_creation_time': 1524079925.9801812, 'start_time': 1524079925.795126, 'node_count': 297, 'number_of_matches': 34, 'matching_time': 1524079926.1847005}
{'greatest_constraints_time': 1524079926.577881, 'graph_edge_sort_time': 1524079926.5772755, 'second_graph_creation_time': 1524079926.5518875, 'first_graph_creation_time': 1524079926.37043, 'start_time': 1524079926.1850784, 'node_count': 306, 'number_of_matches': 71, 'matching_time': 1524079926.5794523}
{'greatest_constraints_time': 1524079927.00655, 'graph_edge_sort_time': 1524079927.005871, 'second_graph_creation_time': 1524079926.9786344, 'first_graph_creation_time': 1524079926.7780097, 'start_time': 1524079926.5797663, 'node_count': 316, 'number_of_matches': 69, 'matching_time': 1524079927.0080156}
{'greatest_constraints_time': 1524079927.43511, 'graph_edge_sort_time': 1524079927.434614, 'second_graph_creation_time': 1524079927.408386, 'first_graph_creation_time': 1524079927.211329, 'start_time': 1524079927.008357, 'node_count': 314, 'number_of_matches': 38, 'matching_time': 1524079927.4359217}
{'greatest_constraints_time': 1524079927.8650799, 'graph_edge_sort_time': 1524079927.8644898, 'second_graph_creation_time': 1524079927.8373952, 'first_graph_creation_time': 1524079927.6370184, 'start_time': 1524079927.4362895, 'node_count': 315, 'number_of_matches': 82, 'matching_time': 1524079927.867016}
{'greatest_constraints_time': 1524079928.271815, 'graph_edge_sort_time': 1524079928.2712483, 'second_graph_creation_time': 1524079928.2468872, 'first_graph_creation_time': 1524079928.0568728, 'start_time': 1524079927.867364, 'node_count': 308, 'number_of_matches': 3, 'matching_time': 1524079928.2718883}
{'greatest_constraints_time': 1524079928.654565, 'graph_edge_sort_time': 1524079928.654041, 'second_graph_creation_time': 1524079928.6296124, 'first_graph_creation_time': 1524079928.453282, 'start_time': 1524079928.272227, 'node_count': 288, 'number_of_matches': 63, 'matching_time': 1524079928.6559663}
{'greatest_constraints_time': 1524079929.0193, 'graph_edge_sort_time': 1524079929.018835, 'second_graph_creation_time': 1524079928.9962883, 'first_graph_creation_time': 1524079928.8316138, 'start_time': 1524079928.656341, 'node_count': 283, 'number_of_matches': 17, 'matching_time': 1524079929.0196147}
{'greatest_constraints_time': 1524079929.4411569, 'graph_edge_sort_time': 1524079929.440586, 'second_graph_creation_time': 1524079929.4141586, 'first_graph_creation_time': 1524079929.2188308, 'start_time': 1524079929.019957, 'node_count': 315, 'number_of_matches': 63, 'matching_time': 1524079929.4425466}
{'greatest_constraints_time': 1524079929.8214264, 'graph_edge_sort_time': 1524079929.8207862, 'second_graph_creation_time': 1524079929.7967472, 'first_graph_creation_time': 1524079929.6203287, 'start_time': 1524079929.442869, 'node_count': 288, 'number_of_matches': 38, 'matching_time': 1524079929.8225577}
{'greatest_constraints_time': 1524079930.2183542, 'graph_edge_sort_time': 1524079930.217828, 'second_graph_creation_time': 1524079930.1928992, 'first_graph_creation_time': 1524079930.01082, 'start_time': 1524079929.8228724, 'node_count': 300, 'number_of_matches': 40, 'matching_time': 1524079930.219298}
