{'graph_edge_sort_time': 1524078449.3683455, 'start_time': 1524078449.3199623, 'number_of_matches': 170, 'node_count': 215, 'greatest_constraints_time': 1524078449.368768, 'second_graph_creation_time': 1524078449.3615768, 'first_graph_creation_time': 1524078449.3441162, 'matching_time': 1524078449.3716063}
{'graph_edge_sort_time': 1524078449.4198534, 'start_time': 1524078449.371893, 'number_of_matches': 152, 'node_count': 195, 'greatest_constraints_time': 1524078449.4202273, 'second_graph_creation_time': 1524078449.4138324, 'first_graph_creation_time': 1524078449.3961992, 'matching_time': 1524078449.42249}
{'graph_edge_sort_time': 1524078449.4734983, 'start_time': 1524078449.4228413, 'number_of_matches': 206, 'node_count': 215, 'greatest_constraints_time': 1524078449.4739377, 'second_graph_creation_time': 1524078449.4659379, 'first_graph_creation_time': 1524078449.4490747, 'matching_time': 1524078449.477506}
{'graph_edge_sort_time': 1524078449.5200248, 'start_time': 1524078449.4778526, 'number_of_matches': 141, 'node_count': 186, 'greatest_constraints_time': 1524078449.5203416, 'second_graph_creation_time': 1524078449.5150223, 'first_graph_creation_time': 1524078449.4994667, 'matching_time': 1524078449.5224864}
{'graph_edge_sort_time': 1524078449.5609138, 'start_time': 1524078449.5227735, 'number_of_matches': 176, 'node_count': 183, 'greatest_constraints_time': 1524078449.5612857, 'second_graph_creation_time': 1524078449.5548344, 'first_graph_creation_time': 1524078449.5424604, 'matching_time': 1524078449.563787}
{'graph_edge_sort_time': 1524078449.6062937, 'start_time': 1524078449.5640757, 'number_of_matches': 147, 'node_count': 180, 'greatest_constraints_time': 1524078449.6066272, 'second_graph_creation_time': 1524078449.6006784, 'first_graph_creation_time': 1524078449.5850365, 'matching_time': 1524078449.6087644}
{'graph_edge_sort_time': 1524078449.6590345, 'start_time': 1524078449.6090531, 'number_of_matches': 159, 'node_count': 210, 'greatest_constraints_time': 1524078449.6594312, 'second_graph_creation_time': 1524078449.6526735, 'first_graph_creation_time': 1524078449.6341136, 'matching_time': 1524078449.6620896}
{'graph_edge_sort_time': 1524078449.7043576, 'start_time': 1524078449.6624377, 'number_of_matches': 166, 'node_count': 187, 'greatest_constraints_time': 1524078449.704747, 'second_graph_creation_time': 1524078449.69774, 'first_graph_creation_time': 1524078449.6834037, 'matching_time': 1524078449.7074413}
{'graph_edge_sort_time': 1524078449.755542, 'start_time': 1524078449.7077317, 'number_of_matches': 178, 'node_count': 200, 'greatest_constraints_time': 1524078449.7559893, 'second_graph_creation_time': 1524078449.7486436, 'first_graph_creation_time': 1524078449.7319047, 'matching_time': 1524078449.7590785}
{'graph_edge_sort_time': 1524078449.7998912, 'start_time': 1524078449.7593644, 'number_of_matches': 178, 'node_count': 185, 'greatest_constraints_time': 1524078449.8002725, 'second_graph_creation_time': 1524078449.7937644, 'first_graph_creation_time': 1524078449.7797177, 'matching_time': 1524078449.8035994}
