{'matching_time': 1524078724.8611927, 'start_time': 1524078724.7064764, 'graph_edge_sort_time': 1524078724.8603024, 'number_of_matches': 40, 'first_graph_creation_time': 1524078724.7832866, 'greatest_constraints_time': 1524078724.860602, 'node_count': 209, 'second_graph_creation_time': 1524078724.8492053}
{'matching_time': 1524078725.0007691, 'start_time': 1524078724.8615284, 'graph_edge_sort_time': 1524078724.9999545, 'number_of_matches': 28, 'first_graph_creation_time': 1524078724.9303458, 'greatest_constraints_time': 1524078725.0003972, 'node_count': 187, 'second_graph_creation_time': 1524078724.99041}
{'matching_time': 1524078725.165847, 'start_time': 1524078725.0011334, 'graph_edge_sort_time': 1524078725.1648839, 'number_of_matches': 33, 'first_graph_creation_time': 1524078725.081444, 'greatest_constraints_time': 1524078725.1652033, 'node_count': 216, 'second_graph_creation_time': 1524078725.1532402}
{'matching_time': 1524078725.311319, 'start_time': 1524078725.166191, 'graph_edge_sort_time': 1524078725.3100758, 'number_of_matches': 61, 'first_graph_creation_time': 1524078725.2393732, 'greatest_constraints_time': 1524078725.3103795, 'node_count': 193, 'second_graph_creation_time': 1524078725.2995856}
{'matching_time': 1524078725.4481337, 'start_time': 1524078725.3116834, 'graph_edge_sort_time': 1524078725.447062, 'number_of_matches': 52, 'first_graph_creation_time': 1524078725.3795278, 'greatest_constraints_time': 1524078725.4473438, 'node_count': 185, 'second_graph_creation_time': 1524078725.4368224}
{'matching_time': 1524078725.5942616, 'start_time': 1524078725.4485247, 'graph_edge_sort_time': 1524078725.5932052, 'number_of_matches': 50, 'first_graph_creation_time': 1524078725.5199955, 'greatest_constraints_time': 1524078725.5935063, 'node_count': 193, 'second_graph_creation_time': 1524078725.5827146}
{'matching_time': 1524078725.7411585, 'start_time': 1524078725.5946054, 'graph_edge_sort_time': 1524078725.740108, 'number_of_matches': 48, 'first_graph_creation_time': 1524078725.6673598, 'greatest_constraints_time': 1524078725.7404273, 'node_count': 203, 'second_graph_creation_time': 1524078725.729388}
{'matching_time': 1524078725.9123657, 'start_time': 1524078725.7415292, 'graph_edge_sort_time': 1524078725.9109805, 'number_of_matches': 63, 'first_graph_creation_time': 1524078725.824176, 'greatest_constraints_time': 1524078725.9113507, 'node_count': 218, 'second_graph_creation_time': 1524078725.8986647}
{'matching_time': 1524078726.0560005, 'start_time': 1524078725.9145865, 'graph_edge_sort_time': 1524078726.0553763, 'number_of_matches': 26, 'first_graph_creation_time': 1524078725.985652, 'greatest_constraints_time': 1524078726.0556421, 'node_count': 191, 'second_graph_creation_time': 1524078726.045424}
{'matching_time': 1524078726.1952662, 'start_time': 1524078726.0563214, 'graph_edge_sort_time': 1524078726.1945376, 'number_of_matches': 31, 'first_graph_creation_time': 1524078726.1248057, 'greatest_constraints_time': 1524078726.1948102, 'node_count': 191, 'second_graph_creation_time': 1524078726.1843743}
