{'greatest_constraints_time': 1524080195.8887732, 'first_graph_creation_time': 1524080195.5419598, 'start_time': 1524080195.224575, 'matching_time': 1524080195.898374, 'number_of_matches': 240, 'graph_edge_sort_time': 1524080195.8878176, 'node_count': 283, 'second_graph_creation_time': 1524080195.827816}
{'greatest_constraints_time': 1524080196.54693, 'first_graph_creation_time': 1524080196.2118528, 'start_time': 1524080195.8987858, 'matching_time': 1524080196.5591037, 'number_of_matches': 276, 'graph_edge_sort_time': 1524080196.5459404, 'node_count': 282, 'second_graph_creation_time': 1524080196.4785657}
{'greatest_constraints_time': 1524080197.2197049, 'first_graph_creation_time': 1524080196.8725748, 'start_time': 1524080196.559492, 'matching_time': 1524080197.230451, 'number_of_matches': 259, 'graph_edge_sort_time': 1524080197.2185545, 'node_count': 283, 'second_graph_creation_time': 1524080197.1554046}
{'greatest_constraints_time': 1524080197.9489615, 'first_graph_creation_time': 1524080197.5762517, 'start_time': 1524080197.2324996, 'matching_time': 1524080197.9612117, 'number_of_matches': 281, 'graph_edge_sort_time': 1524080197.9478421, 'node_count': 298, 'second_graph_creation_time': 1524080197.8771734}
{'greatest_constraints_time': 1524080198.721066, 'first_graph_creation_time': 1524080198.3196125, 'start_time': 1524080197.9616196, 'matching_time': 1524080198.731203, 'number_of_matches': 243, 'graph_edge_sort_time': 1524080198.7200367, 'node_count': 305, 'second_graph_creation_time': 1524080198.6571553}
{'greatest_constraints_time': 1524080199.5193636, 'first_graph_creation_time': 1524080199.1062753, 'start_time': 1524080198.7315693, 'matching_time': 1524080199.531337, 'number_of_matches': 288, 'graph_edge_sort_time': 1524080199.518335, 'node_count': 318, 'second_graph_creation_time': 1524080199.4457371}
{'greatest_constraints_time': 1524080200.3031049, 'first_graph_creation_time': 1524080199.877121, 'start_time': 1524080199.5316844, 'matching_time': 1524080200.3108358, 'number_of_matches': 212, 'graph_edge_sort_time': 1524080200.3021433, 'node_count': 296, 'second_graph_creation_time': 1524080200.2462409}
{'greatest_constraints_time': 1524080201.1490953, 'first_graph_creation_time': 1524080200.7026017, 'start_time': 1524080200.311187, 'matching_time': 1524080201.1580534, 'number_of_matches': 230, 'graph_edge_sort_time': 1524080201.1480749, 'node_count': 326, 'second_graph_creation_time': 1524080201.0867572}
{'greatest_constraints_time': 1524080201.9910347, 'first_graph_creation_time': 1524080201.552498, 'start_time': 1524080201.1584418, 'matching_time': 1524080202.0061119, 'number_of_matches': 309, 'graph_edge_sort_time': 1524080201.9898174, 'node_count': 329, 'second_graph_creation_time': 1524080201.9103892}
{'greatest_constraints_time': 1524080202.6784713, 'first_graph_creation_time': 1524080202.3301532, 'start_time': 1524080202.006478, 'matching_time': 1524080202.6905558, 'number_of_matches': 278, 'graph_edge_sort_time': 1524080202.6773932, 'node_count': 288, 'second_graph_creation_time': 1524080202.6092205}
