{'matching_time': 1524076262.4664528, 'first_graph_creation_time': 1524076262.4531171, 'number_of_matches': 7, 'second_graph_creation_time': 1524076262.4642334, 'graph_edge_sort_time': 1524076262.4662871, 'greatest_constraints_time': 1524076262.466396, 'node_count': 90, 'start_time': 1524076262.437681}
{'matching_time': 1524076262.499701, 'first_graph_creation_time': 1524076262.4843616, 'number_of_matches': 29, 'second_graph_creation_time': 1524076262.4967208, 'graph_edge_sort_time': 1524076262.4992454, 'greatest_constraints_time': 1524076262.4993746, 'node_count': 102, 'start_time': 1524076262.46674}
{'matching_time': 1524076262.5345736, 'first_graph_creation_time': 1524076262.5186265, 'number_of_matches': 3, 'second_graph_creation_time': 1524076262.5318396, 'graph_edge_sort_time': 1524076262.5344238, 'greatest_constraints_time': 1524076262.5345373, 'node_count': 109, 'start_time': 1524076262.49997}
{'matching_time': 1524076262.5623806, 'first_graph_creation_time': 1524076262.5492017, 'number_of_matches': 12, 'second_graph_creation_time': 1524076262.5599928, 'graph_edge_sort_time': 1524076262.5621672, 'greatest_constraints_time': 1524076262.5622706, 'node_count': 90, 'start_time': 1524076262.5348372}
{'matching_time': 1524076262.5959098, 'first_graph_creation_time': 1524076262.580716, 'number_of_matches': 12, 'second_graph_creation_time': 1524076262.593152, 'graph_edge_sort_time': 1524076262.5956864, 'greatest_constraints_time': 1524076262.595805, 'node_count': 99, 'start_time': 1524076262.562679}
{'matching_time': 1524076262.627646, 'first_graph_creation_time': 1524076262.6125085, 'number_of_matches': 34, 'second_graph_creation_time': 1524076262.624089, 'graph_edge_sort_time': 1524076262.6269197, 'greatest_constraints_time': 1524076262.6270504, 'node_count': 95, 'start_time': 1524076262.596202}
{'matching_time': 1524076262.655838, 'first_graph_creation_time': 1524076262.6432414, 'number_of_matches': 1, 'second_graph_creation_time': 1524076262.6537046, 'graph_edge_sort_time': 1524076262.6557262, 'greatest_constraints_time': 1524076262.6558216, 'node_count': 91, 'start_time': 1524076262.62803}
{'matching_time': 1524076262.690986, 'first_graph_creation_time': 1524076262.6743443, 'number_of_matches': 37, 'second_graph_creation_time': 1524076262.6875436, 'graph_edge_sort_time': 1524076262.690387, 'greatest_constraints_time': 1524076262.6905305, 'node_count': 104, 'start_time': 1524076262.656183}
{'matching_time': 1524076262.7237787, 'first_graph_creation_time': 1524076262.7080734, 'number_of_matches': 18, 'second_graph_creation_time': 1524076262.720851, 'graph_edge_sort_time': 1524076262.723442, 'greatest_constraints_time': 1524076262.7235985, 'node_count': 104, 'start_time': 1524076262.6912858}
{'matching_time': 1524076262.75842, 'first_graph_creation_time': 1524076262.7419486, 'number_of_matches': 17, 'second_graph_creation_time': 1524076262.7553058, 'graph_edge_sort_time': 1524076262.7581234, 'greatest_constraints_time': 1524076262.758249, 'node_count': 109, 'start_time': 1524076262.7240763}
{'matching_time': 1524076262.7906754, 'first_graph_creation_time': 1524076262.7759554, 'number_of_matches': 20, 'second_graph_creation_time': 1524076262.7878036, 'graph_edge_sort_time': 1524076262.7903502, 'greatest_constraints_time': 1524076262.7904725, 'node_count': 103, 'start_time': 1524076262.7587457}
{'matching_time': 1524076262.8243697, 'first_graph_creation_time': 1524076262.8083737, 'number_of_matches': 13, 'second_graph_creation_time': 1524076262.8215625, 'graph_edge_sort_time': 1524076262.8241096, 'greatest_constraints_time': 1524076262.8242462, 'node_count': 107, 'start_time': 1524076262.7909555}
{'matching_time': 1524076262.8523052, 'first_graph_creation_time': 1524076262.8393831, 'number_of_matches': 29, 'second_graph_creation_time': 1524076262.8494875, 'graph_edge_sort_time': 1524076262.8517747, 'greatest_constraints_time': 1524076262.851934, 'node_count': 90, 'start_time': 1524076262.8247359}
{'matching_time': 1524076262.8870668, 'first_graph_creation_time': 1524076262.87099, 'number_of_matches': 3, 'second_graph_creation_time': 1524076262.8843617, 'graph_edge_sort_time': 1524076262.8869224, 'greatest_constraints_time': 1524076262.8870351, 'node_count': 109, 'start_time': 1524076262.8527832}
{'matching_time': 1524076262.9218872, 'first_graph_creation_time': 1524076262.905552, 'number_of_matches': 38, 'second_graph_creation_time': 1524076262.918655, 'graph_edge_sort_time': 1524076262.9212847, 'greatest_constraints_time': 1524076262.921433, 'node_count': 104, 'start_time': 1524076262.8874197}
{'matching_time': 1524076262.955597, 'first_graph_creation_time': 1524076262.9394345, 'number_of_matches': 25, 'second_graph_creation_time': 1524076262.952648, 'graph_edge_sort_time': 1524076262.9551907, 'greatest_constraints_time': 1524076262.9553182, 'node_count': 107, 'start_time': 1524076262.922188}
{'matching_time': 1524076262.9842637, 'first_graph_creation_time': 1524076262.9702787, 'number_of_matches': 29, 'second_graph_creation_time': 1524076262.981034, 'graph_edge_sort_time': 1524076262.9837456, 'greatest_constraints_time': 1524076262.9839509, 'node_count': 93, 'start_time': 1524076262.955866}
{'matching_time': 1524076263.0129402, 'first_graph_creation_time': 1524076262.9994195, 'number_of_matches': 12, 'second_graph_creation_time': 1524076263.0104554, 'graph_edge_sort_time': 1524076263.0126817, 'greatest_constraints_time': 1524076263.0128276, 'node_count': 94, 'start_time': 1524076262.984552}
{'matching_time': 1524076263.039992, 'first_graph_creation_time': 1524076263.0274062, 'number_of_matches': 20, 'second_graph_creation_time': 1524076263.0376232, 'graph_edge_sort_time': 1524076263.0396626, 'greatest_constraints_time': 1524076263.0397758, 'node_count': 90, 'start_time': 1524076263.0133884}
{'matching_time': 1524076263.069557, 'first_graph_creation_time': 1524076263.0557084, 'number_of_matches': 20, 'second_graph_creation_time': 1524076263.0669687, 'graph_edge_sort_time': 1524076263.0691924, 'greatest_constraints_time': 1524076263.0693548, 'node_count': 94, 'start_time': 1524076263.0403755}
{'matching_time': 1524076263.1023085, 'first_graph_creation_time': 1524076263.087644, 'number_of_matches': 21, 'second_graph_creation_time': 1524076263.0996284, 'graph_edge_sort_time': 1524076263.1019483, 'greatest_constraints_time': 1524076263.1020703, 'node_count': 96, 'start_time': 1524076263.0698373}
{'matching_time': 1524076263.1311905, 'first_graph_creation_time': 1524076263.1180177, 'number_of_matches': 22, 'second_graph_creation_time': 1524076263.1283314, 'graph_edge_sort_time': 1524076263.1306186, 'greatest_constraints_time': 1524076263.130823, 'node_count': 90, 'start_time': 1524076263.1026132}
{'matching_time': 1524076263.1636736, 'first_graph_creation_time': 1524076263.1483674, 'number_of_matches': 20, 'second_graph_creation_time': 1524076263.1608267, 'graph_edge_sort_time': 1524076263.1632092, 'greatest_constraints_time': 1524076263.1633413, 'node_count': 103, 'start_time': 1524076263.131518}
{'matching_time': 1524076263.1950004, 'first_graph_creation_time': 1524076263.180204, 'number_of_matches': 13, 'second_graph_creation_time': 1524076263.1921654, 'graph_edge_sort_time': 1524076263.1947432, 'greatest_constraints_time': 1524076263.194867, 'node_count': 100, 'start_time': 1524076263.164051}
