{'first_graph_creation_time': 1524076123.7418654, 'greatest_constraints_time': 1524076123.7674544, 'node_count': 102, 'start_time': 1524076123.7120218, 'graph_edge_sort_time': 1524076123.7669992, 'matching_time': 1524076123.7715456, 'number_of_matches': 102, 'second_graph_creation_time': 1524076123.758217}
{'first_graph_creation_time': 1524076123.8018239, 'greatest_constraints_time': 1524076123.8277829, 'node_count': 101, 'start_time': 1524076123.7720385, 'graph_edge_sort_time': 1524076123.8274066, 'matching_time': 1524076123.8317552, 'number_of_matches': 101, 'second_graph_creation_time': 1524076123.8191879}
{'first_graph_creation_time': 1524076123.8616903, 'greatest_constraints_time': 1524076123.8786674, 'node_count': 110, 'start_time': 1524076123.8321488, 'graph_edge_sort_time': 1524076123.8784053, 'matching_time': 1524076123.8810983, 'number_of_matches': 110, 'second_graph_creation_time': 1524076123.8728125}
{'first_graph_creation_time': 1524076123.900176, 'greatest_constraints_time': 1524076123.9161983, 'node_count': 110, 'start_time': 1524076123.8813977, 'graph_edge_sort_time': 1524076123.9159648, 'matching_time': 1524076123.918737, 'number_of_matches': 110, 'second_graph_creation_time': 1524076123.9107533}
{'first_graph_creation_time': 1524076123.9369023, 'greatest_constraints_time': 1524076123.9522195, 'node_count': 108, 'start_time': 1524076123.9190295, 'graph_edge_sort_time': 1524076123.9519908, 'matching_time': 1524076123.954554, 'number_of_matches': 108, 'second_graph_creation_time': 1524076123.9469192}
{'first_graph_creation_time': 1524076123.9733605, 'greatest_constraints_time': 1524076123.9885166, 'node_count': 108, 'start_time': 1524076123.954915, 'graph_edge_sort_time': 1524076123.9882615, 'matching_time': 1524076123.99097, 'number_of_matches': 108, 'second_graph_creation_time': 1524076123.9832656}
{'first_graph_creation_time': 1524076124.0094345, 'greatest_constraints_time': 1524076124.0277004, 'node_count': 109, 'start_time': 1524076123.9912648, 'graph_edge_sort_time': 1524076124.0274637, 'matching_time': 1524076124.030259, 'number_of_matches': 109, 'second_graph_creation_time': 1524076124.0223975}
{'first_graph_creation_time': 1524076124.0488937, 'greatest_constraints_time': 1524076124.0649416, 'node_count': 110, 'start_time': 1524076124.0305612, 'graph_edge_sort_time': 1524076124.0646994, 'matching_time': 1524076124.0673857, 'number_of_matches': 110, 'second_graph_creation_time': 1524076124.0593586}
{'first_graph_creation_time': 1524076124.0853403, 'greatest_constraints_time': 1524076124.1007628, 'node_count': 106, 'start_time': 1524076124.0676596, 'graph_edge_sort_time': 1524076124.1005256, 'matching_time': 1524076124.1029074, 'number_of_matches': 106, 'second_graph_creation_time': 1524076124.0953972}
{'first_graph_creation_time': 1524076124.1215737, 'greatest_constraints_time': 1524076124.137287, 'node_count': 107, 'start_time': 1524076124.1033077, 'graph_edge_sort_time': 1524076124.1370082, 'matching_time': 1524076124.1397417, 'number_of_matches': 107, 'second_graph_creation_time': 1524076124.1318476}
{'first_graph_creation_time': 1524076124.157548, 'greatest_constraints_time': 1524076124.1725209, 'node_count': 106, 'start_time': 1524076124.1401033, 'graph_edge_sort_time': 1524076124.1723056, 'matching_time': 1524076124.175237, 'number_of_matches': 106, 'second_graph_creation_time': 1524076124.1674907}
{'first_graph_creation_time': 1524076124.192017, 'greatest_constraints_time': 1524076124.2154763, 'node_count': 91, 'start_time': 1524076124.1756108, 'graph_edge_sort_time': 1524076124.2151093, 'matching_time': 1524076124.2194166, 'number_of_matches': 91, 'second_graph_creation_time': 1524076124.2073286}
{'first_graph_creation_time': 1524076124.2398915, 'greatest_constraints_time': 1524076124.262118, 'node_count': 97, 'start_time': 1524076124.2199068, 'graph_edge_sort_time': 1524076124.2618725, 'matching_time': 1524076124.2642636, 'number_of_matches': 97, 'second_graph_creation_time': 1524076124.255856}
{'first_graph_creation_time': 1524076124.2823763, 'greatest_constraints_time': 1524076124.296141, 'node_count': 93, 'start_time': 1524076124.2646737, 'graph_edge_sort_time': 1524076124.2959511, 'matching_time': 1524076124.2981021, 'number_of_matches': 93, 'second_graph_creation_time': 1524076124.2915797}
{'first_graph_creation_time': 1524076124.3216228, 'greatest_constraints_time': 1524076124.345464, 'node_count': 95, 'start_time': 1524076124.2984166, 'graph_edge_sort_time': 1524076124.3450894, 'matching_time': 1524076124.3490138, 'number_of_matches': 95, 'second_graph_creation_time': 1524076124.3370159}
{'first_graph_creation_time': 1524076124.3763602, 'greatest_constraints_time': 1524076124.399598, 'node_count': 91, 'start_time': 1524076124.34951, 'graph_edge_sort_time': 1524076124.3991518, 'matching_time': 1524076124.4035747, 'number_of_matches': 91, 'second_graph_creation_time': 1524076124.391297}
{'first_graph_creation_time': 1524076124.4238443, 'greatest_constraints_time': 1524076124.437376, 'node_count': 99, 'start_time': 1524076124.4040341, 'graph_edge_sort_time': 1524076124.4371243, 'matching_time': 1524076124.4414492, 'number_of_matches': 99, 'second_graph_creation_time': 1524076124.4325943}
{'first_graph_creation_time': 1524076124.4683976, 'greatest_constraints_time': 1524076124.4850826, 'node_count': 91, 'start_time': 1524076124.4419649, 'graph_edge_sort_time': 1524076124.4848657, 'matching_time': 1524076124.4870853, 'number_of_matches': 91, 'second_graph_creation_time': 1524076124.4807398}
