{'greatest_constraints_time': 1524079321.1111555, 'node_count': 311, 'number_of_matches': 129, 'second_graph_creation_time': 1524079321.1011453, 'graph_edge_sort_time': 1524079321.1106706, 'first_graph_creation_time': 1524079321.0524664, 'start_time': 1524079320.99636, 'matching_time': 1524079321.113714}
{'greatest_constraints_time': 1524079321.2389922, 'node_count': 301, 'number_of_matches': 152, 'second_graph_creation_time': 1524079321.2274556, 'graph_edge_sort_time': 1524079321.2383618, 'first_graph_creation_time': 1524079321.1733143, 'start_time': 1524079321.1140437, 'matching_time': 1524079321.2423348}
{'greatest_constraints_time': 1524079321.3680756, 'node_count': 316, 'number_of_matches': 134, 'second_graph_creation_time': 1524079321.3572805, 'graph_edge_sort_time': 1524079321.3675723, 'first_graph_creation_time': 1524079321.303096, 'start_time': 1524079321.2426634, 'matching_time': 1524079321.370959}
{'greatest_constraints_time': 1524079321.4965358, 'node_count': 318, 'number_of_matches': 196, 'second_graph_creation_time': 1524079321.4838386, 'graph_edge_sort_time': 1524079321.4960291, 'first_graph_creation_time': 1524079321.4313202, 'start_time': 1524079321.3712742, 'matching_time': 1524079321.5010219}
{'greatest_constraints_time': 1524079321.6206717, 'node_count': 305, 'number_of_matches': 154, 'second_graph_creation_time': 1524079321.609511, 'graph_edge_sort_time': 1524079321.620061, 'first_graph_creation_time': 1524079321.5593476, 'start_time': 1524079321.5013163, 'matching_time': 1524079321.6238925}
{'greatest_constraints_time': 1524079321.7682045, 'node_count': 305, 'number_of_matches': 133, 'second_graph_creation_time': 1524079321.7579198, 'graph_edge_sort_time': 1524079321.767733, 'first_graph_creation_time': 1524079321.6795187, 'start_time': 1524079321.6242187, 'matching_time': 1524079321.771141}
{'greatest_constraints_time': 1524079321.8984034, 'node_count': 324, 'number_of_matches': 116, 'second_graph_creation_time': 1524079321.8879476, 'graph_edge_sort_time': 1524079321.8979352, 'first_graph_creation_time': 1524079321.8323665, 'start_time': 1524079321.7714775, 'matching_time': 1524079321.9009671}
{'greatest_constraints_time': 1524079322.0216336, 'node_count': 312, 'number_of_matches': 178, 'second_graph_creation_time': 1524079322.009018, 'graph_edge_sort_time': 1524079322.0210369, 'first_graph_creation_time': 1524079321.9584503, 'start_time': 1524079321.901284, 'matching_time': 1524079322.025382}
{'greatest_constraints_time': 1524079322.145148, 'node_count': 319, 'number_of_matches': 191, 'second_graph_creation_time': 1524079322.1329312, 'graph_edge_sort_time': 1524079322.1446025, 'first_graph_creation_time': 1524079322.082777, 'start_time': 1524079322.025696, 'matching_time': 1524079322.1491625}
{'greatest_constraints_time': 1524079322.2596874, 'node_count': 287, 'number_of_matches': 115, 'second_graph_creation_time': 1524079322.2494156, 'graph_edge_sort_time': 1524079322.2592318, 'first_graph_creation_time': 1524079322.2014225, 'start_time': 1524079322.1494935, 'matching_time': 1524079322.2620893}
{'greatest_constraints_time': 1524079322.374114, 'node_count': 301, 'number_of_matches': 169, 'second_graph_creation_time': 1524079322.3631911, 'graph_edge_sort_time': 1524079322.3736231, 'first_graph_creation_time': 1524079322.3171918, 'start_time': 1524079322.2624133, 'matching_time': 1524079322.377556}
{'greatest_constraints_time': 1524079322.485259, 'node_count': 282, 'number_of_matches': 126, 'second_graph_creation_time': 1524079322.4753833, 'graph_edge_sort_time': 1524079322.4847872, 'first_graph_creation_time': 1524079322.430485, 'start_time': 1524079322.3778565, 'matching_time': 1524079322.4879556}
{'greatest_constraints_time': 1524079322.6112046, 'node_count': 317, 'number_of_matches': 134, 'second_graph_creation_time': 1524079322.599843, 'graph_edge_sort_time': 1524079322.6106076, 'first_graph_creation_time': 1524079322.5480452, 'start_time': 1524079322.4883196, 'matching_time': 1524079322.614322}
{'greatest_constraints_time': 1524079322.7254057, 'node_count': 297, 'number_of_matches': 128, 'second_graph_creation_time': 1524079322.7155628, 'graph_edge_sort_time': 1524079322.7249274, 'first_graph_creation_time': 1524079322.6674254, 'start_time': 1524079322.6146495, 'matching_time': 1524079322.7280123}
{'greatest_constraints_time': 1524079322.83883, 'node_count': 304, 'number_of_matches': 126, 'second_graph_creation_time': 1524079322.8286972, 'graph_edge_sort_time': 1524079322.8383708, 'first_graph_creation_time': 1524079322.7811308, 'start_time': 1524079322.7283263, 'matching_time': 1524079322.8414226}
{'greatest_constraints_time': 1524079322.9636312, 'node_count': 313, 'number_of_matches': 192, 'second_graph_creation_time': 1524079322.9511337, 'graph_edge_sort_time': 1524079322.9630208, 'first_graph_creation_time': 1524079322.9020138, 'start_time': 1524079322.8435712, 'matching_time': 1524079322.9678352}
{'greatest_constraints_time': 1524079323.0677352, 'node_count': 282, 'number_of_matches': 161, 'second_graph_creation_time': 1524079323.0575252, 'graph_edge_sort_time': 1524079323.0672486, 'first_graph_creation_time': 1524079323.0174196, 'start_time': 1524079322.9682064, 'matching_time': 1524079323.0711927}
{'greatest_constraints_time': 1524079323.1957662, 'node_count': 326, 'number_of_matches': 215, 'second_graph_creation_time': 1524079323.182149, 'graph_edge_sort_time': 1524079323.1951673, 'first_graph_creation_time': 1524079323.1302085, 'start_time': 1524079323.0716262, 'matching_time': 1524079323.200753}
{'greatest_constraints_time': 1524079323.30684, 'node_count': 284, 'number_of_matches': 158, 'second_graph_creation_time': 1524079323.2963247, 'graph_edge_sort_time': 1524079323.3063562, 'first_graph_creation_time': 1524079323.2536047, 'start_time': 1524079323.2011569, 'matching_time': 1524079323.3102021}
{'greatest_constraints_time': 1524079323.428345, 'node_count': 299, 'number_of_matches': 133, 'second_graph_creation_time': 1524079323.4172122, 'graph_edge_sort_time': 1524079323.4278452, 'first_graph_creation_time': 1524079323.3674169, 'start_time': 1524079323.3105705, 'matching_time': 1524079323.4311733}
{'greatest_constraints_time': 1524079323.5442152, 'node_count': 300, 'number_of_matches': 184, 'second_graph_creation_time': 1524079323.53217, 'graph_edge_sort_time': 1524079323.5436935, 'first_graph_creation_time': 1524079323.4862149, 'start_time': 1524079323.4315524, 'matching_time': 1524079323.5482678}
{'greatest_constraints_time': 1524079323.678172, 'node_count': 308, 'number_of_matches': 120, 'second_graph_creation_time': 1524079323.667632, 'graph_edge_sort_time': 1524079323.6777158, 'first_graph_creation_time': 1524079323.6114135, 'start_time': 1524079323.5486217, 'matching_time': 1524079323.6807165}
{'greatest_constraints_time': 1524079323.78243, 'node_count': 275, 'number_of_matches': 137, 'second_graph_creation_time': 1524079323.7731056, 'graph_edge_sort_time': 1524079323.781988, 'first_graph_creation_time': 1524079323.7305965, 'start_time': 1524079323.6810656, 'matching_time': 1524079323.7852502}
{'greatest_constraints_time': 1524079323.8862095, 'node_count': 276, 'number_of_matches': 179, 'second_graph_creation_time': 1524079323.87552, 'graph_edge_sort_time': 1524079323.88562, 'first_graph_creation_time': 1524079323.8346272, 'start_time': 1524079323.7856166, 'matching_time': 1524079323.890046}
{'greatest_constraints_time': 1524079324.0160084, 'node_count': 329, 'number_of_matches': 156, 'second_graph_creation_time': 1524079324.0042589, 'graph_edge_sort_time': 1524079324.0154436, 'first_graph_creation_time': 1524079323.9512534, 'start_time': 1524079323.8904243, 'matching_time': 1524079324.0196586}
{'greatest_constraints_time': 1524079324.1354442, 'node_count': 312, 'number_of_matches': 195, 'second_graph_creation_time': 1524079324.123257, 'graph_edge_sort_time': 1524079324.134815, 'first_graph_creation_time': 1524079324.07562, 'start_time': 1524079324.0200524, 'matching_time': 1524079324.1397402}
{'greatest_constraints_time': 1524079324.260023, 'node_count': 296, 'number_of_matches': 130, 'second_graph_creation_time': 1524079324.2496722, 'graph_edge_sort_time': 1524079324.2596052, 'first_graph_creation_time': 1524079324.1993952, 'start_time': 1524079324.1401024, 'matching_time': 1524079324.262799}
{'greatest_constraints_time': 1524079324.3913376, 'node_count': 322, 'number_of_matches': 144, 'second_graph_creation_time': 1524079324.3799288, 'graph_edge_sort_time': 1524079324.39085, 'first_graph_creation_time': 1524079324.325184, 'start_time': 1524079324.2631755, 'matching_time': 1524079324.394454}
{'greatest_constraints_time': 1524079324.507256, 'node_count': 295, 'number_of_matches': 199, 'second_graph_creation_time': 1524079324.4949453, 'graph_edge_sort_time': 1524079324.5067065, 'first_graph_creation_time': 1524079324.449265, 'start_time': 1524079324.3947554, 'matching_time': 1524079324.5116305}
{'greatest_constraints_time': 1524079324.6454802, 'node_count': 329, 'number_of_matches': 193, 'second_graph_creation_time': 1524079324.6320055, 'graph_edge_sort_time': 1524079324.644901, 'first_graph_creation_time': 1524079324.5757084, 'start_time': 1524079324.5119615, 'matching_time': 1524079324.6497147}
{'greatest_constraints_time': 1524079324.771051, 'node_count': 304, 'number_of_matches': 134, 'second_graph_creation_time': 1524079324.759926, 'graph_edge_sort_time': 1524079324.7704272, 'first_graph_creation_time': 1524079324.7096126, 'start_time': 1524079324.6500947, 'matching_time': 1524079324.7740762}
{'greatest_constraints_time': 1524079324.8903637, 'node_count': 302, 'number_of_matches': 165, 'second_graph_creation_time': 1524079324.878937, 'graph_edge_sort_time': 1524079324.8898413, 'first_graph_creation_time': 1524079324.830013, 'start_time': 1524079324.774452, 'matching_time': 1524079324.8937998}
{'greatest_constraints_time': 1524079324.9945612, 'node_count': 272, 'number_of_matches': 138, 'second_graph_creation_time': 1524079324.985496, 'graph_edge_sort_time': 1524079324.9941235, 'first_graph_creation_time': 1524079324.9431367, 'start_time': 1524079324.8941734, 'matching_time': 1524079324.9972916}
{'greatest_constraints_time': 1524079325.119375, 'node_count': 319, 'number_of_matches': 176, 'second_graph_creation_time': 1524079325.1069376, 'graph_edge_sort_time': 1524079325.1188273, 'first_graph_creation_time': 1524079325.055952, 'start_time': 1524079324.997665, 'matching_time': 1524079325.123166}
{'greatest_constraints_time': 1524079325.2442293, 'node_count': 317, 'number_of_matches': 186, 'second_graph_creation_time': 1524079325.2327142, 'graph_edge_sort_time': 1524079325.2437193, 'first_graph_creation_time': 1524079325.1828244, 'start_time': 1524079325.123513, 'matching_time': 1524079325.2481987}
{'greatest_constraints_time': 1524079325.3831108, 'node_count': 329, 'number_of_matches': 145, 'second_graph_creation_time': 1524079325.3705604, 'graph_edge_sort_time': 1524079325.3824694, 'first_graph_creation_time': 1524079325.3119123, 'start_time': 1524079325.24854, 'matching_time': 1524079325.3868382}
