{'first_graph_creation_time': 1524079066.0072722, 'number_of_matches': 59, 'matching_time': 1524079066.1460154, 'greatest_constraints_time': 1524079066.14491, 'second_graph_creation_time': 1524079066.126836, 'graph_edge_sort_time': 1524079066.1445282, 'start_time': 1524079065.8761783, 'node_count': 202}
{'first_graph_creation_time': 1524079066.2588603, 'number_of_matches': 6, 'matching_time': 1524079066.369329, 'greatest_constraints_time': 1524079066.3692472, 'second_graph_creation_time': 1524079066.3542695, 'graph_edge_sort_time': 1524079066.3689675, 'start_time': 1524079066.1463494, 'node_count': 186}
{'first_graph_creation_time': 1524079066.5040386, 'number_of_matches': 10, 'matching_time': 1524079066.6376126, 'greatest_constraints_time': 1524079066.6374116, 'second_graph_creation_time': 1524079066.6202326, 'graph_edge_sort_time': 1524079066.6371036, 'start_time': 1524079066.3696573, 'node_count': 205}
{'first_graph_creation_time': 1524079066.7720795, 'number_of_matches': 13, 'matching_time': 1524079066.9032283, 'greatest_constraints_time': 1524079066.9030223, 'second_graph_creation_time': 1524079066.8863745, 'graph_edge_sort_time': 1524079066.9027247, 'start_time': 1524079066.6379962, 'node_count': 201}
{'first_graph_creation_time': 1524079067.0258164, 'number_of_matches': 73, 'matching_time': 1524079067.1504645, 'greatest_constraints_time': 1524079067.1489854, 'second_graph_creation_time': 1524079067.1313987, 'graph_edge_sort_time': 1524079067.1486623, 'start_time': 1524079066.903549, 'node_count': 192}
{'first_graph_creation_time': 1524079067.2871602, 'number_of_matches': 6, 'matching_time': 1524079067.4217563, 'greatest_constraints_time': 1524079067.4216526, 'second_graph_creation_time': 1524079067.404509, 'graph_edge_sort_time': 1524079067.4213293, 'start_time': 1524079067.1507933, 'node_count': 208}
{'first_graph_creation_time': 1524079067.5430772, 'number_of_matches': 51, 'matching_time': 1524079067.669685, 'greatest_constraints_time': 1524079067.668768, 'second_graph_creation_time': 1524079067.651919, 'graph_edge_sort_time': 1524079067.6683815, 'start_time': 1524079067.422269, 'node_count': 191}
{'first_graph_creation_time': 1524079067.805649, 'number_of_matches': 27, 'matching_time': 1524079067.938861, 'greatest_constraints_time': 1524079067.938405, 'second_graph_creation_time': 1524079067.9209905, 'graph_edge_sort_time': 1524079067.9380858, 'start_time': 1524079067.6700342, 'node_count': 202}
{'first_graph_creation_time': 1524079068.0750077, 'number_of_matches': 50, 'matching_time': 1524079068.21281, 'greatest_constraints_time': 1524079068.2118554, 'second_graph_creation_time': 1524079068.1940048, 'graph_edge_sort_time': 1524079068.21149, 'start_time': 1524079067.9391828, 'node_count': 205}
{'first_graph_creation_time': 1524079068.3493443, 'number_of_matches': 9, 'matching_time': 1524079068.4818769, 'greatest_constraints_time': 1524079068.481763, 'second_graph_creation_time': 1524079068.4649694, 'graph_edge_sort_time': 1524079068.481447, 'start_time': 1524079068.2131188, 'node_count': 203}
{'first_graph_creation_time': 1524079068.604531, 'number_of_matches': 54, 'matching_time': 1524079068.728331, 'greatest_constraints_time': 1524079068.7272522, 'second_graph_creation_time': 1524079068.710165, 'graph_edge_sort_time': 1524079068.726896, 'start_time': 1524079068.4822283, 'node_count': 192}
{'first_graph_creation_time': 1524079068.857193, 'number_of_matches': 52, 'matching_time': 1524079068.9848602, 'greatest_constraints_time': 1524079068.983804, 'second_graph_creation_time': 1524079068.966634, 'graph_edge_sort_time': 1524079068.9833457, 'start_time': 1524079068.7287166, 'node_count': 196}
{'first_graph_creation_time': 1524079069.106478, 'number_of_matches': 9, 'matching_time': 1524079069.2291176, 'greatest_constraints_time': 1524079069.2289908, 'second_graph_creation_time': 1524079069.2134721, 'graph_edge_sort_time': 1524079069.2287004, 'start_time': 1524079068.9852822, 'node_count': 192}
{'first_graph_creation_time': 1524079069.3481166, 'number_of_matches': 8, 'matching_time': 1524079069.46314, 'greatest_constraints_time': 1524079069.4630485, 'second_graph_creation_time': 1524079069.447808, 'graph_edge_sort_time': 1524079069.4627688, 'start_time': 1524079069.229433, 'node_count': 188}
{'first_graph_creation_time': 1524079069.58293, 'number_of_matches': 32, 'matching_time': 1524079069.702167, 'greatest_constraints_time': 1524079069.7016616, 'second_graph_creation_time': 1524079069.6858218, 'graph_edge_sort_time': 1524079069.701362, 'start_time': 1524079069.4634726, 'node_count': 190}
{'first_graph_creation_time': 1524079069.830968, 'number_of_matches': 28, 'matching_time': 1524079069.952042, 'greatest_constraints_time': 1524079069.9515636, 'second_graph_creation_time': 1524079069.93535, 'graph_edge_sort_time': 1524079069.9512577, 'start_time': 1524079069.7042708, 'node_count': 193}
{'first_graph_creation_time': 1524079070.0957398, 'number_of_matches': 2, 'matching_time': 1524079070.2413387, 'greatest_constraints_time': 1524079070.2413156, 'second_graph_creation_time': 1524079070.2233825, 'graph_edge_sort_time': 1524079070.2409594, 'start_time': 1524079069.9523642, 'node_count': 217}
{'first_graph_creation_time': 1524079070.3698678, 'number_of_matches': 7, 'matching_time': 1524079070.4966762, 'greatest_constraints_time': 1524079070.4965813, 'second_graph_creation_time': 1524079070.479516, 'graph_edge_sort_time': 1524079070.4962966, 'start_time': 1524079070.241703, 'node_count': 197}
{'first_graph_creation_time': 1524079070.6093233, 'number_of_matches': 5, 'matching_time': 1524079070.7202551, 'greatest_constraints_time': 1524079070.7201853, 'second_graph_creation_time': 1524079070.705363, 'graph_edge_sort_time': 1524079070.7199082, 'start_time': 1524079070.4970505, 'node_count': 184}
{'first_graph_creation_time': 1524079070.880052, 'number_of_matches': 56, 'matching_time': 1524079071.0188012, 'greatest_constraints_time': 1524079071.0177987, 'second_graph_creation_time': 1524079070.9992795, 'graph_edge_sort_time': 1524079071.0174282, 'start_time': 1524079070.7205806, 'node_count': 204}
{'first_graph_creation_time': 1524079071.1398861, 'number_of_matches': 50, 'matching_time': 1524079071.2646503, 'greatest_constraints_time': 1524079071.2637484, 'second_graph_creation_time': 1524079071.2474668, 'graph_edge_sort_time': 1524079071.2634044, 'start_time': 1524079071.019126, 'node_count': 191}
