{'graph_edge_sort_time': 1524076009.4802, 'node_count': 96, 'matching_time': 1524076009.4810057, 'greatest_constraints_time': 1524076009.4804227, 'first_graph_creation_time': 1524076009.4726603, 'second_graph_creation_time': 1524076009.477463, 'start_time': 1524076009.466695, 'number_of_matches': 84}
{'graph_edge_sort_time': 1524076009.4919722, 'node_count': 98, 'matching_time': 1524076009.4928021, 'greatest_constraints_time': 1524076009.4922414, 'first_graph_creation_time': 1524076009.4864986, 'second_graph_creation_time': 1524076009.4897194, 'start_time': 1524076009.481303, 'number_of_matches': 75}
{'graph_edge_sort_time': 1524076009.5057883, 'node_count': 108, 'matching_time': 1524076009.5064857, 'greatest_constraints_time': 1524076009.505957, 'first_graph_creation_time': 1524076009.500038, 'second_graph_creation_time': 1524076009.5040941, 'start_time': 1524076009.4930737, 'number_of_matches': 80}
{'graph_edge_sort_time': 1524076009.5193095, 'node_count': 105, 'matching_time': 1524076009.5199947, 'greatest_constraints_time': 1524076009.5194867, 'first_graph_creation_time': 1524076009.513307, 'second_graph_creation_time': 1524076009.51781, 'start_time': 1524076009.5067387, 'number_of_matches': 87}
{'graph_edge_sort_time': 1524076009.5295255, 'node_count': 96, 'matching_time': 1524076009.530109, 'greatest_constraints_time': 1524076009.5296786, 'first_graph_creation_time': 1524076009.524847, 'second_graph_creation_time': 1524076009.5281706, 'start_time': 1524076009.520265, 'number_of_matches': 70}
{'graph_edge_sort_time': 1524076009.5407898, 'node_count': 92, 'matching_time': 1524076009.5415173, 'greatest_constraints_time': 1524076009.5409563, 'first_graph_creation_time': 1524076009.5360925, 'second_graph_creation_time': 1524076009.539215, 'start_time': 1524076009.530368, 'number_of_matches': 91}
{'graph_edge_sort_time': 1524076009.5514686, 'node_count': 96, 'matching_time': 1524076009.552113, 'greatest_constraints_time': 1524076009.551625, 'first_graph_creation_time': 1524076009.5469306, 'second_graph_creation_time': 1524076009.5498648, 'start_time': 1524076009.5417767, 'number_of_matches': 87}
{'graph_edge_sort_time': 1524076009.561042, 'node_count': 92, 'matching_time': 1524076009.561608, 'greatest_constraints_time': 1524076009.5612073, 'first_graph_creation_time': 1524076009.5567179, 'second_graph_creation_time': 1524076009.5597956, 'start_time': 1524076009.5523334, 'number_of_matches': 72}
{'graph_edge_sort_time': 1524076009.5727258, 'node_count': 98, 'matching_time': 1524076009.5734062, 'greatest_constraints_time': 1524076009.5729, 'first_graph_creation_time': 1524076009.5683599, 'second_graph_creation_time': 1524076009.571225, 'start_time': 1524076009.5618181, 'number_of_matches': 84}
{'graph_edge_sort_time': 1524076009.584151, 'node_count': 104, 'matching_time': 1524076009.5847778, 'greatest_constraints_time': 1524076009.584314, 'first_graph_creation_time': 1524076009.579137, 'second_graph_creation_time': 1524076009.582642, 'start_time': 1524076009.5736508, 'number_of_matches': 77}
