{'graph_edge_sort_time': 1524076039.7624352, 'first_graph_creation_time': 1524076039.7566779, 'node_count': 106, 'second_graph_creation_time': 1524076039.761023, 'start_time': 1524076039.7509394, 'greatest_constraints_time': 1524076039.7626565, 'number_of_matches': 53, 'matching_time': 1524076039.7630243}
{'graph_edge_sort_time': 1524076039.77257, 'first_graph_creation_time': 1524076039.7683094, 'node_count': 93, 'second_graph_creation_time': 1524076039.771352, 'start_time': 1524076039.7633457, 'greatest_constraints_time': 1524076039.772777, 'number_of_matches': 59, 'matching_time': 1524076039.7731216}
{'graph_edge_sort_time': 1524076039.792291, 'first_graph_creation_time': 1524076039.7798016, 'node_count': 91, 'second_graph_creation_time': 1524076039.7899556, 'start_time': 1524076039.7734234, 'greatest_constraints_time': 1524076039.7925189, 'number_of_matches': 39, 'matching_time': 1524076039.7931116}
{'graph_edge_sort_time': 1524076039.804866, 'first_graph_creation_time': 1524076039.7995548, 'node_count': 97, 'second_graph_creation_time': 1524076039.8036819, 'start_time': 1524076039.7936165, 'greatest_constraints_time': 1524076039.804992, 'number_of_matches': 41, 'matching_time': 1524076039.8052647}
{'graph_edge_sort_time': 1524076039.815592, 'first_graph_creation_time': 1524076039.8104446, 'node_count': 106, 'second_graph_creation_time': 1524076039.814341, 'start_time': 1524076039.8055322, 'greatest_constraints_time': 1524076039.8157325, 'number_of_matches': 37, 'matching_time': 1524076039.8161116}
{'graph_edge_sort_time': 1524076039.8262033, 'first_graph_creation_time': 1524076039.8214955, 'node_count': 96, 'second_graph_creation_time': 1524076039.825033, 'start_time': 1524076039.8163316, 'greatest_constraints_time': 1524076039.8263273, 'number_of_matches': 44, 'matching_time': 1524076039.8266122}
{'graph_edge_sort_time': 1524076039.8383753, 'first_graph_creation_time': 1524076039.832886, 'node_count': 101, 'second_graph_creation_time': 1524076039.837324, 'start_time': 1524076039.8268096, 'greatest_constraints_time': 1524076039.8385034, 'number_of_matches': 33, 'matching_time': 1524076039.838744}
{'graph_edge_sort_time': 1524076039.851238, 'first_graph_creation_time': 1524076039.8448625, 'node_count': 110, 'second_graph_creation_time': 1524076039.8491774, 'start_time': 1524076039.8390172, 'greatest_constraints_time': 1524076039.8514655, 'number_of_matches': 76, 'matching_time': 1524076039.8520503}
{'graph_edge_sort_time': 1524076039.8640358, 'first_graph_creation_time': 1524076039.8584518, 'node_count': 109, 'second_graph_creation_time': 1524076039.8627822, 'start_time': 1524076039.8524215, 'greatest_constraints_time': 1524076039.8641732, 'number_of_matches': 44, 'matching_time': 1524076039.8644884}
{'graph_edge_sort_time': 1524076039.8748105, 'first_graph_creation_time': 1524076039.8703012, 'node_count': 91, 'second_graph_creation_time': 1524076039.8735924, 'start_time': 1524076039.8649325, 'greatest_constraints_time': 1524076039.8749492, 'number_of_matches': 61, 'matching_time': 1524076039.8753214}
{'graph_edge_sort_time': 1524076039.88762, 'first_graph_creation_time': 1524076039.8815472, 'node_count': 110, 'second_graph_creation_time': 1524076039.8862653, 'start_time': 1524076039.8756523, 'greatest_constraints_time': 1524076039.8877711, 'number_of_matches': 61, 'matching_time': 1524076039.888187}
{'graph_edge_sort_time': 1524076039.898919, 'first_graph_creation_time': 1524076039.8937101, 'node_count': 97, 'second_graph_creation_time': 1524076039.897329, 'start_time': 1524076039.8884232, 'greatest_constraints_time': 1524076039.8990679, 'number_of_matches': 64, 'matching_time': 1524076039.8995726}
{'graph_edge_sort_time': 1524076039.91045, 'first_graph_creation_time': 1524076039.905328, 'node_count': 96, 'second_graph_creation_time': 1524076039.9091063, 'start_time': 1524076039.8998437, 'greatest_constraints_time': 1524076039.910641, 'number_of_matches': 52, 'matching_time': 1524076039.9110608}
