{'second_graph_creation_time': 1524078551.5430553, 'node_count': 216, 'first_graph_creation_time': 1524078551.4827027, 'matching_time': 1524078551.5719638, 'start_time': 1524078551.4003284, 'graph_edge_sort_time': 1524078551.5659626, 'number_of_matches': 216, 'greatest_constraints_time': 1524078551.566703}
{'second_graph_creation_time': 1524078551.6972408, 'node_count': 192, 'first_graph_creation_time': 1524078551.6464612, 'matching_time': 1524078551.7217522, 'start_time': 1524078551.5723333, 'graph_edge_sort_time': 1524078551.716672, 'number_of_matches': 192, 'greatest_constraints_time': 1524078551.7172}
{'second_graph_creation_time': 1524078551.8351018, 'node_count': 181, 'first_graph_creation_time': 1524078551.7906075, 'matching_time': 1524078551.8576527, 'start_time': 1524078551.7220933, 'graph_edge_sort_time': 1524078551.853356, 'number_of_matches': 181, 'greatest_constraints_time': 1524078551.8538249}
{'second_graph_creation_time': 1524078551.9844947, 'node_count': 193, 'first_graph_creation_time': 1524078551.934105, 'matching_time': 1524078552.0079792, 'start_time': 1524078551.8579721, 'graph_edge_sort_time': 1524078552.0035448, 'number_of_matches': 193, 'greatest_constraints_time': 1524078552.0040112}
{'second_graph_creation_time': 1524078552.1257503, 'node_count': 191, 'first_graph_creation_time': 1524078552.0780854, 'matching_time': 1524078552.1495001, 'start_time': 1524078552.0083272, 'graph_edge_sort_time': 1524078552.144662, 'number_of_matches': 191, 'greatest_constraints_time': 1524078552.145144}
{'second_graph_creation_time': 1524078552.2835517, 'node_count': 208, 'first_graph_creation_time': 1524078552.2268772, 'matching_time': 1524078552.30933, 'start_time': 1524078552.1499166, 'graph_edge_sort_time': 1524078552.3042414, 'number_of_matches': 208, 'greatest_constraints_time': 1524078552.3048444}
{'second_graph_creation_time': 1524078552.4425128, 'node_count': 212, 'first_graph_creation_time': 1524078552.3878152, 'matching_time': 1524078552.469053, 'start_time': 1524078552.3096662, 'graph_edge_sort_time': 1524078552.4634228, 'number_of_matches': 212, 'greatest_constraints_time': 1524078552.4639587}
{'second_graph_creation_time': 1524078552.5867305, 'node_count': 188, 'first_graph_creation_time': 1524078552.539694, 'matching_time': 1524078552.609686, 'start_time': 1524078552.4694118, 'graph_edge_sort_time': 1524078552.6052644, 'number_of_matches': 188, 'greatest_constraints_time': 1524078552.605718}
{'second_graph_creation_time': 1524078552.7487776, 'node_count': 213, 'first_graph_creation_time': 1524078552.6936998, 'matching_time': 1524078552.7755222, 'start_time': 1524078552.6119049, 'graph_edge_sort_time': 1524078552.7702727, 'number_of_matches': 213, 'greatest_constraints_time': 1524078552.770824}
{'second_graph_creation_time': 1524078552.9060724, 'node_count': 204, 'first_graph_creation_time': 1524078552.8527863, 'matching_time': 1524078552.9319348, 'start_time': 1524078552.7758412, 'graph_edge_sort_time': 1524078552.9266925, 'number_of_matches': 204, 'greatest_constraints_time': 1524078552.927266}
{'second_graph_creation_time': 1524078553.068345, 'node_count': 217, 'first_graph_creation_time': 1524078553.0116043, 'matching_time': 1524078553.0958877, 'start_time': 1524078552.9322438, 'graph_edge_sort_time': 1524078553.0907414, 'number_of_matches': 217, 'greatest_constraints_time': 1524078553.091332}
{'second_graph_creation_time': 1524078553.2294393, 'node_count': 203, 'first_graph_creation_time': 1524078553.1750946, 'matching_time': 1524078553.2558212, 'start_time': 1524078553.0962157, 'graph_edge_sort_time': 1524078553.2507417, 'number_of_matches': 203, 'greatest_constraints_time': 1524078553.2512708}
{'second_graph_creation_time': 1524078553.3794627, 'node_count': 200, 'first_graph_creation_time': 1524078553.3290584, 'matching_time': 1524078553.4039123, 'start_time': 1524078553.2562246, 'graph_edge_sort_time': 1524078553.398977, 'number_of_matches': 200, 'greatest_constraints_time': 1524078553.399463}
