{'graph_edge_sort_time': 1524079370.237584, 'first_graph_creation_time': 1524079370.1779678, 'matching_time': 1524079370.238477, 'node_count': 323, 'greatest_constraints_time': 1524079370.2379818, 'start_time': 1524079370.1188111, 'second_graph_creation_time': 1524079370.228882, 'number_of_matches': 18}
{'graph_edge_sort_time': 1524079370.341282, 'first_graph_creation_time': 1524079370.2890112, 'matching_time': 1524079370.342736, 'node_count': 270, 'greatest_constraints_time': 1524079370.34162, 'start_time': 1524079370.2388494, 'second_graph_creation_time': 1524079370.3330681, 'number_of_matches': 59}
{'graph_edge_sort_time': 1524079370.4508228, 'first_graph_creation_time': 1524079370.396707, 'matching_time': 1524079370.4520907, 'node_count': 317, 'greatest_constraints_time': 1524079370.4512103, 'start_time': 1524079370.3431127, 'second_graph_creation_time': 1524079370.442685, 'number_of_matches': 39}
{'graph_edge_sort_time': 1524079370.5536697, 'first_graph_creation_time': 1524079370.5025802, 'matching_time': 1524079370.5547798, 'node_count': 276, 'greatest_constraints_time': 1524079370.554093, 'start_time': 1524079370.452417, 'second_graph_creation_time': 1524079370.5454977, 'number_of_matches': 33}
{'graph_edge_sort_time': 1524079370.679685, 'first_graph_creation_time': 1524079370.615396, 'matching_time': 1524079370.6812606, 'node_count': 315, 'greatest_constraints_time': 1524079370.6800883, 'start_time': 1524079370.5551457, 'second_graph_creation_time': 1524079370.6704304, 'number_of_matches': 55}
{'graph_edge_sort_time': 1524079370.7859714, 'first_graph_creation_time': 1524079370.7321432, 'matching_time': 1524079370.7865717, 'node_count': 286, 'greatest_constraints_time': 1524079370.7863173, 'start_time': 1524079370.6816251, 'second_graph_creation_time': 1524079370.7778192, 'number_of_matches': 12}
{'graph_edge_sort_time': 1524079370.921813, 'first_graph_creation_time': 1524079370.841815, 'matching_time': 1524079370.9230676, 'node_count': 307, 'greatest_constraints_time': 1524079370.922177, 'start_time': 1524079370.7869282, 'second_graph_creation_time': 1524079370.9132595, 'number_of_matches': 42}
{'graph_edge_sort_time': 1524079371.0429118, 'first_graph_creation_time': 1524079370.981136, 'matching_time': 1524079371.0451567, 'node_count': 319, 'greatest_constraints_time': 1524079371.0433347, 'start_time': 1524079370.923448, 'second_graph_creation_time': 1524079371.033611, 'number_of_matches': 85}
{'graph_edge_sort_time': 1524079371.1711357, 'first_graph_creation_time': 1524079371.1070747, 'matching_time': 1524079371.1736357, 'node_count': 307, 'greatest_constraints_time': 1524079371.1716924, 'start_time': 1524079371.0454545, 'second_graph_creation_time': 1524079371.1608665, 'number_of_matches': 91}
{'graph_edge_sort_time': 1524079371.2954643, 'first_graph_creation_time': 1524079371.2339828, 'matching_time': 1524079371.2966323, 'node_count': 303, 'greatest_constraints_time': 1524079371.2958324, 'start_time': 1524079371.173969, 'second_graph_creation_time': 1524079371.2865992, 'number_of_matches': 38}
{'graph_edge_sort_time': 1524079371.422605, 'first_graph_creation_time': 1524079371.3564656, 'matching_time': 1524079371.424533, 'node_count': 321, 'greatest_constraints_time': 1524079371.423044, 'start_time': 1524079371.2970095, 'second_graph_creation_time': 1524079371.41283, 'number_of_matches': 73}
{'graph_edge_sort_time': 1524079371.52677, 'first_graph_creation_time': 1524079371.4746628, 'matching_time': 1524079371.52848, 'node_count': 294, 'greatest_constraints_time': 1524079371.527195, 'start_time': 1524079371.424917, 'second_graph_creation_time': 1524079371.5186656, 'number_of_matches': 67}
{'graph_edge_sort_time': 1524079371.6491694, 'first_graph_creation_time': 1524079371.5878575, 'matching_time': 1524079371.649763, 'node_count': 329, 'greatest_constraints_time': 1524079371.6495469, 'start_time': 1524079371.528842, 'second_graph_creation_time': 1524079371.6402333, 'number_of_matches': 9}
{'graph_edge_sort_time': 1524079371.768694, 'first_graph_creation_time': 1524079371.7083364, 'matching_time': 1524079371.7692363, 'node_count': 330, 'greatest_constraints_time': 1524079371.7690675, 'start_time': 1524079371.6501315, 'second_graph_creation_time': 1524079371.7599163, 'number_of_matches': 8}
{'graph_edge_sort_time': 1524079371.8766556, 'first_graph_creation_time': 1524079371.8205528, 'matching_time': 1524079371.8787131, 'node_count': 289, 'greatest_constraints_time': 1524079371.8770308, 'start_time': 1524079371.7695737, 'second_graph_creation_time': 1524079371.86787, 'number_of_matches': 84}
{'graph_edge_sort_time': 1524079371.9831998, 'first_graph_creation_time': 1524079371.9300876, 'matching_time': 1524079371.9851503, 'node_count': 289, 'greatest_constraints_time': 1524079371.9837344, 'start_time': 1524079371.879093, 'second_graph_creation_time': 1524079371.9747138, 'number_of_matches': 66}
{'graph_edge_sort_time': 1524079372.106713, 'first_graph_creation_time': 1524079372.0451944, 'matching_time': 1524079372.1073945, 'node_count': 313, 'greatest_constraints_time': 1524079372.1071024, 'start_time': 1524079371.9855878, 'second_graph_creation_time': 1524079372.0974946, 'number_of_matches': 12}
{'graph_edge_sort_time': 1524079372.215635, 'first_graph_creation_time': 1524079372.1609592, 'matching_time': 1524079372.2191448, 'node_count': 296, 'greatest_constraints_time': 1524079372.2160842, 'start_time': 1524079372.1095734, 'second_graph_creation_time': 1524079372.20685, 'number_of_matches': 114}
{'graph_edge_sort_time': 1524079372.3377702, 'first_graph_creation_time': 1524079372.275728, 'matching_time': 1524079372.3396235, 'node_count': 307, 'greatest_constraints_time': 1524079372.3381665, 'start_time': 1524079372.2194836, 'second_graph_creation_time': 1524079372.3285255, 'number_of_matches': 72}
{'graph_edge_sort_time': 1524079372.45313, 'first_graph_creation_time': 1524079372.3943827, 'matching_time': 1524079372.454305, 'node_count': 298, 'greatest_constraints_time': 1524079372.4535022, 'start_time': 1524079372.3399704, 'second_graph_creation_time': 1524079372.444386, 'number_of_matches': 42}
