{'first_graph_creation_time': 1524080018.9664376, 'node_count': 295, 'second_graph_creation_time': 1524080019.2480512, 'number_of_matches': 295, 'graph_edge_sort_time': 1524080019.3159046, 'start_time': 1524080018.6355891, 'greatest_constraints_time': 1524080019.3168285, 'matching_time': 1524080019.3298104}
{'first_graph_creation_time': 1524080019.672133, 'node_count': 295, 'second_graph_creation_time': 1524080019.9953187, 'number_of_matches': 295, 'graph_edge_sort_time': 1524080020.0632322, 'start_time': 1524080019.3301322, 'greatest_constraints_time': 1524080020.0642667, 'matching_time': 1524080020.077152}
{'first_graph_creation_time': 1524080020.3868444, 'node_count': 283, 'second_graph_creation_time': 1524080020.638662, 'number_of_matches': 283, 'graph_edge_sort_time': 1524080020.7010083, 'start_time': 1524080020.0775356, 'greatest_constraints_time': 1524080020.70194, 'matching_time': 1524080020.715076}
{'first_graph_creation_time': 1524080021.040556, 'node_count': 293, 'second_graph_creation_time': 1524080021.3130798, 'number_of_matches': 293, 'graph_edge_sort_time': 1524080021.3793876, 'start_time': 1524080020.7153878, 'greatest_constraints_time': 1524080021.380344, 'matching_time': 1524080021.3937917}
{'first_graph_creation_time': 1524080021.7720642, 'node_count': 322, 'second_graph_creation_time': 1524080022.1006715, 'number_of_matches': 322, 'graph_edge_sort_time': 1524080022.178316, 'start_time': 1524080021.3941417, 'greatest_constraints_time': 1524080022.1795273, 'matching_time': 1524080022.1958456}
{'first_graph_creation_time': 1524080022.5773277, 'node_count': 325, 'second_graph_creation_time': 1524080022.909642, 'number_of_matches': 325, 'graph_edge_sort_time': 1524080022.9867105, 'start_time': 1524080022.196186, 'greatest_constraints_time': 1524080022.9879112, 'matching_time': 1524080023.0031219}
{'first_graph_creation_time': 1524080023.3656611, 'node_count': 306, 'second_graph_creation_time': 1524080023.6717072, 'number_of_matches': 306, 'graph_edge_sort_time': 1524080023.7438948, 'start_time': 1524080023.003545, 'greatest_constraints_time': 1524080023.745087, 'matching_time': 1524080023.760406}
{'first_graph_creation_time': 1524080024.1314993, 'node_count': 318, 'second_graph_creation_time': 1524080024.4526477, 'number_of_matches': 318, 'graph_edge_sort_time': 1524080024.5283406, 'start_time': 1524080023.7623594, 'greatest_constraints_time': 1524080024.529709, 'matching_time': 1524080024.5454323}
{'first_graph_creation_time': 1524080024.8328252, 'node_count': 274, 'second_graph_creation_time': 1524080025.074203, 'number_of_matches': 274, 'graph_edge_sort_time': 1524080025.1339166, 'start_time': 1524080024.5458262, 'greatest_constraints_time': 1524080025.1347795, 'matching_time': 1524080025.147536}
{'first_graph_creation_time': 1524080025.5010378, 'node_count': 307, 'second_graph_creation_time': 1524080025.8043144, 'number_of_matches': 307, 'graph_edge_sort_time': 1524080025.8774095, 'start_time': 1524080025.1479783, 'greatest_constraints_time': 1524080025.8785708, 'matching_time': 1524080025.8923328}
